행정동,행정동_코드,상권티어,상권유형,momentum,slope,r2,복합점수_분위_2024,복합점수_2024,트렌드매출_비중_2024,업종점수_2024,금요효과_2024,주말비중_2024,야간비중_2024,2030비중_2024,복합점수_분위_2020,트렌드매출_비중_2020,업종점수_2020,2030비중_2020,트렌드매출비중_변화,업종점수_변화,2030비중_변화,임대료_2020,임대료_2024,임대료_변화율(%),공실률_2020,공실률_2024,공실률_변화(pp)
이태원1동,11170650,① 레전드,기존 강세,0.016587677725118377,0.003790348783794373,0.8199028240097623,1.0,6.192544958351601,0.5046735193435029,0.7999068558177869,1.4571926572789589,0.4393193943632241,0.431508820852326,0.5501220329602208,0.9834123222748816,0.4491517092888374,0.6524982945821045,0.598054606318333,0.0555218100546655,0.14740856123568236,-0.047932573358112185,56.8,57.5,1.232394366197198,26.7,19.9,-6.800000000000001
용산2가동,11170520,① 레전드,기존 강세,0.021349422428378007,0.004269884485675601,0.7866102221647907,0.9905437352245864,4.357248769595034,0.4598135301942569,0.6516165030744542,1.184932802570292,0.3809753381919949,0.5299898888167708,0.5071578795583916,0.9691943127962084,0.3928176675252589,0.5542282614751483,0.4568418015440809,0.06699586266899804,0.09738824159930592,0.05031607801431076,,,,,,
방배2동,11650610,① 레전드,기존 강세,0.08061353679988337,0.01706833383751807,0.6631055312068495,0.9810874704491724,3.690382324720333,0.3551525461796689,0.6787313244619518,1.2972990421700146,0.2592512790325177,0.5213131042429209,0.3294309493801715,0.9004739336492891,0.3401551587599226,0.4744188187858014,0.3313948917279127,0.014997387419746322,0.20431250567615045,-0.001963942347741221,,43.1,,,7.6,
혜화동,11110650,① 레전드,기존 강세,0.03323137597615755,0.007591901672772872,0.7700967063589591,0.9763593380614656,3.607269830165591,0.3780043899840511,0.7388517336549345,1.1065221611681753,0.299243823310459,0.5048824033691162,0.4820254943714859,0.943127962085308,0.3563811514942109,0.5892986660275646,0.5288749298617168,0.021623238489840213,0.14955306762736986,-0.046849435490230906,66.8,67.7,1.3473053892215647,14.6,5.6,-9.0
서교동,11440660,① 레전드,기존 강세,0.0213942388491144,0.005460880866749585,0.5032046099171635,0.9716312056737588,3.46134851834862,0.3998135103605879,0.665769167271514,1.1697685595563034,0.3244083045322105,0.4771493109437635,0.5827131093171165,0.9502369668246444,0.379849671632611,0.5477164372137691,0.621093545492089,0.019963838727976857,0.11805273005774497,-0.03838043617497244,73.3,68.4,-6.6848567530695675,8.6,9.3,0.7000000000000011
방이2동,11710562,① 레전드,기존 강세,0.042726855119715745,0.010673030598411216,0.8255056643927465,0.9692671394799054,3.4346792517835847,0.3755962501895802,0.666996396256406,1.160616356617333,0.2902136822999584,0.526008257879393,0.4503683945223277,0.9265402843601896,0.3565269801077754,0.5523066290393266,0.4471781136998402,0.019069270081804812,0.11468976721707946,0.0031902808224875123,,,,,,
낙성대동,11620585,① 레전드,기존 강세,0.07590781262254487,0.01636359562143568,0.5504302462419627,0.966903073286052,3.4334041311977,0.363653574024576,0.6500782964936651,1.2305737188887291,0.2763706638633122,0.5217752173445283,0.5127531739204086,0.8909952606635071,0.3371063231370799,0.5369230179723967,0.5331104036309539,0.0265472508874961,0.11315527852126839,-0.02035722971054521,80.1,62.8,-21.598002496878898,4.7,5.550000000000001,0.8500000000000005
능동,11215780,① 레전드,기존 강세,0.05459200250971963,0.014228093173338742,0.6747752862815463,0.9621749408983452,3.2144771795500366,0.3717978864713187,0.5849527890011136,1.2491167344045258,0.2845931821762358,0.5253412559847342,0.3772584643411919,0.9075829383886256,0.3505842170868249,0.515958406285409,0.3977220166406105,0.02121366938449376,0.06899438271570457,-0.020463552299418597,,,,,,
사당1동,11590620,① 레전드,기존 강세,0.09963250534996015,0.027727919509708356,0.9314252564129278,0.9550827423167848,3.072422645803986,0.3452447003856027,0.6100779262432325,1.2574787723247474,0.2499578344508266,0.5275206035841541,0.4080630994993272,0.8554502369668247,0.3185088374415028,0.5074393576545089,0.4274161995396153,0.026735862944099853,0.10263856858872367,-0.019353100040288118,55.5,61.0,9.90990990990992,5.4,7.8,2.3999999999999995
가산동,11545510,① 레전드,기존 강세,-0.049634185965737765,-0.012054496767615643,0.9604396722406916,0.9456264775413712,2.845890266741758,0.3953761361077104,0.7894507056456838,1.0496208748956015,0.3544674684522845,0.3032078073088941,0.2921142223944198,0.995260663507109,0.4385838129582451,0.8108500987705954,0.3952340879967188,-0.043207676850534726,-0.02139939312491168,-0.10311986560229897,,,,,,
