group,period,ratio
전통시장,2022-01-01,3.33969
전통시장,2022-02-01,2.39435
전통시장,2022-03-01,2.6551
전통시장,2022-04-01,3.31342
전통시장,2022-05-01,3.78199
전통시장,2022-06-01,3.62171
전통시장,2022-07-01,3.35938
전통시장,2022-08-01,3.79647
전통시장,2022-09-01,4.05341
전통시장,2022-10-01,4.6105
전통시장,2022-11-01,3.959
전통시장,2022-12-01,4.80101
전통시장,2023-01-01,5.08928
전통시장,2023-02-01,4.5134
전통시장,2023-03-01,3.96185
전통시장,2023-04-01,4.01947
전통시장,2023-05-01,4.38653
전통시장,2023-06-01,3.72991
전통시장,2023-07-01,3.53244
전통시장,2023-08-01,3.66303
전통시장,2023-09-01,4.37755
전통시장,2023-10-01,4.87372
전통시장,2023-11-01,4.06477
전통시장,2023-12-01,4.27872
전통시장,2024-01-01,3.51732
전통시장,2024-02-01,3.61102
전통시장,2024-03-01,3.23954
전통시장,2024-04-01,3.05064
전통시장,2024-05-01,3.05618
전통시장,2024-06-01,2.59059
전통시장,2024-07-01,2.62648
전통시장,2024-08-01,2.71158
전통시장,2024-09-01,3.34321
전통시장,2024-10-01,3.54295
전통시장,2024-11-01,3.21189
전통시장,2024-12-01,3.28833
핫플레이스,2022-01-01,2.33539
핫플레이스,2022-02-01,2.01912
핫플레이스,2022-03-01,1.86958
핫플레이스,2022-04-01,2.36624
핫플레이스,2022-05-01,2.87919
핫플레이스,2022-06-01,2.77459
핫플레이스,2022-07-01,2.97755
핫플레이스,2022-08-01,2.8662
핫플레이스,2022-09-01,2.41584
핫플레이스,2022-10-01,100.0
핫플레이스,2022-11-01,12.74104
핫플레이스,2022-12-01,3.53529
핫플레이스,2023-01-01,2.86143
핫플레이스,2023-02-01,2.8748
핫플레이스,2023-03-01,2.18599
핫플레이스,2023-04-01,2.06349
핫플레이스,2023-05-01,2.15662
핫플레이스,2023-06-01,2.01273
핫플레이스,2023-07-01,2.30018
핫플레이스,2023-08-01,2.38774
핫플레이스,2023-09-01,2.01072
핫플레이스,2023-10-01,3.61687
핫플레이스,2023-11-01,1.99463
핫플레이스,2023-12-01,2.32749
핫플레이스,2024-01-01,2.19511
핫플레이스,2024-02-01,2.114
핫플레이스,2024-03-01,1.76981
핫플레이스,2024-04-01,1.64782
핫플레이스,2024-05-01,1.86974
핫플레이스,2024-06-01,1.65886
핫플레이스,2024-07-01,1.83048
핫플레이스,2024-08-01,1.92112
핫플레이스,2024-09-01,1.59097
핫플레이스,2024-10-01,2.14749
핫플레이스,2024-11-01,1.65275
핫플레이스,2024-12-01,2.02174
주요쇼핑상권,2022-01-01,1.93783
주요쇼핑상권,2022-02-01,1.53491
주요쇼핑상권,2022-03-01,1.71467
주요쇼핑상권,2022-04-01,1.94013
주요쇼핑상권,2022-05-01,2.28252
주요쇼핑상권,2022-06-01,2.11513
주요쇼핑상권,2022-07-01,2.36926
주요쇼핑상권,2022-08-01,4.10978
주요쇼핑상권,2022-09-01,2.06855
주요쇼핑상권,2022-10-01,2.60976
주요쇼핑상권,2022-11-01,3.00769
주요쇼핑상권,2022-12-01,3.94336
주요쇼핑상권,2023-01-01,2.62723
주요쇼핑상권,2023-02-01,2.23732
주요쇼핑상권,2023-03-01,2.41711
주요쇼핑상권,2023-04-01,2.25958
주요쇼핑상권,2023-05-01,2.20643
주요쇼핑상권,2023-06-01,1.95898
주요쇼핑상권,2023-07-01,2.73367
주요쇼핑상권,2023-08-01,3.07449
주요쇼핑상권,2023-09-01,1.9203
주요쇼핑상권,2023-10-01,1.99603
주요쇼핑상권,2023-11-01,1.92069
주요쇼핑상권,2023-12-01,2.63192
주요쇼핑상권,2024-01-01,2.02197
주요쇼핑상권,2024-02-01,1.83171
주요쇼핑상권,2024-03-01,1.74044
주요쇼핑상권,2024-04-01,1.64464
주요쇼핑상권,2024-05-01,1.89316
주요쇼핑상권,2024-06-01,1.6225
주요쇼핑상권,2024-07-01,1.86572
주요쇼핑상권,2024-08-01,1.73149
주요쇼핑상권,2024-09-01,1.57368
주요쇼핑상권,2024-10-01,1.67907
주요쇼핑상권,2024-11-01,1.90449
주요쇼핑상권,2024-12-01,2.14975
문화관광지,2022-01-01,3.22783
문화관광지,2022-02-01,2.74421
문화관광지,2022-03-01,6.14486
문화관광지,2022-04-01,5.73209
문화관광지,2022-05-01,10.23552
문화관광지,2022-06-01,6.58926
문화관광지,2022-07-01,5.28608
문화관광지,2022-08-01,5.79063
문화관광지,2022-09-01,6.88558
문화관광지,2022-10-01,7.83594
문화관광지,2022-11-01,6.28286
문화관광지,2022-12-01,4.52235
문화관광지,2023-01-01,4.10974
문화관광지,2023-02-01,4.20998
문화관광지,2023-03-01,4.74284
문화관광지,2023-04-01,5.54766
문화관광지,2023-05-01,5.71364
문화관광지,2023-06-01,4.07424
문화관광지,2023-07-01,3.47706
문화관광지,2023-08-01,3.84805
