group,period,ratio
화곡,2022-01-01,63.62957
화곡,2022-02-01,61.56615
화곡,2022-03-01,65.04254
화곡,2022-04-01,65.75921
화곡,2022-05-01,71.19032
화곡,2022-06-01,67.26049
화곡,2022-07-01,66.65251
화곡,2022-08-01,68.81782
화곡,2022-09-01,62.09602
화곡,2022-10-01,66.83762
화곡,2022-11-01,66.07849
화곡,2022-12-01,69.02501
화곡,2023-01-01,71.32958
화곡,2023-02-01,63.10819
화곡,2023-03-01,66.05302
화곡,2023-04-01,61.37934
화곡,2023-05-01,62.08243
화곡,2023-06-01,59.15459
화곡,2023-07-01,58.34111
화곡,2023-08-01,57.87069
화곡,2023-09-01,56.92984
화곡,2023-10-01,60.66436
화곡,2023-11-01,57.7603
화곡,2023-12-01,58.73172
화곡,2024-01-01,75.22884
화곡,2024-02-01,71.66754
화곡,2024-03-01,62.26245
화곡,2024-04-01,57.87748
화곡,2024-05-01,57.17949
화곡,2024-06-01,56.05183
화곡,2024-07-01,58.92362
화곡,2024-08-01,53.18343
화곡,2024-09-01,53.81689
화곡,2024-10-01,56.72944
화곡,2024-11-01,56.97909
화곡,2024-12-01,53.65045
당산,2022-01-01,78.138
당산,2022-02-01,71.53677
당산,2022-03-01,79.57474
당산,2022-04-01,92.14713
당산,2022-05-01,99.28162
당산,2022-06-01,92.1828
당산,2022-07-01,91.56292
당산,2022-08-01,92.98099
당산,2022-09-01,89.62858
당산,2022-10-01,93.11855
당산,2022-11-01,91.75143
당산,2022-12-01,89.74237
당산,2023-01-01,84.83772
당산,2023-02-01,84.0735
당산,2023-03-01,91.02797
당산,2023-04-01,86.58186
당산,2023-05-01,87.66197
당산,2023-06-01,85.17568
당산,2023-07-01,84.29427
당산,2023-08-01,84.99397
당산,2023-09-01,93.3631
당산,2023-10-01,100.0
당산,2023-11-01,81.06414
당산,2023-12-01,80.28633
당산,2024-01-01,85.48477
당산,2024-02-01,74.32026
당산,2024-03-01,81.34096
당산,2024-04-01,80.38992
당산,2024-05-01,80.30161
당산,2024-06-01,75.82154
당산,2024-07-01,78.0361
당산,2024-08-01,77.22092
당산,2024-09-01,73.44734
당산,2024-10-01,82.10519
당산,2024-11-01,82.54844
당산,2024-12-01,89.95975
신길,2022-01-01,36.93086
신길,2022-02-01,32.42701
신길,2022-03-01,36.71857
신길,2022-04-01,43.12789
신길,2022-05-01,46.7809
신길,2022-06-01,41.41093
신길,2022-07-01,39.9555
신길,2022-08-01,45.37982
신길,2022-09-01,39.24222
신길,2022-10-01,45.61758
신길,2022-11-01,42.69483
신길,2022-12-01,38.89917
신길,2023-01-01,37.39449
신길,2023-02-01,40.14231
신길,2023-03-01,43.98553
신길,2023-04-01,41.0441
신길,2023-05-01,39.60565
신길,2023-06-01,36.5895
신길,2023-07-01,49.27568
신길,2023-08-01,38.19438
신길,2023-09-01,37.11427
신길,2023-10-01,41.89664
신길,2023-11-01,38.30307
신길,2023-12-01,37.46412
신길,2024-01-01,36.68631
신길,2024-02-01,35.27673
신길,2024-03-01,38.75821
신길,2024-04-01,39.96909
신길,2024-05-01,40.67048
신길,2024-06-01,36.0936
신길,2024-07-01,35.34636
신길,2024-08-01,42.5284
신길,2024-09-01,34.18813
신길,2024-10-01,40.51593
신길,2024-11-01,35.83037
신길,2024-12-01,48.68977
방화,2022-01-01,17.9967
방화,2022-02-01,15.28115
방화,2022-03-01,17.3089
방화,2022-04-01,17.98821
방화,2022-05-01,22.6466
방화,2022-06-01,19.5778
방화,2022-07-01,18.69639
방화,2022-08-01,19.78499
방화,2022-09-01,18.25654
방화,2022-10-01,18.91377
방화,2022-11-01,20.08389
방화,2022-12-01,17.29701
방화,2023-01-01,19.45043
방화,2023-02-01,16.43428
방화,2023-03-01,17.90669
방화,2023-04-01,17.98481
방화,2023-05-01,18.27352
방화,2023-06-01,17.6027
방화,2023-07-01,17.77253
방화,2023-08-01,19.66441
방화,2023-09-01,17.13058
방화,2023-10-01,17.61289
방화,2023-11-01,16.78413
방화,2023-12-01,17.77592
방화,2024-01-01,19.85123
방화,2024-02-01,15.63948
방화,2024-03-01,16.82319
방화,2024-04-01,18.23276
방화,2024-05-01,17.36324
방화,2024-06-01,16.05726
방화,2024-07-01,17.20021
방화,2024-08-01,16.64996
방화,2024-09-01,15.85686
방화,2024-10-01,15.81441
방화,2024-11-01,15.17585
방화,2024-12-01,14.45918
신월,2022-01-01,21.81104
신월,2022-02-01,22.20505
신월,2022-03-01,21.82803
신월,2022-04-01,21.09777
신월,2022-05-01,21.70066
신월,2022-06-01,19.7799
신월,2022-07-01,20.19768
신월,2022-08-01,23.49234
신월,2022-09-01,20.06861
신월,2022-10-01,19.96501
신월,2022-11-01,19.40967
신월,2022-12-01,19.12436
신월,2023-01-01,20.44223
신월,2023-02-01,19.00718
신월,2023-03-01,22.13372
신월,2023-04-01,19.9735
신월,2023-05-01,20.2758
신월,2023-06-01,22.33581
신월,2023-07-01,20.46091
신월,2023-08-01,19.8801
신월,2023-09-01,19.16512
신월,2023-10-01,20.83283
신월,2023-11-01,18.79829
신월,2023-12-01,17.81838
신월,2024-01-01,19.99218
신월,2024-02-01,18.02217
신월,2024-03-01,19.58799
신월,2024-04-01,19.8784
신월,2024-05-01,18.38051
신월,2024-06-01,17.16454
신월,2024-07-01,18.90528
신월,2024-08-01,19.11417
신월,2024-09-01,17.49571
신월,2024-10-01,16.55825
신월,2024-11-01,17.2087
신월,2024-12-01,15.08245
을지로,2022-01-01,44.85789
을지로,2022-02-01,33.24971
을지로,2022-03-01,40.18018
을지로,2022-04-01,56.96879
을지로,2022-05-01,66.25951
을지로,2022-06-01,57.02652
을지로,2022-07-01,58.48987
을지로,2022-08-01,53.39306
을지로,2022-09-01,51.08954
을지로,2022-10-01,59.07222
을지로,2022-11-01,51.17714
을지로,2022-12-01,50.67841
을지로,2023-01-01,45.934
을지로,2023-02-01,46.6796
을지로,2023-03-01,48.52122
을지로,2023-04-01,49.45796
을지로,2023-05-01,54.84843
을지로,2023-06-01,50.57886
을지로,2023-07-01,51.29759
을지로,2023-08-01,52.39062
을지로,2023-09-01,48.93335
을지로,2023-10-01,47.47498
을지로,2023-11-01,44.45373
을지로,2023-12-01,46.93743
을지로,2024-01-01,47.77263
을지로,2024-02-01,44.7683
을지로,2024-03-01,47.59145
을지로,2024-04-01,50.97307
을지로,2024-05-01,54.00726
을지로,2024-06-01,45.09979
을지로,2024-07-01,44.46767
을지로,2024-08-01,43.00731
을지로,2024-09-01,42.2617
을지로,2024-10-01,45.13463
을지로,2024-11-01,41.52207
을지로,2024-12-01,42.81917
대학로,2022-01-01,66.88467
대학로,2022-02-01,53.85894
대학로,2022-03-01,56.57259
대학로,2022-04-01,68.61679
대학로,2022-05-01,91.66193
대학로,2022-06-01,78.53168
대학로,2022-07-01,88.72032
대학로,2022-08-01,86.6587
대학로,2022-09-01,86.22368
대학로,2022-10-01,100.0
대학로,2022-11-01,88.03643
대학로,2022-12-01,98.48489
대학로,2023-01-01,82.02578
대학로,2023-02-01,84.27753
대학로,2023-03-01,81.42551
대학로,2023-04-01,77.24453
대학로,2023-05-01,88.0872
대학로,2023-06-01,75.2287
대학로,2023-07-01,87.94186
대학로,2023-08-01,98.07973
대학로,2023-09-01,77.95928
대학로,2023-10-01,86.70648
대학로,2023-11-01,80.0199
대학로,2023-12-01,97.19078
대학로,2024-01-01,83.75989
대학로,2024-02-01,70.32402
대학로,2024-03-01,71.57831
대학로,2024-04-01,76.80852
대학로,2024-05-01,76.70001
대학로,2024-06-01,65.8454
대학로,2024-07-01,72.45632
대학로,2024-08-01,71.45089
대학로,2024-09-01,66.34712
대학로,2024-10-01,73.13324
대학로,2024-11-01,74.24916
대학로,2024-12-01,80.69782
후암동,2022-01-01,10.94719
후암동,2022-02-01,9.3624
후암동,2022-03-01,14.88029
후암동,2022-04-01,13.41297
후암동,2022-05-01,11.50764
후암동,2022-06-01,12.22537
후암동,2022-07-01,16.41132
후암동,2022-08-01,12.21442
후암동,2022-09-01,11.3623
후암동,2022-10-01,13.9326
후암동,2022-11-01,9.78647
후암동,2022-12-01,9.0309
후암동,2023-01-01,16.04399
후암동,2023-02-01,9.34945
후암동,2023-03-01,9.60629
후암동,2023-04-01,9.98158
후암동,2023-05-01,9.28574
후암동,2023-06-01,10.0642
후암동,2023-07-01,9.31262
후암동,2023-08-01,8.70339
후암동,2023-09-01,9.5366
후암동,2023-10-01,10.88547
후암동,2023-11-01,8.19272
후암동,2023-12-01,8.04937
후암동,2024-01-01,10.66646
후암동,2024-02-01,8.71634
후암동,2024-03-01,17.05639
후암동,2024-04-01,12.14075
후암동,2024-05-01,9.5157
후암동,2024-06-01,9.74366
후암동,2024-07-01,9.61525
후암동,2024-08-01,9.6262
후암동,2024-09-01,8.97118
후암동,2024-10-01,10.45443
후암동,2024-11-01,8.73127
후암동,2024-12-01,7.30874
독립문,2022-01-01,9.97561
독립문,2022-02-01,10.51416
독립문,2022-03-01,13.08745
독립문,2022-04-01,14.16952
독립문,2022-05-01,16.31377
독립문,2022-06-01,14.51595
독립문,2022-07-01,11.32546
독립문,2022-08-01,13.97839
독립문,2022-09-01,13.00184
독립문,2022-10-01,15.41187
독립문,2022-11-01,15.13214
독립문,2022-12-01,13.76835
독립문,2023-01-01,11.8451
독립문,2023-02-01,12.7679
독립문,2023-03-01,15.6906
독립문,2023-04-01,14.78373
독립문,2023-05-01,17.50634
독립문,2023-06-01,14.52292
독립문,2023-07-01,25.90413
독립문,2023-08-01,17.94037
독립문,2023-09-01,13.01179
독립문,2023-10-01,16.99467
독립문,2023-11-01,14.39151
독립문,2023-12-01,12.47026
독립문,2024-01-01,11.34338
독립문,2024-02-01,11.52655
독립문,2024-03-01,13.96844
독립문,2024-04-01,15.91558
독립문,2024-05-01,15.92354
독립문,2024-06-01,13.07252
독립문,2024-07-01,10.69334
독립문,2024-08-01,14.52092
독립문,2024-09-01,11.49967
독립문,2024-10-01,14.52092
독립문,2024-11-01,12.29903
독립문,2024-12-01,11.53949
청구,2022-01-01,8.1529
청구,2022-02-01,6.85978
청구,2022-03-01,7.80448
청구,2022-04-01,8.55905
청구,2022-05-01,9.65805
청구,2022-06-01,8.46448
청구,2022-07-01,8.16484
청구,2022-08-01,7.78059
청구,2022-09-01,8.05335
청구,2022-10-01,10.06321
청구,2022-11-01,8.82584
청구,2022-12-01,8.44955
청구,2023-01-01,8.69145
청구,2023-02-01,9.29072
청구,2023-03-01,9.74665
청구,2023-04-01,9.15633
청구,2023-05-01,9.70982
청구,2023-06-01,8.95027
청구,2023-07-01,9.16032
청구,2023-08-01,8.64864
청구,2023-09-01,8.53715
청구,2023-10-01,9.01
청구,2023-11-01,8.67353
청구,2023-12-01,8.19172
청구,2024-01-01,7.98865
청구,2024-02-01,8.25643
청구,2024-03-01,13.21188
청구,2024-04-01,9.11253
청구,2024-05-01,9.99054
청구,2024-06-01,9.13742
청구,2024-07-01,8.92041
청구,2024-08-01,8.10313
청구,2024-09-01,8.34602
청구,2024-10-01,9.0757
청구,2024-11-01,8.41073
청구,2024-12-01,8.5043
중계,2022-01-01,15.31095
중계,2022-02-01,20.47372
중계,2022-03-01,16.80762
중계,2022-04-01,16.55512
중계,2022-05-01,17.88141
중계,2022-06-01,18.43448
중계,2022-07-01,16.84519
중계,2022-08-01,18.26061
중계,2022-09-01,16.87577
중계,2022-10-01,18.4703
중계,2022-11-01,34.13074
중계,2022-12-01,28.73294
중계,2023-01-01,15.75392
중계,2023-02-01,15.15281
중계,2023-03-01,18.91502
중계,2023-04-01,17.9251
중계,2023-05-01,19.10199
중계,2023-06-01,17.9085
중계,2023-07-01,16.39785
중계,2023-08-01,16.4992
중계,2023-09-01,18.12955
중계,2023-10-01,21.59819
중계,2023-11-01,16.68006
중계,2023-12-01,14.64955
중계,2024-01-01,19.69612
중계,2024-02-01,18.19071
중계,2024-03-01,17.17371
중계,2024-04-01,16.30786
중계,2024-05-01,17.32923
중계,2024-06-01,15.71548
중계,2024-07-01,18.50525
중계,2024-08-01,17.39214
중계,2024-09-01,15.03224
중계,2024-10-01,17.43669
중계,2024-11-01,15.97585
중계,2024-12-01,13.56003
도봉,2022-01-01,6.93728
도봉,2022-02-01,6.25141
도봉,2022-03-01,6.82981
도봉,2022-04-01,8.24086
