period,group,ratio,anchor_ratio,adjusted_ratio
2022-01-01,화곡,15.31503,55.02571,27.83
2022-02-01,화곡,14.81838,47.23269,31.37
2022-03-01,화곡,15.65512,39.13882,40.0
2022-04-01,화곡,15.82761,29.31916,53.98
2022-05-01,화곡,17.13483,43.00733,39.84
2022-06-01,화곡,16.18896,53.33017,30.36
2022-07-01,화곡,16.04262,54.16527,29.62
2022-08-01,화곡,16.56379,100.0,16.56
2022-09-01,화곡,14.94592,48.36863,30.9
2022-10-01,화곡,16.08718,49.52052,32.49
2022-11-01,화곡,15.90446,45.02415,35.32
2022-12-01,화곡,16.61366,52.69127,31.53
2023-01-01,화곡,17.16835,50.63562,33.91
2023-02-01,화곡,15.18954,42.43792,35.79
2023-03-01,화곡,15.89833,43.93603,36.19
2023-04-01,화곡,14.77342,45.15986,32.71
2023-05-01,화곡,14.94265,90.43827,16.52
2023-06-01,화곡,14.23794,47.86831,29.74
2023-07-01,화곡,14.04215,67.17938,20.9
2023-08-01,화곡,13.92892,60.9744,22.84
2023-09-01,화곡,13.70247,49.74697,27.54
2023-10-01,화곡,14.60133,52.3847,27.87
2023-11-01,화곡,13.90235,59.18852,23.49
2023-12-01,화곡,14.13616,62.77499,22.52
2024-01-01,화곡,18.10686,57.23301,31.64
2024-02-01,화곡,17.24969,52.62628,32.78
2024-03-01,화곡,14.98597,49.31982,30.39
2024-04-01,화곡,13.93055,48.33062,28.82
2024-05-01,화곡,13.76255,50.82896,27.08
2024-06-01,화곡,13.49114,49.65337,27.17
2024-07-01,화곡,14.18235,68.11667,20.82
2024-08-01,화곡,12.80074,50.19906,25.5
2024-09-01,화곡,12.95321,47.74323,27.13
2024-10-01,화곡,13.65423,48.28892,28.28
2024-11-01,화곡,13.71432,50.38668,27.22
2024-12-01,화곡,12.91315,50.97407,25.33
2022-01-01,당산,18.80707,55.02571,34.18
2022-02-01,당산,17.21822,47.23269,36.45
2022-03-01,당산,19.15288,39.13882,48.94
2022-04-01,당산,22.17893,29.31916,75.65
2022-05-01,당산,23.89614,43.00733,55.56
2022-06-01,당산,22.18752,53.33017,41.6
2022-07-01,당산,22.03832,54.16527,40.69
2022-08-01,당산,22.37964,100.0,22.38
2022-09-01,당산,21.57274,48.36863,44.6
2022-10-01,당산,22.41275,49.52052,45.26
2022-11-01,당산,22.08369,45.02415,49.05
2022-12-01,당산,21.60013,52.69127,40.99
2023-01-01,당산,20.41963,50.63562,40.33
2023-02-01,당산,20.23569,42.43792,47.68
2023-03-01,당산,21.90956,43.93603,49.87
2023-04-01,당산,20.83943,45.15986,46.15
2023-05-01,당산,21.0994,90.43827,23.33
2023-06-01,당산,20.50097,47.86831,42.83
2023-07-01,당산,20.28883,67.17938,30.2
2023-08-01,당산,20.45723,60.9744,33.55
2023-09-01,당산,22.47161,49.74697,45.17
2023-10-01,당산,24.06904,52.3847,45.95
2023-11-01,당산,19.51136,59.18852,32.96
2023-12-01,당산,19.32415,62.77499,30.78
2024-01-01,당산,20.57537,57.23301,35.95
2024-02-01,당산,17.88817,52.62628,33.99
2024-03-01,당산,19.57799,49.31982,39.7
2024-04-01,당산,19.34908,48.33062,40.03
2024-05-01,당산,19.32783,50.82896,38.03
2024-06-01,당산,18.24952,49.65337,36.75
2024-07-01,당산,18.78254,68.11667,27.57
2024-08-01,당산,18.58634,50.19906,37.03
2024-09-01,당산,17.67807,47.74323,37.03
2024-10-01,당산,19.76193,48.28892,40.92
2024-11-01,당산,19.86862,50.38668,39.43
2024-12-01,당산,21.65245,50.97407,42.48
