행정동코드,연도,분기,연도분기,총_유동인구,남성_유동인구,여성_유동인구,10대미만,10대,20대,30대,40대,50대,60대,70이상,2030_유동인구,2030_유동인구_비중
11110515,2020,1,2020Q1,33972445.593899995,16817602.1974,17154843.407,1978236.1005000002,2899764.0934,5312581.8298,5383233.4943,6371850.8595,5034724.2217999995,3147471.5092,3844583.4959,10695815.3241,0.314838
11110515,2020,2,2020Q2,34645970.5447,16933171.5588,17712799.0139,2182951.3533,3243371.9463,5190275.6323,5575285.2190000005,6442474.9267,5172160.2359,3117364.5661000004,3722086.6931,10765560.851300001,0.310731
11110515,2020,3,2020Q3,34518517.6709,16898827.0401,17619690.6587,2171466.6647,3368089.1925,4977777.3288,5520024.4612,6360403.576099999,5176965.0209,3131958.0306,3811833.424,10497801.79,0.304121
11110515,2020,4,2020Q4,34824549.926,17048057.141400002,17776492.7617,2318939.3407,3432329.6194,4970923.2397,5503856.5457,6361328.6963,5205954.8028,3181411.7757,3849805.8828,10474779.7854,0.300787
11110515,2021,1,2021Q1,34027220.6285,16627270.7971,17399949.8214,2328285.2533,3326902.3615,4871881.5231,5247206.7147,6262581.491699999,5074898.9757,3113744.501,3801719.7975000003,10119088.2378,0.297382
11110515,2021,2,2021Q2,35722992.742699996,17166142.3527,18556850.3799,2504286.9573999997,3830817.8678,5092555.151000001,5475270.7024,6530648.4288,5221010.4133,3170846.0185000002,3897557.1934,10567825.8534,0.295827
11110515,2021,3,2021Q3,35851877.4204,17092414.5831,18759462.8821,2419964.2970000003,3630621.0644000005,5149608.485,5424641.2643,6587425.772700001,5315925.7988,3228447.594,4095243.1890000002,10574249.7493,0.294943
11110515,2021,4,2021Q4,39587981.8621,18858617.057499997,20729364.8044,2798412.3112000003,4193285.4928,5908381.0505,5991841.4333,7062164.3576,5830020.4874,3502471.4372,4301405.2919,11900222.4838,0.300602
11110515,2022,1,2022Q1,36917259.8719,17547002.5898,19370257.2839,2516669.2261,3718816.7630000003,5522900.8212,5682992.1537,6617804.341,5462757.286,3390660.965,4004658.3177000005,11205892.9749,0.303541
11110515,2022,2,2022Q2,42295711.0947,19194479.4815,23101231.6234,3190094.5738,5086804.0254,5838331.7259,6108029.3289,7115834.5923999995,6041285.7579,4118698.7936000004,4796632.307,11946361.0548,0.282449
11110515,2022,3,2022Q3,38454773.7395,17312597.2029,21142176.5657,2953776.8944,4558011.0975,5039039.6439,5504457.7627,6684097.4984,5566215.3845,3765336.9366,4383838.5506,10543497.406599998,0.274179
11110515,2022,4,2022Q4,40262623.6474,18008495.0696,22254128.6188,3216740.4964,5016732.1708,5286423.735400001,5693149.42,6942219.675899999,5722035.6296999995,3905727.3169,4479595.2433,10979573.1554,0.272699
11110515,2023,1,2023Q1,37733250.4665,17138450.9486,20594799.572,2836232.8169,4251793.5548,5150140.0915,5542710.9505,6742923.1819,5496638.950999999,3648124.9861000003,4064685.9879,10692851.042,0.28338
11110515,2023,2,2023Q2,40001400.020899996,18040853.4174,21960546.5768,3447825.8312,5245725.9231,5234231.9024,5698407.2223,6776610.9066,5730000.2421,3750683.5653,4117914.4012,10932639.124699999,0.273306
11110515,2023,3,2023Q3,37092906.607999995,16762166.1821,20330740.3956,3086107.0172,4648707.9347,4854229.8404,5346811.4562,6386699.3418,5489045.4672,3434356.7383000003,3846948.7819,10201041.2966,0.275013
11110515,2023,4,2023Q4,38468633.1546,17016435.5605,21452197.515,3316099.5705000004,4866711.554,4991004.1145,5479121.0001,6520814.304,5718406.4651,3610511.1858,3965964.8815,10470125.114599999,0.272173
11110515,2024,1,2024Q1,35745093.4824,15716738.9334,20028354.5581,2831200.7754,4179971.5486000003,4707581.0002,5244710.4819,6109496.603599999,5328525.2759,3455612.6560000004,3887995.1498999996,9952291.482099999,0.278424
11110515,2024,2,2024Q2,38092051.7637,16498216.451200001,21593835.2543,3242466.1112,5146964.5399,4859782.2675,5559233.070499999,6357645.326300001,5548710.9635,3562950.6357,3814298.7909000004,10419015.338,0.273522
11110515,2024,3,2024Q3,34917698.1108,15282701.275899999,19634996.9512,2806515.6733,4377358.5943,4513267.0938,5195045.1054,5933645.2978,5275368.3072,3299657.739,3516840.4162999997,9708312.1992,0.278034
11110515,2024,4,2024Q4,36216177.8307,15592872.7482,20623305.0537,2985299.4085999997,4624037.2311,4700931.4034,5356177.9456,6144352.8774,5407030.0895,3399733.2413999997,3598615.6048999997,10057109.349,0.277697
11110530,2020,1,2020Q1,54223675.6066,26791101.355899997,27432574.2243,1933023.9616,2325753.6314,8140069.1052,11260622.4379,10909030.7878,8321565.175,5450989.5012,5882620.9801,19400691.5431,0.35779
11110530,2020,2,2020Q2,53053272.4675,26105750.3679,26947522.0651,1799584.5898,2318946.9452,8160080.9078,11568156.7032,10930260.6067,8202835.5742,4899639.6123,5173767.493799999,19728237.611,0.371857
11110530,2020,3,2020Q3,53759645.1848,26289127.1234,27470518.0104,1849087.5095,2432122.6322999997,8198720.6569,11737404.2939,11043980.7589,8217375.2638,4964447.6353,5316506.3832,19936124.9508,0.370838
11110530,2020,4,2020Q4,52722387.2875,25840936.1939,26881451.1168,1874196.5703999999,2410506.8899,7685818.98,11539700.0594,10846000.9676,8166740.359300001,5002322.0537,5197101.4304,19225519.0394,0.364656
