group,avg_매출지수,avg_인프라지수,avg_가맹점지수,avg_인구지수,avg_금융지수,avg_검색량
화곡,56.26,22.19,22.71,20.56,50.57,29.5
당산,55.89,38.39,13.25,18.18,42.99,40.36
둔촌,54.09,9.73,14.02,22.93,58.4,6.64
난곡,51.59,18.26,11.19,45.26,50.3,1.5
중계,51.07,11.63,26.18,17.44,59.63,16.61
연희동,50.41,14.57,28.54,7.59,40.71,24.23
독립문,49.76,21.79,20.47,19.79,46.93,11.28
가락,48.72,60.27,14.97,10.39,50.13,72.48
방화,43.07,14.46,17.08,35.36,58.41,8.37
후암동,41.48,13.65,17.76,12.78,42.83,8.77
을지로,41.25,9.25,18.1,22.9,49.92,39.48
청량리,41.13,23.57,48.38,19.75,66.96,80.73
청구,40.95,17.53,23.53,24.08,46.85,7.13
도봉,40.76,39.79,19.57,25.67,59.47,6.44
신월,38.59,15.44,12.74,29.05,60.62,9.33
신길,38.39,16.63,9.95,29.27,68.35,18.87
대학로,37.96,14.19,15.85,18.51,48.81,63.6
왕십리,37.85,,24.66,24.51,51.43,55.94
개포,37.69,29.24,26.15,15.47,67.59,12.69
회기,37.39,23.37,22.92,21.75,58.66,25.49
노량진,37.02,9.97,31.92,8.98,84.78,122.8
금호,36.95,18.98,32.95,17.72,61.93,14.87
보라매,36.94,7.68,15.35,29.04,56.93,32.28
명일,31.42,21.92,19.84,15.84,47.47,12.28
