코드,주말_총인구,주말_20대인구,평일_총인구,평일_20대인구,주말집중도,20대주말집중도,행정동,구역유형
11110515,15527.109360416667,2114.8722817307694,15927.261281502524,2016.1532765151514,0.9748762882699374,1.0489640377869733,청운효자동,주거형
11110530,18548.258903846152,2872.5160613782054,25805.113694570708,3833.652048358586,0.7187822973145293,0.7492897177791866,사직동,오피스형
11110540,5497.87830977564,1149.4072966346155,6199.2687998737365,1101.7655983585857,0.8868591582748627,1.043241228757738,삼청동,혼합형
11110550,12406.008487179488,1446.302842948718,12551.014619507576,1628.021788320707,0.9884466605510355,0.8883805200424064,부암동,주거형
11110560,18060.00341378205,1872.77955625,16798.983237752527,1800.7185395833333,1.0750652678309494,1.0400179234470153,평창동,주거형
11110570,5942.834341826923,697.244125801282,6064.656328724748,732.9783001262628,0.9799127963243647,0.9512479778476046,무악동,주거형
11110580,8015.793417467949,985.3237216346155,8476.014462563131,1011.1974055555555,0.9457031312148079,0.9744128260428784,교남동,혼합형
11110600,5056.700268429487,820.4957198717948,6650.544595833333,881.2362123737373,0.7603437877249309,0.9310735400462843,가회동,오피스형
11110615,43911.52354326923,9960.53225400641,67815.60233800505,12517.072237058082,0.647513581379199,0.7957557538509067,종로1·2·3·4가동,오피스형
11110630,11654.844437339743,2106.2183831730767,16501.478025315657,2512.821025441919,0.7062909406938896,0.838188777413093,종로5·6가동,오피스형
11110640,21198.74350176282,5408.449639262821,27603.823743434346,6128.158665277778,0.7679640218976911,0.8825570509306756,이화동,오피스형
11110650,28592.64186698718,9838.079765705128,28972.938291919192,9773.875210290404,0.9868740815618938,1.0065689968444784,혜화동,주거형
11110670,6513.502770192308,1089.8233751602565,7199.661413383838,1022.8762737373737,0.904695706673651,1.0654498526769736,창신1동,혼합형
11110680,8032.25293301282,1266.1012560897436,7867.079381565656,1185.9466869318182,1.0209955363910783,1.067586991929034,창신2동,주거형
11110690,5363.514883012821,670.2867371794872,5129.363733080808,634.444059469697,1.0456491608153857,1.0564946226145604,창신3동,주거형
11110700,7457.9012522435905,1127.236016025641,7158.127403851011,1027.3389566287879,1.041878808727448,1.0972386559978853,숭인1동,주거형
11110710,13065.731492307692,2758.1138318910257,12651.269919823231,2562.77525239899,1.0327604718823555,1.076221502181739,숭인2동,주거형
11140520,15000.302458493588,2845.351444551282,33862.18967809343,5471.2208936237375,0.4429808763429666,0.5200578627463767,소공동,오피스형
11140540,16199.939387980769,2320.2578599358976,30994.98010486111,4206.947429924243,0.522663325905476,0.5515300342076488,회현동,오피스형
11140550,22816.201521794872,5215.746524839743,44512.209710921714,8448.37429381313,0.51258298947573,0.6173668854443761,명동,오피스형
11140570,9864.442332371795,2374.530458974359,15002.970977209596,3517.31118364899,0.6574992611367754,0.6750982028581652,필동,오피스형
11140580,10597.78040272436,2784.0784068910257,11613.017255681818,3024.0528169823233,0.9125776849715141,0.9206447689194907,장충동,혼합형
11140590,18986.223892628208,4548.962198717949,26283.34399463384,5282.0649972853535,0.7223671347338659,0.8612090538559876,광희동,오피스형
11140605,9386.017989423077,2135.11956875,18132.98519469697,2589.2909478535353,0.5176212238990874,0.8245962357069091,을지로동,오피스형
11140615,15665.914020032053,2760.7193443910255,21521.78937354798,3309.8109708964644,0.7279094571609704,0.834101816891157,신당동,오피스형
11140625,14034.501623397437,2222.5030706730768,15337.964194823233,2365.19635145202,0.9150172373028663,0.939669583588127,다산동,혼합형
11140635,13459.60570544872,1510.1843911858975,13006.020769065657,1464.631607638889,1.0348749970830353,1.0311018711527355,약수동,주거형
11140645,10256.654324198718,1221.9468225961539,10481.945674431818,1243.3027526515152,0.978506724111093,0.9828232262738766,청구동,주거형
11140650,7357.354522435898,1162.1655147435897,7015.260551388889,1027.78125385101,1.0487642573702098,1.130751811622418,신당5동,주거형
11140665,12703.612592467949,1533.836558974359,12636.878276641415,1552.9033355429292,1.0052809178315731,0.9877218522671894,동화동,주거형
11140670,12482.440586538462,2096.023642307692,11850.058935669193,1898.3402144570707,1.0533652747469275,1.1041348786403702,황학동,주거형
11140680,6841.197852403847,900.2116780448717,8307.204586111111,1099.6717899621212,0.8235258661911019,0.818618506232555,중림동,혼합형
11170510,12845.939238621795,1643.834907051282,12495.339089583333,1571.2055708333332,1.0280584741658383,1.0462252282999658,후암동,주거형
11170520,12482.181155128204,2437.9170583333334,11689.868055618688,1941.3611409722223,1.0677777623955895,1.2557772002752867,용산2가동,주거형
11170530,13329.409545993589,2740.4855717948717,17218.22889179293,3150.5134911616165,0.7741452172439788,0.8698536221104819,남영동,오피스형
11170555,21430.34002628205,5016.374477083334,22244.708422411615,5273.353795896464,0.9633904665925365,0.9512683334440593,청파동,주거형
11170560,17268.40792099359,2815.1210451923075,18664.990824368684,2934.413300883838,0.9251763412842541,0.9593471527492055,원효로1동,혼합형
11170570,14264.03424871795,1831.7794926282052,14698.144978030303,1819.6393285353533,0.9704649307813177,1.0066717419779136,원효로2동,주거형
11170580,9045.799188621795,1362.531351602564,9446.893644633838,1423.9587510732324,0.9575421857067399,0.956861531681047,효창동,주거형
11170590,8425.500285096154,1060.828000801282,8088.210734343434,1012.7397404671717,1.041701380173065,1.0474833349700758,용문동,주거형
11170625,49826.536246153846,10837.545576282051,52923.60029766414,10340.171204671718,0.9414804730953463,1.0481011737393302,한강로동,혼합형
11170630,24341.147701602564,2339.490146153846,23793.960230871213,2149.482038888889,1.0229969061653472,1.0883971597935176,이촌1동,주거형
11170640,8272.193299198718,1148.7040136217947,7479.483077588384,916.4494513257577,1.105984626662987,1.2534286664256846,이촌2동,상권형
11170650,13272.463190384615,3860.5954134615386,10829.81742550505,2311.9280234848484,1.2255481942961426,1.6698596903732024,이태원1동,상권형
11170660,11047.894811057691,1740.9867036858975,10484.018023421717,1518.3360957070706,1.0537844160870624,1.1466411874211166,이태원2동,주거형
