피처,중요도
금요효과,0.024057113
기타업종_비중,0.019127691
2030소비_비중_lag1,0.016396169
야간_비중,0.01467738
금요효과_동편차,0.014578671
트렌드시간대_비중,0.014263715
평일_비중,0.013773496
목요일_비중,0.013692019
방문형_강도,0.013426196
2030소비_비중,0.012817124
시간대_17~21_비중,0.012635189
야간_비중_lag1,0.012500759
방문형_강도_동편차,0.012176355
평일_비중_동편차,0.011899995
연령대20_비중,0.011853722
FB식사_비중,0.011655881
라이프스타일_비중,0.011067041
시간대_21~24_비중,0.011008343
FB카페_비중,0.010718521
금요효과_변화,0.01069781
금요일_비중,0.010670793
평일_비중_변화,0.010653071
20대_이동비율,0.010608693
야간_비중_동편차,0.010604125
구역유형_코드,0.010509042
주류유흥_비중,0.010479433
FB카페_비중_lag1,0.010401877
금요효과_모멘텀,0.010315111
금요효과_lag1,0.0103006605
라이프스타일_비중_변화,0.010280168
총_매출금액,0.010112011
30대_이동비율,0.010099768
주류유흥_비중_lag1,0.0100645
EE_비율_변화,0.010062393
2030_이동비율_lag1,0.010039448
금요일_비중_변화,0.010023726
2030주말집중도,0.010022639
트렌드시간대_비중_lag1,0.010013884
오피스강도,0.010003631
2030소비_비중_변화,0.009987449
방문형_강도_lag1,0.009974838
여가형_2030이동,0.009959539
일요일_비중,0.00991753
2030_이동비율,0.0098994225
트렌드시간대_비중_동편차,0.009895719
총_이동인구,0.009840241
주류유흥_비중_변화,0.009830847
2030_이동비율_모멘텀,0.009813114
주말집중도,0.009812444
20대_이동비율_lag1,0.009736066
보정_2030이동,0.009674322
20대_이동비율_동편차,0.009653044
FB카페_비중_변화,0.009640014
30대_이동비율_lag1,0.009625785
2030_이동비율_동편차,0.009624793
평일_비중_lag1,0.00961758
주말_비중_동편차,0.009599145
연령대40_비중,0.009598815
FB식사_비중_변화,0.009559598
주류유흥_비중_동편차,0.009556988
시간대_06~11_비중,0.009545217
연령대30_비중_변화,0.009495772
주말_비중_모멘텀,0.009485169
방문형_강도_모멘텀,0.009433947
트렌드시간대_비중_변화,0.0094182305
2030소비_비중_동편차,0.009405286
화요일_비중,0.009367366
주말_비중,0.009367113
여성_비중_변화,0.00931743
2030소비_비중_모멘텀,0.009298543
시간대_14~17_비중,0.009258745
여성_비중,0.009238
주말_비중_변화,0.009184959
WE_비율_변화,0.009182013
FB카페_비중_동편차,0.009181704
수요일_비중,0.009152355
20대_이동비율_변화,0.009148896
시간대_11~14_비중,0.009089905
HE_비율_변화,0.009085377
EE_비율,0.009054162
WE_비율,0.009051643
트렌드시간대_비중_모멘텀,0.009010768
시간대_00~06_비중,0.009010119
방문형_강도_변화,0.009003361
연령대20_비중_변화,0.0089004785
야간_비중_변화,0.00888721
월요일_비중,0.008858433
2030_이동비율_변화,0.008814185
20대_이동비율_모멘텀,0.008807646
연령대30_비중,0.008805301
주말_비중_lag1,0.008777823
토요일_비중,0.008700661
30대_이동비율_변화,0.008677233
30대_이동비율_모멘텀,0.00867663
HE_비율,0.008673945
30대_이동비율_동편차,0.008528852
