행정동,20대_매출_억(2024),20대_매출비중(%),20대_성장률_23v24(%),매출규모_순위,비중_순위,성장률_순위
가락1동,301.2,1.74,-11.5,76,419,200
가락2동,93.5,4.18,-21.9,215,352,373
가락본동,203.3,6.89,-15.0,119,195,276
가리봉동,38.9,5.69,-30.1,322,261,409
가산동,2473.0,7.96,-12.0,3,153,212
가양1동,524.2,11.6,-2.3,39,73,56
가양2동,57.9,6.28,-12.1,280,229,216
가양3동,47.7,9.77,59.7,300,98,2
가회동,216.8,19.87,-13.3,110,19,237
갈현1동,267.8,14.62,-14.2,88,45,255
갈현2동,207.7,9.37,-17.8,113,111,325
강일동,31.5,5.15,-11.1,339,301,189
개봉1동,70.7,5.76,-16.7,252,255,308
개봉2동,75.8,7.12,-6.6,244,184,106
개봉3동,27.0,3.69,-28.7,351,377,407
개포1동,1.0,4.6,4424.2,422,329,1
개포2동,48.6,4.15,-4.6,297,355,78
개포4동,86.7,3.92,-16.7,225,367,308
거여1동,33.1,4.91,-17.2,335,315,317
거여2동,61.6,6.0,-14.5,273,242,262
고덕1동,12.1,3.56,3.5,401,382,27
고덕2동,50.8,5.2,-0.8,291,298,44
고척1동,164.7,7.44,14.0,138,173,10
고척2동,43.9,3.86,-1.5,311,371,50
공덕동,118.6,6.08,-15.6,186,239,286
공릉1동,226.7,8.85,-15.9,107,126,294
공릉2동,218.8,13.39,-8.0,109,51,129
공항동,138.7,8.1,14.6,161,144,9
광장동,93.5,5.74,-2.2,215,258,54
광희동,685.5,10.23,-9.4,25,90,155
교남동,19.3,5.03,-10.1,379,306,171
구로1동,15.8,3.17,-9.8,391,396,163
구로2동,104.8,1.5,-40.8,200,422,418
구로3동,813.6,13.23,-14.2,22,55,255
구로4동,89.7,4.26,-17.4,222,349,320
구로5동,384.9,9.49,-8.6,57,105,140
구산동,46.5,7.32,-11.3,303,177,197
구의1동,231.3,10.06,-13.1,103,95,235
구의2동,83.4,6.81,-16.7,230,201,308
구의3동,330.0,6.99,-4.8,67,190,82
군자동,191.9,11.66,-11.7,124,72,204
금호1가동,9.3,4.51,-32.7,406,337,412
금호2·3가동,33.8,4.57,-3.5,333,332,72
