행정동,20대매출_2020억,20대매출_2021억,20대매출_2022억,20대매출_2023억,20대매출_2024억,20대비중_2020%,20대비중_2021%,20대비중_2022%,20대비중_2023%,20대비중_2024%,20대성장률_2019v2020%,20대성장률_2020v2021%,20대성장률_2021v2022%,20대성장률_2022v2023%,20대성장률_2023v2024%
가락1동,641.4,499.6,531.1,340.4,301.2,4.84,3.2,2.93,1.87,1.74,,-22.1,6.3,-35.9,-11.5
가락2동,141.8,163.3,144.1,119.8,93.5,8.27,7.11,6.12,5.23,4.18,,15.2,-11.8,-16.9,-21.9
가락본동,284.2,300.1,294.1,239.2,203.3,10.99,10.73,10.0,7.92,6.89,,5.6,-2.0,-18.7,-15.0
가리봉동,68.9,77.7,81.1,55.7,38.9,10.91,10.38,10.07,7.24,5.69,,12.8,4.3,-31.3,-30.1
가산동,4056.0,3843.8,3384.7,2810.7,2473.0,14.75,13.36,11.59,9.19,7.96,,-5.2,-11.9,-17.0,-12.0
가양1동,750.9,591.2,537.0,536.3,524.2,21.8,15.59,13.64,12.42,11.6,,-21.3,-9.2,-0.1,-2.3
가양2동,120.5,96.5,82.3,65.9,57.9,11.95,11.08,8.97,7.02,6.28,,-19.9,-14.7,-19.9,-12.1
가양3동,30.6,36.0,33.0,29.9,47.7,10.4,10.35,10.29,6.61,9.77,,17.4,-8.1,-9.6,59.7
가회동,114.6,190.5,257.7,250.2,216.8,22.58,23.99,22.97,21.18,19.87,,66.2,35.3,-2.9,-13.3
갈현1동,309.0,310.4,337.2,312.2,267.8,21.57,18.26,18.36,16.89,14.62,,0.4,8.6,-7.4,-14.2
갈현2동,280.0,268.3,288.0,252.6,207.7,14.82,12.66,12.95,11.15,9.37,,-4.2,7.4,-12.3,-17.8
강일동,40.6,35.2,39.0,35.4,31.5,9.9,7.6,7.19,5.65,5.15,,-13.1,10.6,-9.2,-11.1
개봉1동,93.0,102.3,94.6,84.9,70.7,9.11,8.15,7.7,6.88,5.76,,10.0,-7.5,-10.3,-16.7
개봉2동,102.9,111.8,100.2,81.1,75.8,12.31,10.88,9.54,7.6,7.12,,8.6,-10.4,-19.1,-6.6
개봉3동,48.0,50.2,44.4,37.9,27.0,7.9,7.03,6.11,4.95,3.69,,4.7,-11.5,-14.7,-28.7
개포1동,0.0,1.2,0.1,0.0,1.0,0.86,11.51,5.24,1.44,4.6,,4887.4,-90.2,-82.0,4424.2
개포2동,47.1,50.8,49.4,51.0,48.6,7.08,5.99,5.77,4.89,4.15,,7.7,-2.8,3.2,-4.6
개포4동,109.7,153.0,130.2,104.2,86.7,5.88,6.62,5.53,4.5,3.92,,39.5,-14.9,-20.0,-16.7
