행정동,20대매출_2020억,20대매출_2021억,20대매출_2022억,20대매출_2023억,20대매출_2024억,20대비중_2020%,20대비중_2021%,20대비중_2022%,20대비중_2023%,20대비중_2024%,20대성장률_2019v2020%,20대성장률_2020v2021%,20대성장률_2021v2022%,20대성장률_2022v2023%,20대성장률_2023v2024%,z_매출규모_2020,z_매출규모_2021,z_매출규모_2022,z_매출규모_2023,z_매출규모_2024,z_매출비중_2020,z_매출비중_2021,z_매출비중_2022,z_매출비중_2023,z_매출비중_2024,z_성장률_2020v2021,z_성장률_2021v2022,z_성장률_2022v2023,z_성장률_2023v2024
가락1동,641.4,499.6,531.1,340.4,301.2,4.84,3.2,2.93,1.87,1.74,,-22.1,6.3,-35.9,-11.5,0.806,0.478,0.526,0.191,0.174,-1.054,-1.255,-1.172,-1.201,-1.143,-1.441,0.748,-2.482,0.005
가락2동,141.8,163.3,144.1,119.8,93.5,8.27,7.11,6.12,5.23,4.18,,15.2,-11.8,-16.9,-21.9,-0.24,-0.214,-0.249,-0.278,-0.303,-0.571,-0.641,-0.671,-0.647,-0.713,0.12,-0.615,-0.689,-1.004
가락본동,284.2,300.1,294.1,239.2,203.3,10.99,10.73,10.0,7.92,6.89,,5.6,-2.0,-18.7,-15.0,0.058,0.068,0.052,-0.024,-0.051,-0.187,-0.073,-0.062,-0.204,-0.235,-0.282,0.123,-0.859,-0.335
가리봉동,68.9,77.7,81.1,55.7,38.9,10.91,10.38,10.07,7.24,5.69,,12.8,4.3,-31.3,-30.1,-0.393,-0.39,-0.375,-0.415,-0.428,-0.198,-0.128,-0.051,-0.316,-0.447,0.019,0.597,-2.05,-1.799
가산동,4056.0,3843.8,3384.7,2810.7,2473.0,14.75,13.36,11.59,9.19,7.96,,-5.2,-11.9,-17.0,-12.0,7.956,7.352,6.238,5.447,5.16,0.344,0.34,0.187,0.005,-0.046,-0.734,-0.622,-0.699,-0.044
가양1동,750.9,591.2,537.0,536.3,524.2,21.8,15.59,13.64,12.42,11.6,,-21.3,-9.2,-0.1,-2.3,1.035,0.666,0.538,0.608,0.686,1.338,0.69,0.509,0.537,0.596,-1.407,-0.419,0.897,0.897
가양2동,120.5,96.5,82.3,65.9,57.9,11.95,11.08,8.97,7.02,6.28,,-19.9,-14.7,-19.9,-12.1,-0.285,-0.351,-0.372,-0.393,-0.385,-0.051,-0.018,-0.224,-0.353,-0.342,-1.348,-0.833,-0.973,-0.053
가양3동,30.6,36.0,33.0,29.9,47.7,10.4,10.35,10.29,6.61,9.77,,17.4,-8.1,-9.6,59.7,-0.473,-0.475,-0.471,-0.47,-0.408,-0.27,-0.133,-0.017,-0.42,0.273,0.212,-0.336,0.0,3.576
가회동,114.6,190.5,257.7,250.2,216.8,22.58,23.99,22.97,21.18,19.87,,66.2,35.3,-2.9,-13.3,-0.297,-0.158,-0.021,-0.001,-0.02,1.448,2.009,1.974,1.98,2.055,2.253,2.828,0.633,-0.17
갈현1동,309.0,310.4,337.2,312.2,267.8,21.57,18.26,18.36,16.89,14.62,,0.4,8.6,-7.4,-14.2,0.11,0.089,0.138,0.131,0.097,1.306,1.109,1.25,1.273,1.129,-0.499,0.921,0.208,-0.257
