행정동,연도,분기,나이,이동인구
성수2가1동,2020,1,0,21577.21
성수2가1동,2020,1,10,14008.38
성수2가1동,2020,1,15,28346.71
성수2가1동,2020,1,20,21761.58
성수2가1동,2020,1,25,39147.17
성수2가1동,2020,1,30,35625.1
성수2가1동,2020,1,35,52048.76
성수2가1동,2020,1,40,63364.74
성수2가1동,2020,1,45,79364.67
성수2가1동,2020,1,50,84943.11
성수2가1동,2020,1,55,88448.19
성수2가1동,2020,1,60,69942.5
성수2가1동,2020,1,65,34532.38
성수2가1동,2020,1,70,19220.42
성수2가1동,2020,1,75,15780.81
성수2가1동,2020,1,80,15703.49
성수2가1동,2020,2,0,23496.13
성수2가1동,2020,2,10,15498.01
성수2가1동,2020,2,15,29162.44
성수2가1동,2020,2,20,27079.62
성수2가1동,2020,2,25,48240.75
성수2가1동,2020,2,30,43121.1
성수2가1동,2020,2,35,57976.54
성수2가1동,2020,2,40,68540.23
성수2가1동,2020,2,45,82398.64
성수2가1동,2020,2,50,91096.3
성수2가1동,2020,2,55,97082.31999999999
성수2가1동,2020,2,60,76334.0
성수2가1동,2020,2,65,41243.79
성수2가1동,2020,2,70,21467.18
성수2가1동,2020,2,75,17973.51
성수2가1동,2020,2,80,17059.82
성수2가1동,2020,3,0,23510.43
성수2가1동,2020,3,10,15196.7
성수2가1동,2020,3,15,27687.59
성수2가1동,2020,3,20,29298.4
성수2가1동,2020,3,25,45062.47
성수2가1동,2020,3,30,43688.68
성수2가1동,2020,3,35,58962.5
성수2가1동,2020,3,40,69939.25
성수2가1동,2020,3,45,81411.23
성수2가1동,2020,3,50,90992.89
성수2가1동,2020,3,55,96423.74
성수2가1동,2020,3,60,77563.69
성수2가1동,2020,3,65,42502.64
성수2가1동,2020,3,70,21382.6
성수2가1동,2020,3,75,18424.57
성수2가1동,2020,3,80,15599.85
성수2가1동,2020,4,0,20634.86
성수2가1동,2020,4,10,14292.94
성수2가1동,2020,4,15,23367.86
성수2가1동,2020,4,20,23601.97
성수2가1동,2020,4,25,39640.27
성수2가1동,2020,4,30,37599.28
성수2가1동,2020,4,35,54408.159999999996
성수2가1동,2020,4,40,65880.31
성수2가1동,2020,4,45,75616.12
성수2가1동,2020,4,50,85812.38
성수2가1동,2020,4,55,88644.62
성수2가1동,2020,4,60,74494.86
성수2가1동,2020,4,65,40854.8
성수2가1동,2020,4,70,22028.68
성수2가1동,2020,4,75,19155.84
성수2가1동,2020,4,80,16576.79
성수2가1동,2021,1,0,21366.579999999998
성수2가1동,2021,1,10,13557.210000000001
성수2가1동,2021,1,15,25147.74
성수2가1동,2021,1,20,25924.8
성수2가1동,2021,1,25,43457.11
