period,group,ratio,type
2020-01-01,성수,9.19038,reference
2020-02-01,성수,7.80816,reference
2020-03-01,성수,7.7658,reference
2020-04-01,성수,9.33111,reference
2020-05-01,성수,11.03773,reference
2020-06-01,성수,9.0905,reference
2020-07-01,성수,11.39105,reference
2020-08-01,성수,8.67294,reference
2020-09-01,성수,6.5912,reference
2020-10-01,성수,9.66746,reference
2020-11-01,성수,8.99609,reference
2020-12-01,성수,4.07857,reference
2021-01-01,성수,6.72998,reference
2021-02-01,성수,9.98369,reference
2021-03-01,성수,11.68396,reference
2021-04-01,성수,12.07216,reference
2021-05-01,성수,13.93146,reference
2021-06-01,성수,13.83667,reference
2021-07-01,성수,10.22826,reference
2021-08-01,성수,11.52858,reference
2021-09-01,성수,12.00704,reference
2021-10-01,성수,13.15631,reference
2021-11-01,성수,13.2829,reference
2021-12-01,성수,12.37984,reference
2022-01-01,성수,13.94774,reference
2022-02-01,성수,11.36371,reference
2022-03-01,성수,12.51731,reference
2022-04-01,성수,16.34766,reference
2022-05-01,성수,18.29703,reference
2022-06-01,성수,18.21652,reference
2022-07-01,성수,20.33095,reference
2022-08-01,성수,18.29703,reference
2022-09-01,성수,15.78152,reference
2022-10-01,성수,17.50366,reference
2022-11-01,성수,17.16819,reference
2022-12-01,성수,18.67857,reference
2023-01-01,성수,18.22456,reference
2023-02-01,성수,17.99985,reference
2023-03-01,성수,16.97158,reference
2023-04-01,성수,17.37644,reference
2023-05-01,성수,21.4662,reference
2023-06-01,성수,19.1165,reference
2023-07-01,성수,21.1929,reference
2023-08-01,성수,19.80182,reference
2023-09-01,성수,17.76043,reference
2023-10-01,성수,19.48792,reference
2023-11-01,성수,18.41244,reference
2023-12-01,성수,24.12956,reference
2024-01-01,성수,19.4766,reference
2024-02-01,성수,19.41305,reference
2024-03-01,성수,19.17828,reference
2024-04-01,성수,20.22409,reference
2024-05-01,성수,21.58292,reference
2024-06-01,성수,19.02674,reference
2024-07-01,성수,20.21674,reference
2024-08-01,성수,18.97167,reference
2024-09-01,성수,18.14234,reference
2024-10-01,성수,21.54766,reference
2024-11-01,성수,18.57304,reference
2024-12-01,성수,21.57815,reference
2020-01-01,문래,4.75585,reference
2020-02-01,문래,3.9697,reference
2020-03-01,문래,3.96951,reference
2020-04-01,문래,4.75572,reference
2020-05-01,문래,4.93675,reference
2020-06-01,문래,4.6632,reference
2020-07-01,문래,5.25053,reference
2020-08-01,문래,4.69582,reference
2020-09-01,문래,4.06091,reference
2020-10-01,문래,5.27919,reference
2020-11-01,문래,4.42704,reference
2020-12-01,문래,1.95911,reference
2021-01-01,문래,2.62972,reference
2021-02-01,문래,4.0638,reference
2021-03-01,문래,4.62504,reference
2021-04-01,문래,4.32647,reference
2021-05-01,문래,5.598,reference
2021-06-01,문래,5.5161,reference
2021-07-01,문래,4.01131,reference
2021-08-01,문래,4.39423,reference
2021-09-01,문래,4.32698,reference
2021-10-01,문래,4.76044,reference
