상권명,대표_행정동,포함_행정동들
광화문,청운효자동,"청운효자동, 사직동"
남대문,회현동,"회현동, 남창동"
동대문,신당동,"신당동, 황학동"
명동,명동,명동
방산시장,을지로4·5가동,"을지로4·5가동, 광희동"
북촌,가회동,가회동
서촌,청운효자동,"청운효자동, 서원동"
시청,소공동,"소공동, 봉래1동"
을지로,을지로동,을지로동
종로,종로1·2·3·4가동,"종로1·2·3·4가동, 종로5·6가동"
충무로,필동,필동
강남대로,역삼1동,"역삼1동, 역삼2동"
교대역,서초3동,서초3동
남부터미널,서초4동,서초4동
논현역,논현1동,"논현1동, 논현2동"
도산대로,신사동,"신사동, 압구정동"
방배역/내방역,방배2동,"방배2동, 방배3동, 방배4동"
서래마을,반포4동,반포4동
신사역,신사동,"신사동, 잠원동"
압구정,압구정동,압구정동
양재말죽거리,양재1동,"양재1동, 양재2동"
양재역,양재1동,양재1동
청담,청담동,청담동
테헤란로,역삼1동,"역삼1동, 삼성1동"
학동/강남구청역,청담동,"청담동, 논현2동"
공덕역,공덕동,"공덕동, 아현동"
당산역,당산1동,"당산1동, 당산2동"
동교/연남,연남동,연남동
망원역,망원1동,"망원1동, 망원2동"
신촌/이대,대현동,"대현동, 신수동"
영등포,영등포본동,"영등포본동, 영등포동"
홍대/합정,서교동,"서교동, 합정동"
가락시장,가락1동,"가락1동, 가락2동"
건대입구,화양동,"화양동, 자양4동"
경희대,회기동,"회기동, 이문1동"
구로디지털단지역,구로3동,구로3동
구의역,구의2동,"구의1동, 구의2동, 구의3동"
군자,군자동,군자동
까치산역,화곡6동,화곡6동
낙성대,낙성대동,낙성대동
노량진,노량진1동,"노량진1동, 노량진2동"
독산/시흥,독산2동,"독산1동, 독산2동, 독산3동"
뚝섬,성수1가2동,"성수1가1동, 성수1가2동"
목동,목2동,"목1동, 목2동, 목3동, 목4동"
미아사거리,미아동,"미아동, 송중동"
불광역,불광1동,"불광1동, 불광2동"
사당,사당1동,"사당1동, 사당2동, 사당3동"
상계역,상계1동,"상계1동, 상계3·4동"
상봉역,상봉1동,"상봉1동, 상봉2동"
서울대입구역,낙성대동,"낙성대동, 서원동"
성신여대,동선동,"동선동, 돈암1동"
수유,수유1동,"수유1동, 수유2동, 수유3동"
숙명여대,효창동,"효창동, 용문동"
신림역,신림동,신림동
쌍문역,쌍문1동,"쌍문1동, 쌍문2동, 쌍문3동"
약수역,약수동,약수동
연신내,응암3동,"응암3동, 대조동"
오류동역,오류1동,"오류1동, 오류2동"
왕십리,왕십리2동,"왕십리2동, 행당1동"
용산역,청파1동,"청파1동, 청파2동"
이태원,이태원1동,"이태원1동, 이태원2동, 한남동, 보광동"
잠실/송파,잠실6동,"잠실6동, 잠실7동, 잠실본동"
잠실새내역,잠실3동,"잠실3동, 잠실4동"
장안동,장안1동,"장안1동, 장안2동"
천호,천호1동,"천호1동, 천호2동, 천호3동"
청량리,전농1동,"전농1동, 청량리동"
혜화동,혜화동,혜화동
화곡,화곡1동,"화곡1동, 화곡2동, 화곡3동, 화곡4동"
