행정동,연도,분기,나이,매출금액
성수2가1동,2020,1,0,50578261411
성수2가1동,2020,1,10,229381707
성수2가1동,2020,1,20,7148897296
성수2가1동,2020,1,30,7500420637
성수2가1동,2020,1,40,11611267656
성수2가1동,2020,1,50,11476883762
성수2가1동,2020,1,60,7652751048
성수2가1동,2020,2,0,56368125932
성수2가1동,2020,2,10,453771626
성수2가1동,2020,2,20,8215086731
성수2가1동,2020,2,30,9792114364
성수2가1동,2020,2,40,10733186088
성수2가1동,2020,2,50,13212830715
성수2가1동,2020,2,60,8935142160
성수2가1동,2020,3,0,53711931089
성수2가1동,2020,3,10,670582847
성수2가1동,2020,3,20,8355683483
성수2가1동,2020,3,30,9190872413
성수2가1동,2020,3,40,10568672136
성수2가1동,2020,3,50,10958753335
성수2가1동,2020,3,60,7930606979
성수2가1동,2020,4,0,55298252424
성수2가1동,2020,4,10,473532600
성수2가1동,2020,4,20,8319183772
성수2가1동,2020,4,30,10067306445
성수2가1동,2020,4,40,10401672220
성수2가1동,2020,4,50,12608984838
성수2가1동,2020,4,60,8947191148
성수2가1동,2021,1,0,46822000526
성수2가1동,2021,1,10,100058338
성수2가1동,2021,1,20,5137260025
성수2가1동,2021,1,30,8346291397
성수2가1동,2021,1,40,9818589607
성수2가1동,2021,1,50,11576287462
성수2가1동,2021,1,60,7303567384
성수2가1동,2021,2,0,50593946374
성수2가1동,2021,2,10,206957605
성수2가1동,2021,2,20,6678409201
성수2가1동,2021,2,30,8815373173
성수2가1동,2021,2,40,10979140492
성수2가1동,2021,2,50,11087440937
성수2가1동,2021,2,60,7498051871
성수2가1동,2021,3,0,50042464855
성수2가1동,2021,3,10,131301755
성수2가1동,2021,3,20,6017269146
성수2가1동,2021,3,30,8942455389
성수2가1동,2021,3,40,9456434157
성수2가1동,2021,3,50,12056215122
성수2가1동,2021,3,60,8750999257
성수2가1동,2021,4,0,73776681837
성수2가1동,2021,4,10,391730022
성수2가1동,2021,4,20,14025428714
성수2가1동,2021,4,30,14388303628
성수2가1동,2021,4,40,13391937211
성수2가1동,2021,4,50,15944384617
성수2가1동,2021,4,60,8759931000
성수2가1동,2022,1,0,72602732384
성수2가1동,2022,1,10,215613592
성수2가1동,2022,1,20,17269670805
성수2가1동,2022,1,30,14452033033
성수2가1동,2022,1,40,12949110157
성수2가1동,2022,1,50,13554113975
성수2가1동,2022,1,60,8181797580
성수2가1동,2022,2,0,79661072602
성수2가1동,2022,2,10,542688429
성수2가1동,2022,2,20,15143792858
성수2가1동,2022,2,30,17029384202
성수2가1동,2022,2,40,15371419556
성수2가1동,2022,2,50,16186314537
성수2가1동,2022,2,60,9618195653
성수2가1동,2022,3,0,86119015520
성수2가1동,2022,3,10,662815963
성수2가1동,2022,3,20,19493410235
성수2가1동,2022,3,30,17680829975
성수2가1동,2022,3,40,15910779948
성수2가1동,2022,3,50,15076195984
성수2가1동,2022,3,60,10129270842
성수2가1동,2022,4,0,93902163163
성수2가1동,2022,4,10,792873958
성수2가1동,2022,4,20,20453790097
성수2가1동,2022,4,30,18319462815
성수2가1동,2022,4,40,17704650866
성수2가1동,2022,4,50,19811068274
성수2가1동,2022,4,60,9411824092
성수2가1동,2023,1,0,85895017237
성수2가1동,2023,1,10,664182258
성수2가1동,2023,1,20,19839438230
성수2가1동,2023,1,30,17490604592
성수2가1동,2023,1,40,11531770665
성수2가1동,2023,1,50,16183910780
성수2가1동,2023,1,60,12573213306
성수2가1동,2023,2,0,85006644740
성수2가1동,2023,2,10,612020344
성수2가1동,2023,2,20,21632204855
성수2가1동,2023,2,30,19894677068
성수2가1동,2023,2,40,11784448081
성수2가1동,2023,2,50,13250312560
성수2가1동,2023,2,60,10241547508
성수2가1동,2023,3,0,80772602335
성수2가1동,2023,3,10,808682878
성수2가1동,2023,3,20,17978577226
성수2가1동,2023,3,30,16176568126
성수2가1동,2023,3,40,13160967537
성수2가1동,2023,3,50,14614237517
성수2가1동,2023,3,60,10583717179
성수2가1동,2023,4,0,81487247055
성수2가1동,2023,4,10,1024944820
성수2가1동,2023,4,20,20321374413
성수2가1동,2023,4,30,15530193917
성수2가1동,2023,4,40,10953258688
성수2가1동,2023,4,50,14104068539
성수2가1동,2023,4,60,9651402038
성수2가1동,2024,1,0,68555658906
성수2가1동,2024,1,10,262122846
성수2가1동,2024,1,20,12237835044
성수2가1동,2024,1,30,14532855255
성수2가1동,2024,1,40,10552045787
성수2가1동,2024,1,50,13354752821
성수2가1동,2024,1,60,10469447787
성수2가1동,2024,2,0,86114047627
성수2가1동,2024,2,10,404174716
성수2가1동,2024,2,20,16117731807
성수2가1동,2024,2,30,23074042024
성수2가1동,2024,2,40,13548065461
성수2가1동,2024,2,50,14216995702
성수2가1동,2024,2,60,11000679981
성수2가1동,2024,3,0,83550271243
성수2가1동,2024,3,10,533412352
성수2가1동,2024,3,20,16335971762
성수2가1동,2024,3,30,17481542094
성수2가1동,2024,3,40,13906158492
성수2가1동,2024,3,50,15390713407
성수2가1동,2024,3,60,11184050497
성수2가1동,2024,4,0,83583528481
성수2가1동,2024,4,10,807263542
성수2가1동,2024,4,20,15707325632
성수2가1동,2024,4,30,16883200646
성수2가1동,2024,4,40,13183341917
성수2가1동,2024,4,50,17229457340
성수2가1동,2024,4,60,11138304159
여의동,2020,1,0,223733377263
여의동,2020,1,10,391198691
여의동,2020,1,20,25248916642
여의동,2020,1,30,42588467342
여의동,2020,1,40,41101812491
여의동,2020,1,50,37307358371
여의동,2020,1,60,18925357038
여의동,2020,2,0,243362360062
여의동,2020,2,10,726871090
여의동,2020,2,20,27531016182
여의동,2020,2,30,49062511908
여의동,2020,2,40,44615982687
여의동,2020,2,50,40173935795
여의동,2020,2,60,21324270315
