행정동,코사인유사도,업종점수,트렌드매출_비중,2030비중,복합점수_분위,주말집중도,구역유형,tier
신당5동,0.9302343970053637,0.5462722620258704,0.3341078303545126,0.260940752583554,0.8983451536643026,1.0485515395792664,주거형,Tier1_교집합
숭인2동,0.9441771662892424,0.5470466669702027,0.3318142765483171,0.2411842019637895,0.8557919621749409,1.0325909298952218,주거형,Tier1_교집합
창4동,0.9335983208954028,0.5794095764330291,0.343037661435574,0.2127041640794009,0.9361702127659576,1.0477039856259087,주거형,Tier2_업종전환
장위1동,0.9104381739633896,0.5271253213143422,0.3561956650499422,0.2543561551573045,0.9125295508274232,1.0640302250932503,주거형,Tier2_업종전환
석관동,0.9291792460700639,0.5576177740958688,0.3447291818002932,0.2415048311002084,0.9054373522458627,1.0251354999261746,주거형,Tier2_업종전환
장충동,0.8937477828509746,0.7273607222436534,0.3228597905245185,0.240066535266382,0.8959810874704491,0.9121591192083794,혼합형,Tier2_업종전환
염리동,0.8936027533281171,0.591175516320043,0.3128342515200927,0.2782548003346914,0.8841607565011821,0.9433326732793044,혼합형,Tier2_업종전환
정릉3동,0.9023378213703929,0.615214161869969,0.3141325553651565,0.2734516873161701,0.8676122931442081,0.911568910197519,혼합형,Tier2_업종전환
동화동,0.9167467256545259,0.6720599330827107,0.3391641717936021,0.2937121359425452,0.8581560283687943,1.0051585808196288,주거형,Tier2_업종전환
역촌동,0.9152116530129154,0.5194286512399029,0.3004044301307835,0.2228667856156675,0.7872340425531915,1.073002719364518,주거형,Tier2_업종전환
마장동,0.9281194002110995,0.5422119750811015,0.2897031156936527,0.2193284385115098,0.7848699763593381,0.9679717905075408,주거형,Tier2_업종전환
오류1동,0.8982012942785274,0.4736492458695236,0.3164682341600031,0.3106676948447606,0.7825059101654847,1.0789043054876264,주거형,Tier2_업종전환
가락본동,0.9344459062628021,0.5292603131555075,0.295572181084841,0.2427373083258884,0.7801418439716312,0.9353391917831616,혼합형,Tier2_업종전환
공릉1동,0.9137960009955723,0.4862591673179823,0.32026891477316,0.2343896892894984,0.7423167848699763,1.048015425691721,주거형,Tier2_업종전환
청파동,0.9006055472453196,0.5081381534964816,0.2886934166815042,0.3189275887730746,0.6382978723404256,0.9633458857985076,주거형,Tier2_업종전환
오륜동,,0.9019531816406452,0.4381486223912911,0.29639738177026,0.9787234042553192,1.1637343009137466,상권형,Tier3_이동선행
보문동,,0.4335230157369868,0.3062544889870804,0.2574866772005191,0.7328605200945626,1.003206124428046,주거형,Tier3_이동선행
반포본동,,0.6135497905224219,0.2353688754356004,0.1034653507300476,0.6973995271867612,0.8298052269412942,혼합형,Tier3_이동선행
숭인1동,,0.3805012271028413,0.3125426922633577,0.2368101298081495,0.5673758865248227,1.0418863428078575,주거형,Tier3_이동선행
황학동,,0.3367839832789453,0.3013003913909511,0.2402501546961823,0.508274231678487,1.0532115629480665,주거형,Tier3_이동선행
성산2동,,0.3947476447692494,0.300128768367543,0.2519636959661663,0.3782505910165484,1.1013535357024995,상권형,Tier3_이동선행
이촌2동,,0.1397041018528844,0.1751379600952653,0.1368552245823387,0.3191489361702128,1.1057476657757683,상권형,Tier3_이동선행
잠실2동,,0.1725112073450405,0.3036992457189456,0.2079148282908345,0.2836879432624113,1.066026942916329,주거형,Tier3_이동선행
중곡1동,,0.2819987563176072,0.3081086568373347,0.2413674283827978,0.260047281323877,1.0427554089523805,주거형,Tier3_이동선행
삼성동,,0.2124717178442852,0.2952632867043629,0.1454147395501046,0.2151300236406619,1.044804832881393,주거형,Tier3_이동선행
창신1동,,0.2126318870704147,0.2766945936079292,0.1969277697310815,0.1016548463356974,0.9048363233421928,혼합형,Tier3_이동선행
가양2동,,0.1788129039880867,0.2309958281166986,0.2898966219812542,0.0709219858156028,0.9933592775588114,주거형,Tier3_이동선행
월계2동,,0.2741023565994402,0.2219410624887428,0.1500763644974586,0.0638297872340425,0.9978275865759436,주거형,Tier3_이동선행
