period,group,ratio,anchor_ratio,adjusted_ratio
2020-01-01,가락,2.33513,,
2020-02-01,가락,2.80574,,
2020-03-01,가락,2.61322,,
2020-04-01,가락,2.6172,,
2020-05-01,가락,2.99727,,
2020-06-01,가락,2.64008,,
2020-07-01,가락,2.59531,,
2020-08-01,가락,2.69381,,
2020-09-01,가락,2.30926,,
2020-10-01,가락,2.47492,,
2020-11-01,가락,2.42368,,
2020-12-01,가락,2.34259,,
2021-01-01,가락,2.49731,,
2021-02-01,가락,2.21027,,
2021-03-01,가락,2.54158,,
2021-04-01,가락,2.70923,,
2021-05-01,가락,2.41224,,
2021-06-01,가락,2.78535,,
2021-07-01,가락,2.52467,,
2021-08-01,가락,2.4008,,
2021-09-01,가락,2.88583,,
2021-10-01,가락,2.41373,,
2021-11-01,가락,2.26648,,
2021-12-01,가락,2.22519,,
2022-01-01,가락,33.09321,52.02289,63.61
2022-02-01,가락,25.55736,44.65514,57.23
2022-03-01,가락,29.26191,37.00297,79.08
2022-04-01,가락,31.33562,27.71918,113.05
2022-05-01,가락,32.22253,40.66037,79.25
2022-06-01,가락,35.00191,50.41988,69.42
2022-07-01,가락,35.90582,51.2094,70.12
2022-08-01,가락,38.72346,94.54288,40.96
2022-09-01,가락,37.09185,45.7291,81.11
2022-10-01,가락,36.9222,46.81813,78.86
2022-11-01,가락,35.16383,42.56713,82.61
2022-12-01,가락,38.36638,49.81585,77.02
2023-01-01,가락,39.22469,47.87237,81.94
2023-02-01,가락,31.9895,40.12204,79.73
2023-03-01,가락,34.65371,41.53839,83.43
2023-04-01,가락,33.29069,42.69543,77.97
2023-05-01,가락,35.51628,85.50295,41.54
2023-06-01,가락,35.51009,45.25608,78.46
2023-07-01,가락,38.34667,63.51333,60.38
2023-08-01,가락,39.62274,57.64695,68.73
2023-09-01,가락,39.6981,47.03222,84.41
2023-10-01,가락,39.1845,49.52601,79.12
2023-11-01,가락,39.69114,55.95854,70.93
2023-12-01,가락,38.9136,59.34928,65.57
2024-01-01,가락,34.99109,54.10974,64.67
2024-02-01,가락,31.65869,49.7544,63.63
2024-03-01,가락,33.09398,46.62838,70.97
2024-04-01,가락,32.43547,45.69316,70.99
2024-05-01,가락,33.10674,48.05517,68.89
2024-06-01,가락,31.34605,46.94372,66.77
2024-07-01,가락,33.52024,64.39946,52.05
2024-08-01,가락,33.98592,47.45964,71.61
2024-09-01,가락,35.98891,45.13782,79.73
2024-10-01,가락,36.37537,45.65374,79.68
2024-11-01,가락,36.86539,47.63702,77.39
2024-12-01,가락,37.81143,48.19236,78.46
2020-01-01,개포,7.28449,,
2020-02-01,개포,8.86546,,
2020-03-01,개포,6.49003,,
2020-04-01,개포,6.7502,,
2020-05-01,개포,7.64267,,
2020-06-01,개포,6.94322,,
2020-07-01,개포,8.66597,,
2020-08-01,개포,8.56101,,
2020-09-01,개포,7.6168,,
2020-10-01,개포,7.63222,,
2020-11-01,개포,8.38241,,
2020-12-01,개포,8.28839,,
2021-01-01,개포,7.44517,,
2021-02-01,개포,6.88502,,
2021-03-01,개포,7.28001,,
2021-04-01,개포,6.6124,,
2021-05-01,개포,6.63827,,
2021-06-01,개포,7.93369,,
2021-07-01,개포,6.70692,,
2021-08-01,개포,11.56674,,
2021-09-01,개포,6.58206,,
2021-10-01,개포,6.48157,,
2021-11-01,개포,6.30596,,
2021-12-01,개포,6.15722,,
2022-01-01,개포,1.33338,13.52126,9.86
2022-02-01,개포,1.17076,11.60631,10.09
2022-03-01,개포,1.6545,9.61744,17.2
2022-04-01,개포,1.30134,7.20449,18.06
2022-05-01,개포,1.58268,10.56803,14.98
2022-06-01,개포,1.44216,13.10463,11.0
2022-07-01,개포,1.43232,13.30983,10.76
2022-08-01,개포,1.57987,24.57263,6.43
2022-09-01,개포,1.36683,11.88545,11.5
2022-10-01,개포,1.40178,12.16849,11.52
2022-11-01,개포,1.37195,11.06362,12.4
2022-12-01,개포,1.50072,12.94763,11.59
2023-01-01,개포,2.62066,12.4425,21.06
2023-02-01,개포,1.71647,10.42811,16.46
2023-03-01,개포,1.82264,10.79624,16.88
2023-04-01,개포,1.63089,11.09697,14.7
2023-05-01,개포,1.72913,22.22307,7.78
2023-06-01,개포,1.5867,11.7625,13.49
2023-07-01,개포,1.86643,16.50774,11.31
2023-08-01,개포,1.52502,14.98302,10.18
2023-09-01,개포,1.47199,12.22414,12.04
2023-10-01,개포,1.57916,12.8723,12.27
2023-11-01,개포,1.60709,14.54418,11.05
2023-12-01,개포,1.68985,15.42547,10.95
2024-01-01,개포,1.6779,14.06366,11.93
2024-02-01,개포,4.38284,12.93166,33.89
2024-03-01,개포,1.61261,12.11918,13.31
2024-04-01,개포,1.47219,11.8761,12.4
2024-05-01,개포,1.55044,12.49001,12.41
2024-06-01,개포,1.2936,12.20114,10.6
2024-07-01,개포,1.36562,16.73806,8.16
2024-08-01,개포,1.33669,12.33523,10.84
2024-09-01,개포,1.24921,11.73177,10.65
2024-10-01,개포,1.24107,11.86586,10.46
2024-11-01,개포,1.21134,12.38133,9.78
2024-12-01,개포,1.12576,12.52567,8.99
2020-01-01,금호,7.53522,,
2020-02-01,금호,6.55221,,
2020-03-01,금호,7.75808,,
2020-04-01,금호,10.54144,,
2020-05-01,금호,8.70826,,
2020-06-01,금호,7.54616,,
2020-07-01,금호,7.67749,,
2020-08-01,금호,7.75162,,
2020-09-01,금호,6.06817,,
2020-10-01,금호,7.19743,,
2020-11-01,금호,7.04819,,
2020-12-01,금호,7.479,,
2021-01-01,금호,5.98758,,
2021-02-01,금호,6.67807,,
2021-03-01,금호,7.39592,,
2021-04-01,금호,8.39783,,
2021-05-01,금호,6.89099,,
2021-06-01,금호,8.17099,,
2021-07-01,금호,6.85368,,
2021-08-01,금호,5.97564,,
2021-09-01,금호,5.75277,,
2021-10-01,금호,5.45329,,
2021-11-01,금호,5.24684,,
2021-12-01,금호,5.48115,,
2022-01-01,금호,6.15466,52.02289,11.83
2022-02-01,금호,5.58194,44.65514,12.5
2022-03-01,금호,5.5232,37.00297,14.93
2022-04-01,금호,5.84511,27.71918,21.09
2022-05-01,금호,6.51406,40.66037,16.02
2022-06-01,금호,5.9425,50.41988,11.79
2022-07-01,금호,5.92202,51.2094,11.56
2022-08-01,금호,6.16239,94.54288,6.52
2022-09-01,금호,6.25321,45.7291,13.67
2022-10-01,금호,6.72971,46.81813,14.37
2022-11-01,금호,5.90965,42.56713,13.88
2022-12-01,금호,5.80685,49.81585,11.66
2023-01-01,금호,5.74,47.87237,11.99
2023-02-01,금호,6.18635,40.12204,15.42
2023-03-01,금호,6.26673,41.53839,15.09
2023-04-01,금호,6.91404,42.69543,16.19
2023-05-01,금호,6.10172,85.50295,7.14
2023-06-01,금호,10.49184,45.25608,23.18
2023-07-01,금호,6.47658,63.51333,10.2
2023-08-01,금호,8.75395,57.64695,15.19
2023-09-01,금호,5.98849,47.03222,12.73
2023-10-01,금호,5.64879,49.52601,11.41
2023-11-01,금호,5.40765,55.95854,9.66
2023-12-01,금호,9.54502,59.34928,16.08
2024-01-01,금호,8.78178,54.10974,16.23
2024-02-01,금호,8.74313,49.7544,17.57
2024-03-01,금호,13.34155,46.62838,28.61
2024-04-01,금호,8.06915,45.69316,17.66
2024-05-01,금호,9.67023,48.05517,20.12
2024-06-01,금호,6.72275,46.94372,14.32
2024-07-01,금호,11.44638,64.39946,17.77
2024-08-01,금호,11.49932,47.45964,24.23
2024-09-01,금호,5.99815,45.13782,13.29
2024-10-01,금호,6.13341,45.65374,13.43
2024-11-01,금호,6.90631,47.63702,14.5
2024-12-01,금호,6.516,48.19236,13.52
2020-01-01,난곡,1.61678,,
2020-02-01,난곡,1.84413,,
2020-03-01,난곡,1.64514,,
2020-04-01,난곡,1.78095,,
2020-05-01,난곡,1.86104,,
2020-06-01,난곡,3.40171,,
2020-07-01,난곡,1.77796,,
2020-08-01,난곡,1.6919,,
2020-09-01,난곡,2.03167,,
2020-10-01,난곡,1.65807,,
2020-11-01,난곡,2.02073,,
2020-12-01,난곡,1.42426,,
2021-01-01,난곡,1.52923,,
2021-02-01,난곡,1.7501,,
2021-03-01,난곡,1.70981,,
2021-04-01,난곡,1.76752,,
2021-05-01,난곡,1.80682,,
2021-06-01,난곡,1.74115,,
2021-07-01,난곡,1.69837,,
2021-08-01,난곡,1.72523,,
2021-09-01,난곡,1.77846,,
2021-10-01,난곡,1.62225,,
2021-11-01,난곡,1.5541,,
2021-12-01,난곡,1.50286,,
2022-01-01,난곡,0.91235,55.02571,1.66
2022-02-01,난곡,0.78482,47.23269,1.66
2022-03-01,난곡,0.87188,39.13882,2.23
2022-04-01,난곡,0.90458,29.31916,3.09
2022-05-01,난곡,0.96712,43.00733,2.25
2022-06-01,난곡,0.89845,53.33017,1.68
2022-07-01,난곡,0.95772,54.16527,1.77
2022-08-01,난곡,0.88087,100.0,0.88
2022-09-01,난곡,0.78195,48.36863,1.62
2022-10-01,난곡,0.84572,49.52052,1.71
2022-11-01,난곡,0.80444,45.02415,1.79
2022-12-01,난곡,0.79422,52.69127,1.51
2023-01-01,난곡,0.71246,50.63562,1.41
2023-02-01,난곡,0.63644,42.43792,1.5
2023-03-01,난곡,0.81384,43.93603,1.85
2023-04-01,난곡,0.81138,45.15986,1.8
2023-05-01,난곡,0.94791,90.43827,1.05
2023-06-01,난곡,0.73944,47.86831,1.54
2023-07-01,난곡,0.74844,67.17938,1.11
2023-08-01,난곡,0.89314,60.9744,1.46
2023-09-01,난곡,0.77296,49.74697,1.55
2023-10-01,난곡,0.7141,52.3847,1.36
2023-11-01,난곡,0.68263,59.18852,1.15
2023-12-01,난곡,0.66219,62.77499,1.05
2024-01-01,난곡,0.72391,57.23301,1.26
2024-02-01,난곡,0.6393,52.62628,1.21
2024-03-01,난곡,0.7002,49.31982,1.42
2024-04-01,난곡,0.69816,48.33062,1.44
2024-05-01,난곡,0.61068,50.82896,1.2
2024-06-01,난곡,0.58003,49.65337,1.17
2024-07-01,난곡,0.65769,68.11667,0.97
2024-08-01,난곡,0.69857,50.19906,1.39
2024-09-01,난곡,0.6581,47.74323,1.38
2024-10-01,난곡,0.64298,48.28892,1.33
2024-11-01,난곡,0.66873,50.38668,1.33
