period,group,ratio
2020-01-01,연남동,3.23743
2020-02-01,연남동,2.57925
2020-03-01,연남동,2.36915
2020-04-01,연남동,2.65246
2020-05-01,연남동,1.93045
2020-06-01,연남동,2.28389
2020-07-01,연남동,3.5874
2020-08-01,연남동,2.524
2020-09-01,연남동,1.68852
2020-10-01,연남동,2.87909
2020-11-01,연남동,2.49506
2020-12-01,연남동,0.79726
2021-01-01,연남동,1.51383
2021-02-01,연남동,2.66993
2021-03-01,연남동,2.81564
2021-04-01,연남동,2.77057
2021-05-01,연남동,3.17944
2021-06-01,연남동,2.90036
2021-07-01,연남동,1.80971
2021-08-01,연남동,2.11864
2021-09-01,연남동,2.29761
2021-10-01,연남동,2.7302
2021-11-01,연남동,2.77411
2021-12-01,연남동,2.78174
2022-01-01,연남동,2.86503
2022-02-01,연남동,2.19019
2022-03-01,연남동,2.28848
2022-04-01,연남동,2.91192
2022-05-01,연남동,3.25889
2022-06-01,연남동,2.95961
2022-07-01,연남동,3.3073
2022-08-01,연남동,3.22537
2022-09-01,연남동,2.73125
2022-10-01,연남동,2.98049
2022-11-01,연남동,2.59279
2022-12-01,연남동,2.99128
2023-01-01,연남동,2.86996
2023-02-01,연남동,2.72081
2023-03-01,연남동,2.49299
2023-04-01,연남동,2.33472
2023-05-01,연남동,2.39609
2023-06-01,연남동,2.20479
2023-07-01,연남동,2.3013
2023-08-01,연남동,2.23181
2023-09-01,연남동,2.0995
2023-10-01,연남동,2.31151
2023-11-01,연남동,1.96613
2023-12-01,연남동,2.31215
2024-01-01,연남동,2.05635
2024-02-01,연남동,2.06656
2024-03-01,연남동,1.92216
2024-04-01,연남동,1.73274
2024-05-01,연남동,1.77839
2024-06-01,연남동,1.67116
2024-07-01,연남동,1.68315
2024-08-01,연남동,1.68174
2024-09-01,연남동,1.40804
2024-10-01,연남동,1.47494
2024-11-01,연남동,1.43342
2024-12-01,연남동,1.72678
2020-01-01,이태원,3.23247
2020-02-01,이태원,3.82101
2020-03-01,이태원,3.31226
2020-04-01,이태원,2.60878
2020-05-01,이태원,17.99235
2020-06-01,이태원,1.11343
2020-07-01,이태원,1.69295
2020-08-01,이태원,1.55234
2020-09-01,이태원,1.1303
2020-10-01,이태원,6.8811
2020-11-01,이태원,5.7467
2020-12-01,이태원,6.97519
2021-01-01,이태원,0.99472
2021-02-01,이태원,1.50167
2021-03-01,이태원,1.75896
2021-04-01,이태원,1.60408
2021-05-01,이태원,1.88147
2021-06-01,이태원,1.85593
2021-07-01,이태원,1.19513
2021-08-01,이태원,1.43273
2021-09-01,이태원,1.6767
2021-10-01,이태원,3.09462
2021-11-01,이태원,2.32543
2021-12-01,이태원,1.7505
2022-01-01,이태원,1.75711
2022-02-01,이태원,1.45051
2022-03-01,이태원,1.64096
2022-04-01,이태원,2.22851
2022-05-01,이태원,2.89762
2022-06-01,이태원,2.90924
2022-07-01,이태원,2.83862
2022-08-01,이태원,2.81578
2022-09-01,이태원,2.44922
2022-10-01,이태원,100.0
2022-11-01,이태원,11.46434
2022-12-01,이태원,2.09216
2023-01-01,이태원,1.57234
2023-02-01,이태원,1.78628
2023-03-01,이태원,1.7036
2023-04-01,이태원,1.61738
2023-05-01,이태원,1.67673
2023-06-01,이태원,1.70214
2023-07-01,이태원,1.79644
2023-08-01,이태원,1.65547
2023-09-01,이태원,1.53614
2023-10-01,이태원,2.69501
2023-11-01,이태원,1.3468
2023-12-01,이태원,1.52638
2024-01-01,이태원,1.60092
2024-02-01,이태원,1.46568
2024-03-01,이태원,1.45261
2024-04-01,이태원,1.39217
2024-05-01,이태원,1.47286
2024-06-01,이태원,1.48475
2024-07-01,이태원,1.49125
2024-08-01,이태원,1.45255
2024-09-01,이태원,1.35841
2024-10-01,이태원,1.86485
2024-11-01,이태원,1.32297
2024-12-01,이태원,1.43985
2020-01-01,홍대,4.996
2020-02-01,홍대,3.42494
2020-03-01,홍대,2.59358
2020-04-01,홍대,2.8324
2020-05-01,홍대,3.45016
2020-06-01,홍대,2.1922
2020-07-01,홍대,3.2165
2020-08-01,홍대,2.83899
2020-09-01,홍대,1.83657
2020-10-01,홍대,3.11152
2020-11-01,홍대,2.61332
2020-12-01,홍대,1.31474
2021-01-01,홍대,1.9313
2021-02-01,홍대,2.93573
2021-03-01,홍대,2.86375
2021-04-01,홍대,2.48842
2021-05-01,홍대,3.16364
2021-06-01,홍대,3.31827
2021-07-01,홍대,2.11308
2021-08-01,홍대,2.47521
2021-09-01,홍대,2.71701
2021-10-01,홍대,3.23382
2021-11-01,홍대,3.39456
2021-12-01,홍대,3.45522
2022-01-01,홍대,3.71257
2022-02-01,홍대,3.23674
2022-03-01,홍대,3.0253
2022-04-01,홍대,3.44147
2022-05-01,홍대,4.35929
2022-06-01,홍대,3.99845
2022-07-01,홍대,5.11186
2022-08-01,홍대,4.71455
2022-09-01,홍대,3.71382
2022-10-01,홍대,4.5931
2022-11-01,홍대,3.63411
2022-12-01,홍대,4.38214
2023-01-01,홍대,4.52979
2023-02-01,홍대,4.63088
2023-03-01,홍대,3.53193
2023-04-01,홍대,3.29779
2023-05-01,홍대,3.77674
