행정동_코드,행정동,기준_년분기_코드,연도,분기,연도분기,상권티어,상권유형,FB카페_매출금액,FB식사_매출금액,주류유흥_매출금액,라이프스타일_매출금액,기타_매출금액,FB카페_매출건수,FB식사_매출건수,주류유흥_매출건수,라이프스타일_매출건수,기타_매출건수,총_매출금액,총_매출건수,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,월요일_매출_건수,화요일_매출_건수,수요일_매출_건수,목요일_매출_건수,금요일_매출_건수,토요일_매출_건수,일요일_매출_건수,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,시간대_00~06_매출_건수,시간대_06~11_매출_건수,시간대_11~14_매출_건수,시간대_14~17_매출_건수,시간대_17~21_매출_건수,시간대_21~24_매출_건수,남성_매출_금액,여성_매출_금액,남성_매출_건수,여성_매출_건수,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,연령대_10_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,연령대_40_매출_건수,연령대_50_매출_건수,연령대_60_이상_매출_건수,주중_매출_금액,주말_매출_금액,주중_매출_건수,주말_매출_건수
11110515,청운효자동,20201,2020,1,2020Q1,② 라이징스타,신흥 성장,2220163001,3779078713,28602429,1241885197,8341779940,202950,126610,810,130239,292218,15611509280,752827,3592350046,1747080155,3513890011,2060515260,1783739074,1826414901,1087519833,109249,104252,107433,114008,116718,119394,81773,236251401,1299010835,4698009104,4854144935,3602994316,921098689,10244,93531,196625,192143,211742,48542,4828181708,9849656485,337186,396482,40814800,3126475307,2269502831,2443530991,5157363493,1640150768,7158,160001,168799,176732,136844,84120,12697574546,2913934734,551660,201167
11110515,청운효자동,20202,2020,2,2020Q2,② 라이징스타,신흥 성장,2854688630,4633313773,41206128,1459595468,9309638835,249884,155305,1053,164716,345150,18298442834,916108,2803617704,2234613517,2037512489,3081097361,4114473055,2562820882,1464307826,123585,119451,128528,132351,141442,163571,107180,177126816,1140739616,5786599857,5484428196,4693909086,1015639263,10241,105352,234501,241876,269608,54530,6058326418,11241921422,423803,470590,67501820,3806595885,2884515083,3215863921,5415817676,1909931674,9332,214629,215708,190458,160453,103824,14271314126,4027128708,645357,270751
11110515,청운효자동,20203,2020,3,2020Q3,② 라이징스타,신흥 성장,2489528293,4413501862,57669268,1624145213,8983900218,219951,138851,1360,184357,284547,17568744854,829066,1691023918,4277460378,2849840994,2284707701,2688103860,2325182653,1452425350,107101,119682,123562,117964,130713,134516,95528,184674115,1102054379,4111454372,6638456419,4451997926,1080107643,12140,101504,204063,207322,242720,61317,5722353143,10721288323,368425,439016,71644084,3548850098,2637277769,2835328142,5363768194,1986748083,10660,190066,190120,170247,147915,98452,13791136851,3777608003,599022,230044
11110515,청운효자동,20204,2020,4,2020Q4,② 라이징스타,신흥 성장,2413162342,4756697627,137990626,1790029825,8972645910,206447,143833,2512,175630,276222,18070526330,804644,3004293306,2664764150,2481309592,3256971195,2718520690,2420836789,1523830608,112290,107815,116782,121769,123535,135044,87409,200669622,1309663082,5802410681,5335013158,4402966477,1019803310,10589,95321,208210,210313,225535,54676,5712646769,10862839191,355025,420599,68833926,3787111908,2641065845,3402043610,4900971958,1775458699,10386,184409,183866,168266,140611,88083,14125858933,3944667397,582191,222453
11110515,청운효자동,20211,2021,1,2021Q1,② 라이징스타,신흥 성장,2469207266,5664585138,175024755,1901648357,10189325285,174754,155453,3232,205947,342948,20399790801,882334,3793925368,2893363978,2751312303,2214914551,3752061036,3152154241,1842059324,123660,128180,133110,119469,129961,146463,101491,78672583,1199826712,7447804874,4921530141,5631566640,1120389851,10814,107611,222471,227426,257616,56396,6893492080,11884964267,414362,434190,64502157,4113476881,3397332116,3322684640,5463928063,2416532502,8374,179468,210333,181079,157025,112305,15405577236,4994213565,634380,247954
11110515,청운효자동,20212,2021,2,2021Q2,② 라이징스타,신흥 성장,3701120060,7069419486,298578196,2401915920,11162550334,288804,197994,5579,244943,400355,24633583996,1137675,3821398018,3647271861,3100305126,4358945447,3597114622,3685205069,2423343853,147874,150938,171412,162973,177986,187469,139023,98231886,1925050153,8874239440,5235579862,6816109519,1684373136,13054,140329,299312,289643,327092,68245,8344298862,14313355820,513655,582978,90814846,5001054428,4697749337,4292333555,5784410775,2791291738,11790,242438,285774,231116,186530,139000,18525035074,6108548922,811183,326492
11110515,청운효자동,20213,2021,3,2021Q3,② 라이징스타,신흥 성장,4989338293,6116628697,243567815,2255305166,11128632096,445392,179057,4862,243588,400256,24733472067,1273155,2450610700,3558358546,4202417335,4735870354,3720769778,3632702189,2432743165,164966,164774,178573,201488,196001,211196,156157,91479470,1756621427,7735132654,7556748688,6409037571,1184452257,12243,166038,335276,339276,351205,69117,8302870949,14722267777,556918,671111,125969183,5558147123,4656163057,4026072831,5987641374,2671145159,14793,299121,309357,247662,214321,142773,18668026713,6065445354,905802,367353
11110515,청운효자동,20214,2021,4,2021Q4,② 라이징스타,신흥 성장,5890535580,8062519035,386445460,2619357166,11137892941,471775,207869,6169,237012,413181,28096750182,1336006,3452359362,3538733392,4583759780,3664408479,5554036152,4395160260,2908292757,166607,173661,186702,189311,222637,229385,167703,132958212,2307774419,7845620382,8604575356,7093257467,2112564346,15771,172239,373808,363498,342139,68551,9232660047,16231110900,573524,711647,154411052,6122191301,5166206129,4845225841,6296533538,2879189278,19611,317692,322256,260517,214043,151046,20793297165,7303453017,938918,397088
11110515,청운효자동,20221,2022,1,2022Q1,② 라이징스타,신흥 성장,4949843235,5704741341,178439592,2206489168,10148522416,392873,164397,2963,199788,401755,23188035752,1161776,3901521764,4100610489,3523694771,2739864035,3352752160,3335430020,2234162513,162376,155541,166970,175087,170383,190176,141243,71742251,2226631850,8041460545,5678649849,6190297386,979253871,10157,146103,324856,319185,309233,52242,7762713249,13526360248,518207,600724,104351020,4962684116,4132891124,3631609789,5694687516,2762849909,12860,239425,276948,232349,208087,149251,17618443219,5569592533,830357,331419
11110515,청운효자동,20222,2022,2,2022Q2,② 라이징스타,신흥 성장,6066090225,8238389528,221008083,2638747247,10512234274,454248,225935,4209,274285,424945,27676469357,1383622,3704527519,3538955209,4268667808,4430855805,4388353265,4488663127,2856446624,185187,184567,190293,192886,212341,243723,174625,168142102,2532317128,9043116805,6587662023,7418798341,1926432958,16329,185299,386177,362922,360997,71898,9256961218,15601382640,606382,724399,117157598,5424433201,4932204459,4763059518,6269872465,3351616631,16715,271933,329550,286226,242735,183644,20331359606,7345109751,965274,418348
