도착_행정동코드,연도,분기,연도분기,연령대,HE_이동인구,WE_이동인구,EE_이동인구,합계_이동인구
1101053,2020,1,2020Q1,0,13373.66,468.65,8294.65,22136.96
1101053,2020,1,2020Q1,10,20940.82,1790.6499999999999,15740.39,38471.86
1101053,2020,1,2020Q1,20,19433.23,6241.11,41820.65,67494.99
1101053,2020,1,2020Q1,30,27015.19,10661.53,38980.84,76657.56
1101053,2020,1,2020Q1,40,53185.62,16393.29,47360.72,116939.63
1101053,2020,1,2020Q1,50,55001.15,15288.07,50801.23,121090.45000000001
1101053,2020,1,2020Q1,60,57586.34,9003.34,45853.88,112443.56
1101053,2020,1,2020Q1,70,40012.06,3917.0299999999997,26553.77,70482.86
1101053,2020,1,2020Q1,80,13938.98,1164.07,8685.6,23788.65
1101053,2020,2,2020Q2,0,5732.57,256.45,4966.35,10955.369999999999
1101053,2020,2,2020Q2,10,18203.77,1500.58,12665.88,32370.229999999996
1101053,2020,2,2020Q2,20,21996.44,5711.1,51935.48,79643.02
1101053,2020,2,2020Q2,30,27654.57,9193.91,43919.85,80768.32999999999
1101053,2020,2,2020Q2,40,45186.08,14591.11,41777.94,101555.13
1101053,2020,2,2020Q2,50,44673.45,14007.539999999999,42190.94,100871.93
1101053,2020,2,2020Q2,60,34328.59,6588.76,28163.62,69080.97
1101053,2020,2,2020Q2,70,16862.77,1862.9,10389.960000000001,29115.630000000005
1101053,2020,2,2020Q2,80,8051.64,964.27,5217.22,14233.130000000001
1101053,2020,3,2020Q3,0,8021.19,308.62,6690.11,15019.919999999998
1101053,2020,3,2020Q3,10,18412.06,1593.0,13269.54,33274.600000000006
1101053,2020,3,2020Q3,20,20785.25,5567.1900000000005,47488.1,73840.54000000001
1101053,2020,3,2020Q3,30,28206.5,9214.68,42253.15,79674.33
1101053,2020,3,2020Q3,40,47085.67,14156.87,42377.56,103620.1
1101053,2020,3,2020Q3,50,46198.67,12917.71,44339.17,103455.54999999999
1101053,2020,3,2020Q3,60,40214.93,7377.95,35871.05,83463.93
1101053,2020,3,2020Q3,70,22199.829999999998,2478.27,18026.47,42704.57
1101053,2020,3,2020Q3,80,9730.960000000001,1152.03,6792.93,17675.920000000002
1101053,2020,4,2020Q4,0,9490.11,265.18,8323.64,18078.93
1101053,2020,4,2020Q4,10,20514.87,1722.69,14352.8,36590.36
1101053,2020,4,2020Q4,20,23425.559999999998,4883.76,51888.07,80197.39
1101053,2020,4,2020Q4,30,28409.71,7642.26,46367.7,82419.67
1101053,2020,4,2020Q4,40,49793.74,12383.699999999999,43861.98,106039.42
1101053,2020,4,2020Q4,50,45570.19,11426.19,43939.0,100935.38
1101053,2020,4,2020Q4,60,37481.47,6405.99,30636.739999999998,74524.2
1101053,2020,4,2020Q4,70,17362.52,2075.18,10960.33,30398.03
1101053,2020,4,2020Q4,80,8602.11,1164.33,5344.4,15110.84
1101053,2021,1,2021Q1,0,8999.41,321.15999999999997,6635.23,15955.8
1101053,2021,1,2021Q1,10,19414.32,1530.75,13742.52,34687.59
1101053,2021,1,2021Q1,20,20753.78,3910.8599999999997,43758.14,68422.78
1101053,2021,1,2021Q1,30,26717.1,7021.49,37979.05,71717.64
1101053,2021,1,2021Q1,40,45607.88,11452.43,37252.36,94312.67
1101053,2021,1,2021Q1,50,41103.08,10712.210000000001,36540.08,88355.37
1101053,2021,1,2021Q1,60,33365.81,5395.44,24436.71,63197.96
1101053,2021,1,2021Q1,70,16306.94,1810.53,8942.58,27060.050000000003
1101053,2021,1,2021Q1,80,8644.91,964.49,4592.91,14202.31
1101053,2021,2,2021Q2,0,19124.71,815.98,14625.38,34566.07
1101053,2021,2,2021Q2,10,26461.22,2547.04,18096.68,47104.94
1101053,2021,2,2021Q2,20,29203.89,6341.55,65130.4,100675.84
1101053,2021,2,2021Q2,30,37861.65,10036.47,55788.83,103686.95000000001
1101053,2021,2,2021Q2,40,59983.01,15073.29,52566.49,127622.79000000001
1101053,2021,2,2021Q2,50,52347.659999999996,14621.27,47916.14,114885.06999999999
1101053,2021,2,2021Q2,60,44744.01,7168.349999999999,33875.34,85787.7
1101053,2021,2,2021Q2,70,21092.24,2459.1,13664.77,37216.11
1101053,2021,2,2021Q2,80,13175.76,1145.62,7509.78,21831.16
1101053,2021,3,2021Q3,0,13476.56,303.87,9592.96,23373.39
1101053,2021,3,2021Q3,10,21701.85,1914.05,14036.91,37652.81
1101053,2021,3,2021Q3,20,28028.62,4705.24,52491.63,85225.48999999999
1101053,2021,3,2021Q3,30,32608.51,7594.83,44516.13,84719.47
1101053,2021,3,2021Q3,40,51739.76,10760.039999999999,41791.51,104291.31
1101053,2021,3,2021Q3,50,44293.87,10929.35,36330.87,91554.09
1101053,2021,3,2021Q3,60,35781.31,6311.86,27414.16,69507.33
1101053,2021,3,2021Q3,70,18441.32,2391.29,11341.42,32174.03
1101053,2021,3,2021Q3,80,11068.460000000001,1202.3799999999999,6112.57,18383.41
1101053,2021,4,2021Q4,0,16518.76,723.39,14955.46,32197.609999999997
1101053,2021,4,2021Q4,10,32375.22,2753.89,26422.74,61551.850000000006
1101053,2021,4,2021Q4,20,36394.4,6709.53,81009.27,124113.20000000001
1101053,2021,4,2021Q4,30,42627.1,10244.77,67282.69,120154.56
1101053,2021,4,2021Q4,40,66034.15,16016.34,59550.26,141600.75
1101053,2021,4,2021Q4,50,60700.65,15967.26,58522.59,135190.5
1101053,2021,4,2021Q4,60,52915.01,8715.08,43994.63,105624.72
1101053,2021,4,2021Q4,70,24987.31,2768.56,16284.22,44040.090000000004
1101053,2021,4,2021Q4,80,15072.48,1338.48,8913.14,25324.1
1101053,2022,1,2022Q1,0,14349.76,510.77,13242.24,28102.77
1101053,2022,1,2022Q1,10,25054.9,2009.8700000000001,19358.21,46422.979999999996
1101053,2022,1,2022Q1,20,26360.89,4426.49,54716.49,85503.87
1101053,2022,1,2022Q1,30,32774.66,6956.72,43569.93,83301.31
1101053,2022,1,2022Q1,40,53048.29,11199.76,43759.33,108007.38
1101053,2022,1,2022Q1,50,50397.04,11639.26,42192.36,104228.66
1101053,2022,1,2022Q1,60,45098.59,6615.75,33172.41,84886.75
1101053,2022,1,2022Q1,70,21790.260000000002,2107.69,13430.17,37328.12
1101053,2022,1,2022Q1,80,13004.17,1069.32,7024.34,21097.83
1101053,2022,2,2022Q2,0,39090.88,1344.05,40248.93,80683.86
1101053,2022,2,2022Q2,10,45288.46,4724.56,41072.05,91085.07
1101053,2022,2,2022Q2,20,42169.93,8664.55,102383.39,153217.87
