area,2020,2021,2022,2023,2024,2025,growth_20_25,growth_22_25,growth_23_25,total_vol
성수,11618,13901,22225,28092,32770,38707,233.1,74.2,37.8,147313
해방촌,1827,2057,2890,3039,4392,5243,186.9,81.4,72.5,19448
문래,1875,2007,3147,3832,4542,5294,182.2,68.2,38.1,20697
서촌,4362,6055,7934,8420,10176,11543,164.6,45.5,37.1,48490
잠실,15065,15858,23841,27536,30937,37148,146.6,55.8,34.9,150385
연남,3059,4217,6331,6946,7371,7319,139.2,15.6,5.4,35243
코엑스,9096,9350,14427,16895,18357,21316,134.3,47.7,26.2,89441
망원,5003,5355,7343,8595,9746,11471,129.3,56.2,33.5,47513
답십리,754,807,785,974,949,1725,128.6,119.6,77.0,5994
노량진,3589,3533,4642,5290,6828,7910,120.4,70.4,49.5,31792
군자,1483,1798,2238,2466,2388,3247,118.9,45.1,31.7,13620
연희동,3032,3382,4652,5193,6023,6436,112.2,38.3,23.9,28718
사당,5018,5278,6784,7640,9384,10224,103.7,50.7,33.8,44328
홍대,20209,20001,28422,33441,38122,41080,103.3,44.5,22.8,181275
뚝섬,3632,3661,4956,5678,6604,7366,102.8,48.6,29.7,31897
건대,5473,5382,8343,9230,10101,11042,101.7,32.3,19.6,49571
북촌,3452,3877,5762,5748,6015,6759,95.8,17.3,17.6,31613
청량리,3583,3960,4511,5540,5990,6630,85.0,47.0,19.7,30214
미아,4131,3795,5892,6364,6941,7619,84.4,29.3,19.7,34742
합정,6885,7163,10265,11399,12409,12664,83.9,23.4,11.1,60785
화양,969,820,925,1040,1250,1775,83.1,91.8,70.6,6779
방배,2049,2430,2645,2730,2788,3679,79.5,39.1,34.7,16321
영등포,7559,7753,10509,11378,12713,13547,79.2,28.9,19.1,63459
왕십리,3494,3377,4434,4760,5185,6032,72.6,36.0,26.7,27282
을지로,7952,8313,10487,11859,13146,13440,69.0,28.2,13.3,65197
화곡,876,913,1223,1342,1205,1380,57.5,12.8,2.8,6939
역삼,3154,3151,4383,4456,4476,4945,56.8,12.8,11.0,24565
당산,2321,2445,3208,3389,3717,3633,56.5,13.2,7.2,18713
신정,2497,2765,2888,3188,3471,3812,52.6,32.0,19.6,18621
흑석,879,1050,956,1015,857,1328,51.0,38.9,30.8,6085
대학로,4885,4735,6576,7081,7078,7333,50.1,11.5,3.6,37688
상도,3587,3328,4323,5003,5341,5382,50.0,24.5,7.6,26964
중계,4487,4239,5429,5802,6385,6392,42.4,17.7,10.2,32734
서초,6914,7287,8048,8244,8016,9760,41.2,21.3,18.4,48269
압구정로데오,2363,2571,3803,4068,3771,3289,39.2,-13.5,-19.1,19865
강남역,8258,7868,9222,9801,9738,11261,36.4,22.1,14.9,56148
봉천,794,818,947,910,901,1044,31.4,10.2,14.7,5414
장안,2404,2458,2690,2895,3204,3140,30.6,16.7,8.5,16791
청담,8351,8122,9540,9529,9260,10769,29.0,12.9,13.0,55571
익선동,3305,3345,4280,4313,4079,3596,8.8,-16.0,-16.6,22918
이태원,10621,9203,13612,11033,11529,11440,7.7,-16.0,3.7,67438
신길,1463,1223,1466,1423,1706,1568,7.2,7.0,10.2,8849
면목,757,670,863,897,959,809,6.9,-6.2,-9.8,4955
가로수길,6824,6556,8553,8207,7183,6805,-0.3,-20.4,-17.1,44128
도화동,697,617,676,687,643,511,-26.6,-24.4,-25.6,3831
경리단길,1392,1136,1362,1157,1025,986,-29.1,-27.6,-14.8,7058
