패턴,행정동,당월_매출_금액,전체매출_순위,주말_매출_금액,주말금액_순위,주말_비중,주말비중_순위,연령대_20_매출_금액,20대금액_순위,20대_비중,20대비중_순위
두지표동시,이태원1동,2981.3,79,1309.7,29,43.9,1,685.4,26,23.0,15
두지표동시,용산2가동,551.6,347,210.1,289,38.1,5,129.9,171,23.6,14
두지표동시,연남동,1494.8,200,550.8,115,36.9,6,520.8,40,34.8,3
두지표동시,서원동,2337.3,117,770.9,73,33.0,14,651.6,29,27.9,10
두지표동시,서교동,14536.8,8,4715.9,6,32.4,16,4972.5,1,34.2,4
두지표동시,혜화동,2223.8,130,665.5,84,29.9,23,636.8,31,28.6,8
주말만높음,노량진2동,31914.0,1,12540.9,1,39.3,3,2146.4,4,6.7,209
주말만높음,항동,5.6,423,2.0,423,36.3,7,0.3,423,5.0,309
주말만높음,노량진1동,13404.3,11,4823.1,5,36.0,8,1012.8,18,7.6,170
주말만높음,우이동,1245.8,234,427.6,154,34.3,13,59.4,276,4.8,325
주말만높음,도봉1동,1876.1,152,603.4,101,32.2,17,66.9,260,3.6,381
20대만높음,화양동,3602.2,62,1024.0,41,28.4,44,1363.1,14,37.8,2
20대만높음,신촌동,5157.0,41,1216.9,33,23.6,198,1515.6,9,29.4,6
20대만높음,회기동,1282.3,228,289.4,236,22.6,242,377.3,59,29.4,5
20대만높음,사근동,1514.0,194,327.3,208,21.6,280,622.2,32,41.1,1
20대만높음,안암동,1600.0,181,314.9,216,19.7,345,468.8,48,29.3,7
