순위,행정동,당월_매출_금액,연령대_20_매출_금액,20대_비중,연령대_20_매출_건수
1,서교동,14536.8,4972.5,34.2,24219476
2,역삼1동,20983.6,3604.9,17.2,21126785
3,가산동,31066.6,2473.0,8.0,13393429
4,노량진2동,31914.0,2146.4,6.7,3812694
5,종로1·2·3·4가동,23001.1,2123.4,9.2,9194727
6,잠실6동,10663.9,1952.9,18.3,10642165
7,압구정동,14077.0,1827.7,13.0,3576036
8,신사동,11770.8,1799.0,15.3,5409037
9,신촌동,5157.0,1515.6,29.4,11371780
10,한강로동,24293.0,1510.2,6.2,3923261
11,서초4동,7815.6,1437.9,18.4,4509052
12,논현1동,10155.9,1421.7,14.0,4680608
13,영등포동,11232.4,1395.8,12.4,9883116
14,화양동,3602.2,1363.1,37.8,8599418
15,명동,9942.8,1258.3,12.7,7698504
16,여의동,14021.4,1157.5,8.3,7159861
17,삼성1동,10250.1,1082.7,10.6,5746841
18,노량진1동,13404.3,1012.8,7.6,5502158
19,청담동,11093.9,1006.4,9.1,2121999
20,방이2동,4912.0,904.9,18.4,3895039
