순위,행정동,당월_매출_금액,주말_매출_금액,주말_비중,주중_매출_금액
1,노량진2동,31914.0,12540.9,39.3,19373.2
2,가산동,31066.6,11012.1,35.4,20054.5
3,제기동,31153.8,8893.1,28.5,22260.7
4,한강로동,24293.0,5019.3,20.7,19273.6
5,노량진1동,13404.3,4823.1,36.0,8581.2
6,서교동,14536.8,4715.9,32.4,9821.0
7,종로1·2·3·4가동,23001.1,4257.0,18.5,18744.1
8,잠실6동,10663.9,3807.5,35.7,6856.4
9,압구정동,14077.0,3791.1,26.9,10285.8
10,역삼1동,20983.6,3713.8,17.7,17269.8
11,가락1동,17335.7,3419.2,19.7,13916.5
12,영등포동,11232.4,3097.9,27.6,8134.5
13,신사동,11770.8,2635.7,22.4,9135.0
14,청담동,11093.9,2557.5,23.1,8536.4
15,삼성1동,10250.1,2528.5,24.7,7721.6
16,논현1동,10155.9,2107.9,20.8,8048.0
17,대치4동,8554.3,1995.1,23.3,6559.2
18,명동,9942.8,1890.5,19.0,8052.3
19,발산1동,6335.2,1880.5,29.7,4454.7
20,여의동,14021.4,1826.0,13.0,12195.3
