행정동,업종,연도,당월_매출_금액,당월_매출_건수,주중_매출_금액,주말_매출_금액,주중_매출_건수,주말_매출_건수,연령대_20_매출_금액,연령대_20_매출_건수,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액
가락1동,미곡판매,2020,71027475767,1816714,64671783660,6355692107,1602142,214572,765398937,25133,15518947337,12102898811,11910986396,12033613775,13105337341,5947371807,408320300
가락1동,미곡판매,2021,78975962159,1771701,68951689396,10024272763,1571762,199939,1522732748,41637,14417176501,13408012032,13419652068,14668845852,13038002943,9952999583,71273180
가락1동,미곡판매,2022,122379099092,1620525,110648021211,11731077881,1419087,201438,1718996582,3000,20308823934,22333751259,19859662224,24999837124,23145946670,11423665400,307412481
가락1동,미곡판매,2023,106434660245,1367320,94790760718,11643899527,1171881,195439,69622643,3000,20206659454,19249554419,18934208105,17377039158,19023299582,11563060736,80838791
가락1동,미곡판매,2024,89919003617,1141497,78645349507,11273654110,958065,183432,9528099,750,17820374472,13687076544,16045442323,15386379221,15706076947,11078778230,194875880
가락1동,반찬가게,2020,685685401485,15164778,556781062977,128904338508,11791599,3373179,36162058192,1084921,111020523124,114130537723,106655967691,103021593741,121952440698,100556683363,28347655145
가락1동,반찬가게,2021,957065587978,19087632,779622580406,177443007572,14951623,4136009,27330743427,1017316,163908334166,151244991119,150306289516,141592945852,172570019753,140806479599,36636527973
가락1동,반찬가게,2022,1179675525284,18881586,960650453018,219025072266,14958733,3922853,31681772122,982007,195253840012,187777107028,181868117484,187106257521,208645130973,177276100277,41748971989
가락1동,반찬가게,2023,1219616272145,18260430,1023246241426,196370030719,14740844,3519586,18345646559,648069,200251758884,211532494996,198468485642,202254664554,210738837350,158584608534,37785422185
가락1동,반찬가게,2024,1174195704960,17546911,970083134344,204112570616,14257486,3289425,15053841285,420490,201004436059,192510356869,191079492596,190816853679,194671995141,166231968853,37880601763
가락1동,분식전문점,2020,1737986731,52901,1270599632,467387099,40064,12837,184105443,4963,216421063,234084584,241951651,258371250,319771084,293976636,173410463
가락1동,분식전문점,2021,41218398,5352,40744818,473580,5264,88,10340558,2004,4982279,9850459,9846053,6473724,9592303,473580,0
가락1동,분식전문점,2022,203580344,22005,198923843,4656501,21345,660,25300173,4073,35192922,36521147,35208343,38943320,53058111,4458258,198243
가락1동,분식전문점,2023,155861259,14053,152878807,2982452,13657,396,19165662,2752,21894582,32388889,26059440,25074616,47461280,2982452,0
가락1동,분식전문점,2024,143389305,13129,142838631,550674,13063,66,14405633,2398,18844728,30711095,27380838,25316692,40585278,550674,0
가락1동,슈퍼마켓,2020,102417005075,1858285,72928618596,29488386479,1332218,526067,3102765943,76956,14713365542,14623206667,14491858755,14253753809,14846433823,16684479885,12803906594
가락1동,슈퍼마켓,2021,100899349449,2081325,72251996456,28647352993,1523812,557513,2894401256,130192,14956381229,14103371535,13861104788,13786220823,15544918081,16417469849,12229883144
가락1동,슈퍼마켓,2022,99178055263,1961580,71735818614,27442236649,1436097,525483,2572046032,105286,14390158113,14060629929,13631342742,13974952188,15678735642,15927308328,11514928321
가락1동,슈퍼마켓,2023,97590255738,1944230,70934660848,26655594890,1426352,517878,1674571680,87093,14419709230,14019724538,13519581422,13720025618,15255620040,15217625206,11437969684
가락1동,슈퍼마켓,2024,92090432116,1941618,66998804353,25091627763,1428084,513534,1482528967,81636,13727097736,12911032128,12582666676,12995900549,14782107264,14465123162,10626504601
가락1동,양식음식점,2020,65802129,2583,50419965,15382164,1990,593,6406543,294,8194621,9392545,11221728,12010065,9601006,7760080,7622084
가락1동,양식음식점,2021,133308363,5748,99575651,33732712,4399,1349,11491847,504,17415697,17325266,20305983,22566769,21961936,17968857,15763855
가락1동,양식음식점,2022,252861565,9638,209463254,43398311,8141,1497,19756934,1010,42167916,37667066,45623870,40562049,43442353,37229591,6168720
가락1동,양식음식점,2023,485597863,13484,375539189,110058674,10820,2664,25582913,968,72936225,76653576,78491874,77821238,69636276,66103070,43955604
가락1동,양식음식점,2024,658532107,12151,418834086,239698021,8672,3479,37292040,899,70355059,75285246,85189715,89927884,98076182,122064424,117633597
가락1동,육류판매,2020,393671532074,4483976,283825470583,109846061491,3149208,1334768,14852664074,259032,48923698665,54569082448,55819453425,60474916284,64038319761,77555262102,32290799389
가락1동,육류판매,2021,383611764424,3964814,266330169278,117281595146,2696914,1267900,13726677268,222224,46391400019,48017413402,50956060150,54813815983,66151479724,82500416867,34781178279
가락1동,육류판매,2022,356801276367,3324802,257565029802,99236246565,2310063,1014739,11333684665,150856,44994693075,45115469056,47233156168,54353795545,65867915958,72120571868,27115674697
가락1동,육류판매,2023,332738241160,3037902,242900471195,89837769965,2176983,860919,8547771754,104173,39494123155,44457566990,48204782808,52705318444,58038679798,67228190400,22609579565
가락1동,육류판매,2024,305979974097,2794064,225410505683,80569468414,2012964,781100,8370268143,79871,37282018540,44204506558,41631016489,47323795479,54969168617,60071785299,20497683115
가락1동,의료기기,2020,34000000,105,34000000,0,105,0,0,0,0,17000000,0,0,17000000,0,0
가락1동,의료기기,2021,34000000,36,34000000,0,36,0,0,0,0,0,0,0,34000000,0,0
가락1동,의료기기,2022,34000000,40,34000000,0,40,0,0,0,15454545,17000000,0,0,1545455,0,0
가락1동,의약품,2020,1264880367,85886,1137923135,126957232,75617,10269,74025415,9142,254503467,241498304,220864567,188133510,232923287,123869555,3087677
가락1동,의약품,2021,1457356697,91525,1273934409,183422288,81441,10084,105264361,10648,308969854,242419577,209554271,238373709,274616998,163276871,20145417
가락1동,의약품,2022,1660081227,96575,1507679188,152402039,86892,9683,105717238,8387,341396405,294616422,238398883,299198434,334069044,145639355,6762684
가락1동,의약품,2023,1195665521,72711,1072799464,122866057,66285,6426,48787193,5031,256941724,206377808,215180204,212244243,182055485,122866057,0
가락1동,의약품,2024,1174002092,68869,1070037988,103964104,62945,5924,35449556,4244,233901597,220190629,183946689,239231196,192767877,103964104,0
가락1동,일반의원,2020,599392967,18383,527084204,72308763,16699,1684,67726391,1476,146970291,79352066,71768027,97728598,131265222,72308763,0
가락1동,일반의원,2021,1208072858,41473,1067201770,140871088,37764,3709,71891952,3022,238242278,214346246,193243802,242965284,178404160,140871088,0
가락1동,일반의원,2022,1223515928,41911,1111597317,111918611,38126,3785,73551761,3325,251076327,240026832,168517433,245085771,206890954,111918611,0
가락1동,일반의원,2023,1873525267,37729,1720941564,152583703,34005,3724,120033601,1979,415331436,316374243,261457708,403903552,323874625,152583703,0
가락1동,일반의원,2024,2273106800,34905,2181029341,92077459,32483,2422,52487223,1458,410550977,547114913,380496427,422967304,419899720,92077459,0
가락1동,자동차수리,2020,55757028,837,53086359,2670669,765,72,0,0,5195995,4214934,24054189,15406308,4214933,2670669,0
가락1동,자동차수리,2021,95886103,1455,95886103,0,1455,0,399692,36,12484922,11009698,24628293,25216929,22546261,0,0
가락1동,자동차수리,2022,70629205,980,64125127,6504078,835,145,0,0,1598768,4585557,35063886,12067064,10809852,6504078,0
가락1동,자동차수리,2023,103781837,2327,93934880,9846957,2147,180,0,0,20268016,23647231,6078952,33530521,10410160,9846957,0
가락1동,자동차수리,2024,94563486,1781,94083856,479630,1745,36,323387,72,12891883,17201290,27324398,21001995,15664290,479630,0
가락1동,치과의원,2020,1570134026,8582,1341077992,229056034,7562,1020,99527718,888,284289634,350586877,318333466,201607622,186260393,229056034,0
가락1동,치과의원,2021,1509194171,8374,1287054640,222139531,7441,933,118365325,731,246753022,197113397,397562461,285002695,160623065,222139531,0
가락1동,치과의원,2022,1323740240,9411,1209079282,114660958,8064,1347,130720458,906,227876809,344349940,272600817,99654947,264596769,114660958,0
가락1동,치과의원,2023,1546882893,10170,1418621839,128261054,8858,1312,20762446,612,204553037,422631757,410459682,127130003,253847360,128261054,0
가락1동,치과의원,2024,1528207818,12412,1291693842,236513976,10807,1605,33460181,813,327119463,403849811,172886649,164487051,223350868,236513976,0
가락1동,커피-음료,2020,1570076388,126081,1011184268,558892120,97843,28238,127991709,20332,152333642,297137072,223275960,160435615,178001979,148486178,410405942
가락1동,커피-음료,2021,1797100327,206717,1203033672,594066655,144528,62189,304820194,38634,212690696,232121953,254623943,256098436,247498644,359529733,234536922
가락1동,커피-음료,2022,2182859586,288589,1577342283,605517303,213916,74673,259114584,45950,272466700,292473202,324018294,350509545,337874542,391169206,214348097
가락1동,커피-음료,2023,2996327760,461414,2129867759,866460001,339472,121942,293341485,55087,347001380,413443573,447690795,452726486,469005525,539940102,326519899
가락1동,커피-음료,2024,3713139814,566031,2646564348,1066575466,417087,148944,314973252,55745,441403779,491227631,547356506,570024157,596552275,666836086,399739380
가락1동,편의점,2020,16692195281,2709316,13278237213,3413958068,2183979,525337,3025199384,555909,2535757031,2634366749,2635013066,2724878703,2748221664,2111411828,1302546240
가락1동,편의점,2021,3115346850,509403,2412152997,703193853,396021,113382,433458356,84151,442228963,429627603,453699137,531366554,555230740,417225150,285968703
가락1동,편의점,2022,3443698213,577572,2627165973,816532240,445089,132483,626394943,113816,471874135,526486722,494964324,551114349,582726443,519024246,297507994
가락1동,편의점,2023,3722400715,620518,2844741004,877659711,476641,143877,517260083,92436,489928316,560647149,562069052,571954820,660141667,572362661,305297050
가락1동,편의점,2024,4268129782,683778,3252115202,1016014580,526338,157440,561356403,94811,590535550,621908635,634043592,658831086,746796339,619748614,396265966
가락1동,한식음식점,2020,44386460384,820955,30616224905,13770235479,567984,252971,5378044821,112487,5019169005,5551410882,5834897937,6423985066,7786762015,8631968972,5138266507
가락1동,한식음식점,2021,27643538771,639365,18572109068,9071429703,449112,190253,3221432919,76565,3150320233,3337139921,3670141981,3768655717,4645851216,5579090870,3492338833
가락1동,한식음식점,2022,42108523678,775703,27972535514,14135988164,533152,242551,4305083614,84743,4709933780,5148921847,5158315639,5725913133,7229451115,8607925113,5528063051
가락1동,한식음식점,2023,50788819711,873811,34431427970,16357391741,612693,261118,4146797815,75289,6064557400,6272872274,6342197786,7105374272,8646426238,10069195785,6288195956
가락1동,한식음식점,2024,54007161582,879935,36720196249,17286965333,620746,259189,3935624083,70675,6133116854,6714572675,6977600184,7649605754,9245300782,11254108236,6032857097
가락1동,한의원,2020,111869812,7100,101033268,10836544,6613,487,3400150,256,19049528,29398148,21723667,15557415,15304510,10836544,0
가락1동,한의원,2021,116047067,7893,103698210,12348857,7074,819,7409594,578,19299878,19478700,23586471,23072998,18260163,12348857,0
가락1동,한의원,2022,257006432,11341,189353397,67653035,9272,2069,2234026,181,51296038,30677995,32775306,33360307,41243751,67653035,0
가락1동,한의원,2023,167179611,11035,116706149,50473462,8658,2377,1302837,103,30989654,14928987,24564875,20035597,26187036,50473462,0
가락1동,한의원,2024,90639178,5799,83570645,7068533,5260,539,332096,26,22242759,15107804,11597810,7104298,27517974,7068533,0
가락1동,호프-간이주점,2020,3310241371,90850,2575560399,734680972,72338,18512,289628692,8693,418108488,539464039,544221330,530762752,543003790,552559675,182121297
가락1동,호프-간이주점,2021,3339175967,92515,2578399660,760776307,72942,19573,195952534,6250,391551470,498560964,540654963,577585692,570046571,550317956,210458351
가락1동,호프-간이주점,2022,3432000000,78055,2660904524,771095476,61890,16165,258063441,5879,439986688,482812706,503035913,595116967,639952250,580892189,190203287
가락1동,호프-간이주점,2023,3432000000,71517,2640255254,791744746,55728,15789,204318282,4607,395797374,455339787,533109545,607699216,648309332,585674282,206070464
가락1동,호프-간이주점,2024,3432000000,67015,2609067183,822932817,51115,15900,215968278,4458,386724979,509187647,503544356,566663284,642946917,591455967,231476850
가락1동,화장품,2023,83590423,731,63941799,19648624,548,183,2168896,32,2772132,7067412,8072690,38596598,7432967,19283068,365556
가락2동,PC방,2020,1712330055,318766,1111725538,600604517,208272,110494,1156859531,215048,218686414,212017548,211421218,221465388,248134970,308005262,292599255
가락2동,PC방,2021,4126501852,768762,2635292323,1491209529,498117,270645,2396756981,435537,520411925,509225080,488086541,514361752,603207025,740079264,751130265
가락2동,PC방,2022,2653456952,520140,1742283168,911173784,344331,175809,1143692028,235360,352900161,308443942,345832800,341782787,393323478,466221891,444951893
가락2동,PC방,2023,2909251967,532030,1874815852,1034436115,343677,188353,1305652098,215198,400686902,354728195,323060445,335434948,460905362,536208182,498227933
가락2동,PC방,2024,1583124805,262768,997638375,585486430,166570,96198,651522575,104678,212217839,188309700,171528609,175124406,250457821,294012725,291473705
가락2동,가구,2020,21954847,81,14642628,7312219,36,45,0,0,1091376,1273272,0,0,12277980,7312219,0
가락2동,가구,2021,31422534,64,31422534,0,64,0,0,0,17280120,0,727584,454740,12960090,0,0
가락2동,가구,2022,77055692,63,77055692,0,63,0,0,0,14665365,39107639,9640488,13642200,0,0,0
가락2동,가구,2023,25356302,36,15806762,9549540,27,9,0,0,0,5302268,5957094,4547400,0,9549540,0
가락2동,가구,2024,44791890,54,26602290,18189600,45,9,0,0,4092660,18007704,409266,0,4092660,0,18189600
가락2동,가전제품,2020,35810510,5,0,35810510,0,5,0,0,0,0,0,0,0,0,35810510
가락2동,가전제품수리,2020,316074545,5659,315259636,814909,5637,22,39754341,704,57924608,59774672,61646758,89794155,46119443,814909,0
가락2동,가전제품수리,2021,365045922,5287,363379669,1666253,5230,57,54439486,881,45722999,94243114,69676917,63986531,89750108,1666253,0
가락2동,가전제품수리,2022,340122268,4404,340122268,0,4404,0,38031350,579,50177124,60083017,67263023,72783144,89815960,0,0
가락2동,가전제품수리,2023,443206267,5346,443206267,0,5346,0,41692503,726,102714366,69905972,50920796,118470142,101194991,0,0
가락2동,가전제품수리,2024,554161179,5677,549461198,4699981,5638,39,57208890,803,68760696,94879628,147806862,115043814,122970198,4699981,0
가락2동,골프연습장,2020,815360528,22748,509740088,305620440,13935,8813,17699258,478,96140061,102014475,103659893,100243422,107682237,169185337,136435103
가락2동,골프연습장,2021,986387312,23339,609076071,377311241,13446,9893,25772035,502,95032531,138845400,124804949,110790794,139602397,193244653,184066588
가락2동,골프연습장,2022,1106455543,26445,676051328,430404215,14840,11605,25956230,769,97178121,142596132,112674140,177149158,146453777,195687107,234717108
가락2동,골프연습장,2023,868080972,18476,568717545,299363427,11150,7326,9312472,228,77596254,124708160,144222055,104894764,117296312,178523162,120840265
가락2동,골프연습장,2024,736337077,16373,496387763,239949314,10202,6171,13187517,132,102466431,95264266,104854520,101859779,91942767,114846880,125102434
가락2동,네일숍,2020,56032736,830,43133292,12899444,657,173,13844258,233,9404914,6817639,8777003,7896282,10237454,9396212,3503232
가락2동,네일숍,2021,114933664,1645,78395736,36537928,1191,454,21684931,336,10521183,13539696,18366897,12960936,23007024,29183136,7354792
가락2동,네일숍,2022,150634753,1709,119628907,31005846,1428,281,15261187,215,22916700,27336836,25282568,24847176,19245627,20525723,10480123
가락2동,네일숍,2023,196427003,2337,166408520,30018483,1904,433,20864870,292,33731008,25412824,37128870,34783612,35352206,22009253,8009230
가락2동,네일숍,2024,119110038,1448,83050195,36059843,1021,427,6836349,118,11203114,11178741,16410993,14923387,29333960,27199169,8860674
