iter	MultiClass
0	1.085481686
1	1.072798729
2	1.061474343
3	1.051081214
4	1.040661489
5	1.031213295
6	1.022108609
7	1.013754225
8	1.005743285
9	0.9981642507
10	0.9916213399
11	0.9838941006
12	0.9775831613
13	0.9716360756
14	0.9655773409
15	0.9596759089
16	0.9543906732
17	0.9487968162
18	0.9439145657
19	0.9387514658
20	0.9334601363
21	0.9291345538
22	0.9242911312
23	0.9198704541
24	0.9157007173
25	0.910900444
26	0.9070737067
27	0.9030393869
28	0.8986974938
29	0.8950486215
30	0.8907836719
31	0.8873812178
32	0.8837104232
33	0.8803695624
34	0.8774780143
35	0.8742972801
36	0.8710167386
37	0.8678295488
38	0.8648293126
39	0.8619068474
40	0.859484213
41	0.8558177155
42	0.8531205095
43	0.8497709134
44	0.8471852129
45	0.844523721
46	0.8422653586
47	0.8389557835
48	0.8364824543
49	0.8335342987
50	0.8307609906
51	0.8283554087
52	0.8262801801
53	0.8236137797
54	0.8209425568
55	0.8186983714
56	0.8160866306
57	0.8135512181
58	0.8112339456
59	0.8090117929
60	0.8064850229
61	0.8046272736
62	0.8018417161
63	0.7998925523
64	0.7973567983
65	0.7953739321
66	0.793118384
67	0.7901041451
68	0.7879969743
69	0.7858031977
70	0.7836306178
71	0.7811678043
72	0.7790505796
73	0.7774080556
74	0.7750231851
75	0.7730054019
76	0.7712448597
77	0.7685036171
78	0.7658928276
79	0.7633586388
80	0.7611763365
81	0.7587044404
82	0.7563242348
83	0.7544522988
84	0.7528853992
85	0.7507456913
86	0.7491075668
87	0.7475457047
88	0.7459270198
89	0.7436898999
90	0.7415604249
91	0.7388102761
92	0.7370288007
93	0.7352690663
94	0.7331781262
95	0.7313735126
96	0.729692024
97	0.7282390163
98	0.7265806049
99	0.7244724325
100	0.7222762013
101	0.7202648689
102	0.7179697285
103	0.7159100481
104	0.7140499628
105	0.7125585027
106	0.7110176058
107	0.708817763
108	0.7076942042
109	0.705996884
110	0.704022321
111	0.7017136013
112	0.7000554651
113	0.6992420638
114	0.6975406249
115	0.6960966965
116	0.6947976645
117	0.6937011351
118	0.6920706407
119	0.6902768679
120	0.6888565792
121	0.6877897357
122	0.6861660737
123	0.6846447939
124	0.6824682469
125	0.6805974096
126	0.6785266463
127	0.6764373093
128	0.6753918903
129	0.673547927
130	0.67252665
131	0.6706590189
132	0.6691884573
133	0.6675770595
134	0.6661794683
135	0.6644589403
136	0.6627737316
137	0.661217886
138	0.6599160206
139	0.6582992789
140	0.656741725
141	0.6552736346
142	0.6533777191
143	0.6518975609
144	0.6504253681
145	0.6491320098
146	0.6474690442
147	0.6458809698
148	0.6439856058
