iter	Passed	Remaining
0	99	96281
1	199	96633
2	298	96399
3	398	96568
4	496	96091
5	613	98828
6	729	100719
7	836	100849
8	939	100664
9	1039	100143
10	1142	99894
11	1242	99532
12	1344	99263
13	1448	99220
14	1550	99002
15	1653	98918
16	1755	98741
17	1857	98558
18	1957	98304
19	2060	98183
20	2162	98017
21	2264	97897
22	2369	97886
23	2472	97751
24	2576	97686
25	2677	97517
26	2779	97391
27	2882	97269
28	2986	97206
29	3086	97022
30	3188	96891
31	3292	96826
32	3397	96763
33	3499	96639
34	3600	96480
35	3701	96348
36	3802	96182
37	3904	96059
38	4005	95917
39	4109	95859
40	4213	95771
41	4317	95708
42	4420	95607
43	4521	95467
44	4622	95325
45	4726	95251
46	4830	95168
47	4931	95040
48	5033	94919
49	5136	94827
50	5236	94660
51	5337	94542
52	5442	94468
53	5542	94325
54	5644	94215
55	5748	94126
56	5850	94018
57	5950	93879
58	6053	93778
59	6154	93655
60	6258	93563
61	6361	93467
62	6465	93396
63	6562	93209
64	6664	93098
65	6766	92983
66	6868	92883
67	6972	92795
68	7073	92677
69	7177	92588
70	7278	92463
71	7376	92312
72	7481	92237
73	7582	92116
74	7685	92026
75	7791	91955
76	7892	91835
77	7993	91724
78	8094	91603
79	8195	91481
80	8295	91351
81	8400	91283
82	8505	91198
83	8608	91101
84	8708	90982
85	8817	90938
86	8942	91069
87	9044	90955
88	9148	90867
89	9250	90758
90	9354	90664
91	9456	90553
92	9563	90490
93	9667	90404
94	9770	90297
95	9872	90193
96	9975	90089
97	10073	89941
98	10175	89833
99	10276	89711
100	10377	89592
101	10478	89475
102	10578	89354
103	10682	89256
104	10783	89143
105	10882	89012
106	10983	88897
107	11085	88784
108	11183	88645
109	11286	88548
110	11390	88456
111	11493	88358
112	11598	88271
113	11704	88197
114	11806	88083
115	11912	88005
116	12013	87892
117	12116	87794
118	12217	87676
119	12321	87586
120	12426	87499
121	12526	87379
122	12629	87279
123	12732	87178
124	12836	87086
125	12941	86997
126	13043	86889
127	13146	86787
128	13250	86690
129	13348	86563
130	13453	86469
131	13558	86383
132	13659	86269
133	13757	86135
134	13858	86026
135	13963	85937
136	14064	85823
137	14166	85716
138	14266	85599
139	14370	85502
140	14469	85380
141	14572	85277
142	14676	85183
143	14777	85075
144	14876	84950
145	14981	84861
146	15083	84752
147	15194	84698
148	15309	84664
149	15409	84547
150	15512	84443
151	15612	84330
152	15721	84260
153	15826	84166
154	15930	84069
155	16034	83973
156	16134	83856
157	16236	83751
158	16336	83633
159	16438	83526
160	16541	83425
161	16641	83308
162	16743	83202
163	16845	83098
164	16945	82982
165	17046	82869
166	17150	82775
167	17258	82694
168	17358	82579
169	17462	82484
170	17561	82363
171	17661	82248
172	17761	82132
173	17863	82029
174	17966	81928
175	18068	81819
176	18168	81708
177	18270	81602
178	18371	81492
179	18471	81376
180	18572	81267
181	18672	81151
182	18776	81056
183	18880	80958
184	18980	80847
185	19083	80747
186	19188	80651
187	19293	80558
188	19398	80466
189	19501	80364
190	19605	80268
191	19708	80166
192	19812	80069
193	19914	79965
194	20015	79856
195	20119	79761
196	20220	79650
197	20324	79554
198	20433	79476
199	20533	79363
200	20640	79274
201	20744	79177
202	20846	79072
203	20948	78967
204	21051	78866
205	21152	78755
206	21251	78641
207	21353	78534
208	21457	78438
209	21558	78330
210	21668	78252
211	21780	78184
212	21886	78094
213	21991	77997
214	22091	77885
215	22194	77782
216	22297	77681
217	22401	77582
218	22500	77466
219	22597	77346
220	22699	77240
221	22802	77137
222	22906	77040
223	23009	76936
224	23113	76841
225	23215	76735
226	23319	76634
227	23426	76547
228	23528	76442
229	23630	76337
230	23728	76217
231	23831	76115
232	23932	76008
233	24033	75901
234	24134	75791
235	24236	75686
236	24339	75585
237	24440	75478
238	24543	75375
239	24645	75270
240	24748	75169
241	24851	75067
242	24954	74966
243	25056	74861
244	25158	74755
245	25260	74653
246	25363	74551
247	25474	74473
248	25575	74365
249	25677	74260
250	25778	74151
251	25881	74051
252	25986	73952
253	26084	73838
254	26189	73741
255	26289	73632
256	26393	73532
257	26494	73424
258	26596	73319
259	26701	73224
260	26804	73120
261	26905	73015
262	27004	72902
263	27104	72791
264	27208	72692
265	27314	72599
266	27416	72494
267	27518	72390
268	27620	72286
269	27722	72181
270	27824	72077
271	27926	71971
272	28028	71867
273	28129	71761
274	28232	71659
275	28344	71579
276	28452	71489
277	28560	71401
278	28664	71301
279	28768	71201
280	28872	71102
281	28975	71000
282	29079	70900
283	29182	70798
284	29285	70696
285	29385	70587
286	29489	70487
287	29592	70384
288	29693	70277
289	29795	70173
290	29900	70076
291	30002	69972
292	30106	69870
293	30209	69768
294	30311	69665
295	30411	69555
296	30513	69452
297	30618	69353
298	30720	69249
299	30822	69146
300	30926	69045
301	31026	68936
302	31129	68833
303	31232	68732
304	31334	68628
305	31437	68524
306	31538	68419
307	31642	68318
308	31742	68210
309	31847	68111
310	31950	68011
311	32053	67907
312	32155	67804
313	32256	67697
314	32359	67596
315	32463	67496
316	32568	67397
317	32674	67300
318	32775	67195
319	32878	67093
320	32980	66987
321	33087	66895
322	33188	66788
323	33291	66685
324	33398	66591
325	33499	66485
326	33604	66386
327	33707	66284
328	33808	66178
329	33910	66074
330	34015	65974
331	34118	65874
332	34218	65764
333	34322	65664
334	34425	65563
335	34528	65459
336	34630	65356
337	34734	65255
338	34837	65152
339	34936	65043
340	35038	64938
341	35139	64832
342	35238	64724
343	35342	64624
344	35464	64555
345	35567	64452
346	35668	64346
347	35770	64243
348	35875	64143
349	35975	64035
350	36075	63929
351	36177	63824
352	36281	63723
353	36382	63617
354	36488	63520
355	36592	63420
356	36696	63318
357	36800	63219
358	36905	63119
359	37013	63025
360	37115	62922
361	37217	62817
362	37320	62714
363	37419	62606
364	37522	62502
365	37626	62401
366	37728	62298
367	37828	62191
368	37933	62090
369	38033	61984
370	38132	61876
371	38236	61774
372	38342	61676
373	38444	61573
374	38547	61470
375	38644	61357
376	38740	61245
377	38843	61142
378	38945	61038
379	39047	60935
380	39146	60826
381	39250	60725
382	39353	60623
383	39458	60524
384	39561	60421
385	39664	60318
386	39768	60218
387	39872	60117
388	39977	60017
389	40080	59914
390	40186	59816
391	40288	59713
392	40392	59612
393	40498	59513
394	40600	59410
395	40704	59309
396	40806	59205
