행정동,Tier,Tier_설명,Phase35_유사도,Phase35_업종점수,Phase35_20대비중,Phase41_이동성장세,Phase41_사분면,주말집중도,구역유형
보문동,1,Tier1_최고확신,0.6006,0.4335,0.2575,0.1547,2사분면_유망,1.0032,주거형
성산2동,1,Tier1_최고확신,0.5225,0.3947,0.252,0.541,2사분면_유망,1.1014,상권형
논현2동,2,Tier2_중기안정,0.5596,0.5799,0.3193,,필터제외,0.7095,오피스형
다산동,2,Tier2_중기안정,0.6874,0.4994,0.2892,,필터제외,0.9149,혼합형
망원1동,2,Tier2_중기안정,0.4995,0.4243,0.3612,,필터제외,1.1178,상권형
망원2동,2,Tier2_중기안정,0.6429,0.3228,0.2652,-0.0883,3사분면_하락,1.0903,주거형
반포1동,2,Tier2_중기안정,0.6713,0.2444,0.3246,,필터제외,0.9227,혼합형
서초2동,2,Tier2_중기안정,0.5481,0.4652,0.3048,,필터제외,0.6867,오피스형
송정동,2,Tier2_중기안정,0.4991,0.3917,0.248,-0.1423,3사분면_하락,0.9732,주거형
송파1동,2,Tier2_중기안정,0.6753,0.4186,0.3388,,필터제외,1.0322,주거형
연희동,2,Tier2_중기안정,0.5736,0.5073,0.3004,,필터제외,0.9993,주거형
종로1·2·3·4가동,2,Tier2_중기안정,0.5463,0.3967,0.3042,,필터제외,0.6473,오피스형
청룡동,2,Tier2_중기안정,0.5051,0.4619,0.3589,,필터제외,1.0444,주거형
청파동,2,Tier2_중기안정,0.9088,0.5081,0.3189,,필터제외,0.9633,주거형
후암동,2,Tier2_중기안정,0.6589,0.5019,0.2627,,필터제외,1.0281,주거형
가양2동,3,Tier3_초기급등,,,,0.1023,2사분면_유망,0.9934,주거형
반포본동,3,Tier3_초기급등,,,,0.7178,2사분면_유망,0.8298,혼합형
북아현동,3,Tier3_초기급등,0.3873,0.335,0.2067,1.4511,2사분면_유망,0.6952,오피스형
삼성동,3,Tier3_초기급등,,,,0.286,2사분면_유망,1.0448,주거형
숭인1동,3,Tier3_초기급등,,,,0.3904,2사분면_유망,1.0419,주거형
숭인2동,3,Tier3_초기급등,,,,0.6612,2사분면_유망,1.0326,주거형
신당5동,3,Tier3_초기급등,,,,1.174,2사분면_유망,1.0486,주거형
오륜동,3,Tier3_초기급등,,,,1.1232,2사분면_유망,1.1637,상권형
월계2동,3,Tier3_초기급등,,,,0.04,2사분면_유망,0.9978,주거형
이촌2동,3,Tier3_초기급등,,,,1.7385,2사분면_유망,1.1057,상권형
잠실2동,3,Tier3_초기급등,,,,0.4929,2사분면_유망,1.066,주거형
중곡1동,3,Tier3_초기급등,,,,0.0882,2사분면_유망,1.0428,주거형
황학동,3,Tier3_초기급등,,,,0.807,2사분면_유망,1.0532,주거형
