행정동,Tier,Tier_설명,Phase35_유사도,Phase35_업종점수,Phase35_트렌드매출_비중,Phase35_2030비중,Phase35_복합점수_분위,Phase41_이동성장세,Phase41_사분면,주말집중도,구역유형,레퍼런스_신규4_여부
신당5동,1,Tier1_교집합,0.9302,0.5463,0.3341,0.2609,0.8983,1.174,2사분면_유망,1.0486,주거형,False
숭인2동,1,Tier1_교집합,0.9442,0.547,0.3318,0.2412,0.8558,0.6612,2사분면_유망,1.0326,주거형,False
창4동,2,Tier2_업종전환,0.9336,0.5794,0.343,0.2127,0.9362,,,1.0477,주거형,False
장위1동,2,Tier2_업종전환,0.9104,0.5271,0.3562,0.2544,0.9125,,,1.064,주거형,False
석관동,2,Tier2_업종전환,0.9292,0.5576,0.3447,0.2415,0.9054,,,1.0251,주거형,False
장충동,2,Tier2_업종전환,0.8937,0.7274,0.3229,0.2401,0.896,,,0.9122,혼합형,False
염리동,2,Tier2_업종전환,0.8936,0.5912,0.3128,0.2783,0.8842,,,0.9433,혼합형,False
정릉3동,2,Tier2_업종전환,0.9023,0.6152,0.3141,0.2735,0.8676,-0.0777,4사분면_정체,0.9116,혼합형,False
동화동,2,Tier2_업종전환,0.9167,0.6721,0.3392,0.2937,0.8582,,,1.0052,주거형,False
역촌동,2,Tier2_업종전환,0.9152,0.5194,0.3004,0.2229,0.7872,,,1.073,주거형,False
마장동,2,Tier2_업종전환,0.9281,0.5422,0.2897,0.2193,0.7849,,,0.968,주거형,False
오류1동,2,Tier2_업종전환,0.8982,0.4736,0.3165,0.3107,0.7825,,,1.0789,주거형,False
가락본동,2,Tier2_업종전환,0.9344,0.5293,0.2956,0.2427,0.7801,,,0.9353,혼합형,False
공릉1동,2,Tier2_업종전환,0.9138,0.4863,0.3203,0.2344,0.7423,,,1.048,주거형,False
청파동,2,Tier2_업종전환,0.9006,0.5081,0.2887,0.3189,0.6383,,,0.9633,주거형,False
오륜동,3,Tier3_이동선행,,0.902,0.4381,0.2964,0.9787,1.1232,2사분면_유망,1.1637,상권형,False
보문동,3,Tier3_이동선행,,0.4335,0.3063,0.2575,0.7329,0.1547,2사분면_유망,1.0032,주거형,False
반포본동,3,Tier3_이동선행,,0.6135,0.2354,0.1035,0.6974,0.7178,2사분면_유망,0.8298,혼합형,False
숭인1동,3,Tier3_이동선행,,0.3805,0.3125,0.2368,0.5674,0.3904,2사분면_유망,1.0419,주거형,False
황학동,3,Tier3_이동선행,,0.3368,0.3013,0.2403,0.5083,0.807,2사분면_유망,1.0532,주거형,False
성산2동,3,Tier3_이동선행,,0.3947,0.3001,0.252,0.3783,0.541,2사분면_유망,1.1014,상권형,False
이촌2동,3,Tier3_이동선행,,0.1397,0.1751,0.1369,0.3191,1.7385,2사분면_유망,1.1057,상권형,False
잠실2동,3,Tier3_이동선행,,0.1725,0.3037,0.2079,0.2837,0.4929,2사분면_유망,1.066,주거형,False
중곡1동,3,Tier3_이동선행,,0.282,0.3081,0.2414,0.26,0.0882,2사분면_유망,1.0428,주거형,False
삼성동,3,Tier3_이동선행,,0.2125,0.2953,0.1454,0.2151,0.286,2사분면_유망,1.0448,주거형,False
창신1동,3,Tier3_이동선행,,0.2126,0.2767,0.1969,0.1017,0.0006,2사분면_유망,0.9048,혼합형,False
가양2동,3,Tier3_이동선행,,0.1788,0.231,0.2899,0.0709,0.1023,2사분면_유망,0.9934,주거형,False
월계2동,3,Tier3_이동선행,,0.2741,0.2219,0.1501,0.0638,0.04,2사분면_유망,0.9978,주거형,False
