행정동,유사도,순위,FB카페_비중,FB식사_비중,주류유흥_비중,라이프스타일_비중,주말_비중,야간_비중,2030소비_비중,금요효과,평일_비중,트렌드시간대_비중,방문형_강도,2030이동비율,2030이동비율_변화,업종점수,2030비중
청파동,0.908832131055086,1,0.0776424818044038,0.2972809423319013,0.0371662670433289,0.0956706529997261,0.226413727037695,0.3796647720835864,0.318752629151368,1.0509794428905097,0.6088186705859068,0.2889656254547587,0.4747840294154602,27.15402613655933,0.1275270315055525,0.5081381534964816,0.3189275887730746
다산동,0.6873947241619898,2,0.0436283959354779,0.2712582077911147,0.0270483341130888,0.1549692390605461,0.2208754779435443,0.3871829611312271,0.2890619738909289,1.082984157470635,0.6042263453025067,0.2885407590140768,0.4787321583747387,17.733638412364822,0.2199120033674493,0.4994273331325396,0.2891837952848431
송파1동,0.6753136036640563,3,0.0461746714627107,0.2685676304946623,0.0421364564938134,0.0614838563415712,0.2326888342526175,0.3957122731197814,0.3385545090126194,1.113432750705793,0.5957188617535211,0.3005790243049005,0.5045938793443183,39.28080577627653,-0.9550802926151024,0.4185666639683885,0.3387686491606974
반포1동,0.6713470988842984,4,0.0310429837796565,0.1581595120228724,0.019088719015958,0.0361824116303926,0.1954798656861176,0.3146076396873605,0.3248443765716871,1.123002668484803,0.6245855000714275,0.2520813498506991,0.4039291130974385,24.467125212615755,0.7008945556947408,0.2443771194237582,0.3246343162343154
후암동,0.6589048268831577,5,0.069960643269335,0.3275474231077326,0.0162258007455134,0.0878211587030567,0.2363108015478721,0.4023295344485418,0.262711611022711,1.106531806997727,0.5990641275825626,0.3025402438296615,0.5050722248794631,22.682491025965323,0.7790315154765848,0.5018607913326941,0.2626818912056238
망원2동,0.642918798959082,6,0.040559058441469,0.1766561002886574,0.0319316255853889,0.0740505001077871,0.2438182604204304,0.3453806941934748,0.2652793450601416,1.0803396948111508,0.5961975339510839,0.299024208647042,0.5015789648657911,26.29066873441789,-0.1840977465546407,0.3227829000001549,0.265187091106176
보문동,0.6005947184482274,7,0.0495880884911945,0.2446218434683041,0.0520277164740409,0.0872403036186002,0.236622844352721,0.417454523352618,0.257284914322036,1.1621205521488445,0.5967028690636785,0.3062280824493134,0.513270354555702,22.65466703468252,1.0629236620360922,0.4335230157369868,0.2574866772005191
연희동,0.5735788156257275,8,0.0824313108103024,0.2918307072426343,0.0212170698493959,0.1116789675812162,0.2500037822457405,0.3665325548045396,0.3004802546579906,1.0505841705425638,0.5941320274894686,0.3070867375817191,0.5169050973500997,25.688946809177253,-0.8397755263971796,0.5072994946321198,0.3004455408011452
논현2동,0.5596049197922828,9,0.0448759558592576,0.3530502355580092,0.0401996031566691,0.1422719927066377,0.1954454071003114,0.4005080680588889,0.318964289110052,1.044289424142426,0.6327313773807083,0.2642220337775031,0.4181262725363259,26.878142328175397,-1.0687201337654049,0.5798658755169553,0.319290965538128
서초2동,0.5481370231941919,10,0.0607177779427365,0.3183504275564372,0.0256528737097956,0.0605013216705314,0.1602837745729965,0.3683726236334245,0.3049656297664959,1.139568550445089,0.6516127819223787,0.2295206380418442,0.3526013297400114,26.80833984079327,-0.7085656519659,0.4651775825763978,0.3048329392727696
종로1·2·3·4가동,0.5463236734157986,11,0.0465781543139496,0.258253890073393,0.0600523082571596,0.0316692859218304,0.1851584047080545,0.3186679516146038,0.3042804230493264,1.092173829218665,0.640646938490191,0.2406458111077821,0.3756750608584984,29.826937243952884,-0.7270014028999627,0.3967154644352673,0.3042381663852661
성산2동,0.5225281739217233,12,0.0681120964893387,0.2176773131610869,0.0037518853752293,0.1050063248882422,0.2425217428850571,0.3446114852261297,0.2519392570101914,1.0639932612745535,0.5907402247760418,0.2999439118587099,0.5082563525698742,18.61350914681591,1.2697328658326734,0.3947476447692494,0.2519636959661663
청룡동,0.5051034863729652,14,0.0269065997606638,0.180915239341535,0.0442144204678102,0.2096490381107906,0.2698411986994462,0.4194341611452268,0.3589143502779185,1.098505453210263,0.5702179054433576,0.3369290629141984,0.5908937129595674,33.1806940645324,-0.5693962855841566,0.4618643194098434,0.3589225761432636
망원1동,0.4995245213045124,15,0.0410781098600142,0.2777606016425861,0.0383694249229679,0.0668481958456254,0.2856262390490526,0.4009719744990397,0.3609758407699203,1.1707195771128265,0.5516970583369919,0.3508311564357094,0.6360081877907771,35.45730572268121,-0.2730980598503585,0.4243344188031239,0.3611780864627752
송정동,0.4990666229941,16,0.0147773021776452,0.1833337089626923,0.019443147843611,0.1733956216991424,0.1789146821865224,0.3194860633900426,0.2465174445984446,1.114224761016008,0.6475292868447227,0.2348685794699499,0.3648839619266645,22.93321652145775,0.4182446949379717,0.3916661008943775,0.2480215596375141
