행정동,매출활성도점수,20대매출,20대비중,YoY성장률,이동성장세점수,장기증가율,최근급등,사분면
가양2동,-0.2591715791563642,5793160152,0.0627878805078255,-0.1206567666284707,0.1023247408356494,0.040884761403482454,0.0059601471314501,2사분면_유망
가회동,0.6585206314047188,21682199024,0.1986662264321041,-0.1334327126186989,-0.5559087292227748,-0.12200181289944848,-0.024447017508871696,4사분면_정체
고척1동,-0.06878392173224367,16471713730,0.07444470990930323,0.1403924015457789,-1.5438586650416477,0.06384622587200736,-0.22358592734617588,3사분면_하락
광장동,-0.2486456415959373,9347666765,0.05737188868827512,-0.02233908322535972,-0.6698624238139068,-0.06833811775156706,-0.05292646556847426,3사분면_하락
대방동,-0.07331303399643145,18151107859,0.07999577021918976,-0.1833913197123474,-0.11532832538355803,0.04096770329354654,-0.00884327514325153,3사분면_하락
망원2동,-0.14686982722029415,10229004610,0.07986485874168692,-0.26268294926153113,-0.08832727135583289,-0.03524142331731278,0.015646765996728706,3사분면_하락
문래동,0.13610977620836187,46886948732,0.0744092790811574,-0.0369016666762714,-0.292119533707771,-0.05883191200191043,-0.013882507182443663,4사분면_정체
반포본동,-0.5592723660541689,138009908,0.02256113999491591,-0.25389204143123334,0.717805205202919,-0.04733973333732996,0.05737450569601447,2사분면_유망
보문동,-0.07581918939435615,5319959142,0.09285992000287033,-0.05386067083220676,0.1546784610297096,0.047999428562950856,-0.008716849954812008,2사분면_유망
북아현동,-0.1928928084593976,4048289827,0.0739662353376786,-0.030293102327029284,1.451087904629543,0.6106780737110802,0.0016385448094941787,2사분면_유망
삼성동,-0.42339271668365225,1784969197,0.03831832183607194,-0.0548227569658901,0.2860269155983312,0.13060404812470328,0.0024374978874851325,2사분면_유망
상도1동,0.3451011742412458,31592482839,0.13167540598432229,-0.10508393930688982,-0.6086781404372905,-0.11783139246295611,-0.030918997817831438,4사분면_정체
상암동,0.1627251596896405,32145791715,0.10188734787002701,-0.18032958671555138,-0.2454225421161699,-0.04084644068136733,-0.029433122769366087,4사분면_정체
서강동,1.2912329814625227,40164937871,0.28132648402084426,-0.09549148145815843,-0.2864272414693654,-0.08520450256166684,-0.018376883632563675,4사분면_정체
서빙고동,-0.41515920224961783,595517381,0.04519282033206906,-0.20422648966641418,-1.0860595262383372,-0.19666619506564537,-0.07378391088388649,3사분면_하락
성산2동,-0.08446396006781819,11347289175,0.0848978210060421,-0.10529410897554499,0.5410484164957716,0.16202813442683264,0.025469142960744623,2사분면_유망
성수1가1동,-0.00667636498414247,8345113564,0.10181400216176843,-0.09649096127019789,-0.35051896607966904,-0.12109674164820632,-0.0035519656398608906,3사분면_하락
성수1가2동,0.34315571574577447,32392179877,0.12839781216015153,-0.03254096611647578,0.31547377248463976,0.011437180445022878,-0.03214161913247715,1사분면_핫
성수2가1동,0.8730589942802593,60398864245,0.187688645619554,-0.24285249086504146,2.70061822104886,0.5074015407648879,-0.008236492203393564,1사분면_핫
성수2가3동,1.037880775093163,85023258780,0.17633698367547707,0.03769203290346419,0.4136488613948986,-0.011197033015638016,-0.02693424406395338,1사분면_핫
송정동,-0.18743872704186604,2354748260,0.08097011984591554,-0.17766705263616855,-0.14226603433779275,-0.06653506209256353,0.011370942872545572,3사분면_하락
숭인1동,-0.2837185358385602,992431986,0.0658725166696172,-0.1593707297844585,0.39036978877027323,0.016717413246077905,0.023659402102250707,2사분면_유망
숭인2동,-0.03915398233277511,11260126787,0.0940885681072777,-0.15722435360215797,0.6611636592804007,0.1521014871315951,0.027571886911146957,2사분면_유망
신길7동,-0.21817012959669915,2737930256,0.07713349989854966,-0.24972402492925413,-0.07086052453078706,0.1827611502978664,-0.05292080171008808,3사분면_하락
신당5동,-0.04519542265883291,10372169549,0.09159838682210732,-0.057617340387413424,1.174026140142004,0.3162862252166329,0.03892562806816216,2사분면_유망
신당동,0.12328606719675361,27380121205,0.09424599719281244,0.09097466185093595,-0.4077824760072049,-0.05412799230246523,-0.023279865573535348,4사분면_정체
신대방1동,0.10781024941678292,8919987680,0.11826835148741843,-0.009471854632731381,-0.31992316052450126,-0.03093522079090918,-0.021418904435836675,4사분면_정체
약수동,-0.1336456396549545,8542617203,0.08097981922363101,-0.13593204715867493,-0.4009022612770659,-0.055817915094059097,-0.030331700128264576,3사분면_하락
오륜동,-0.030222867255474805,2423416800,0.10628343294367427,-0.12592000447636656,1.123245917918663,0.20797448464731053,-0.011566420075719987,2사분면_유망
용답동,-0.05854531098516799,11930946831,0.08843075092532894,-0.10073706740346851,-0.5103907415692951,-0.08487062540482979,-0.03244789727493069,3사분면_하락
원효로1동,-0.04942911453521226,29403425112,0.06291885773770103,0.06410671162631433,-0.36528660443950245,-0.14717611305731615,-0.009705745182544596,3사분면_하락
