번호,행정동,자치구,상권통칭,레퍼런스등급,전환시점(연도),S1_업종충족연도,S2_2030소비충족연도,S3_블로그신호,S4_임대료신호
1,성수1가2동,성동구,뚝섬/성수,확정,2023,2021,2023,O,O
2,역삼1동,강남구,강남역,확정,2023,2023,2021,O,O
3,청운효자동,종로구,서촌,확정,2021,2021,2021,O,O
4,삼성1동,강남구,코엑스/삼성,확정,2021,2021,2021,O,X
5,성수2가1동,성동구,성수,확정,2022,2022,2022,O,X
6,합정동,마포구,합정/홍대 인근,확정,2021,2021,2021,O,X
7,구로3동,구로구,구로디지털단지,확정,2021,2021,2021,X,O
8,군자동,광진구,군자/자양,확정,2024,2024,2021,X,O
9,방배2동,서초구,방배,후보,2021,2021,2021,X,O
10,가양1동,강서구,가양,후보,2021,2021,2021,X,X
11,대학동,관악구,서울대입구/관악,후보,2022,2022,2021,X,X
12,사직동,종로구,사직/경복궁,후보,2021,2021,2021,X,X
13,상계2동,노원구,상계,후보,2021,2021,2021,X,X
14,성수2가3동,성동구,성수,후보,2022,2022,2021,X,X
15,신촌동,서대문구,신촌/연대앞,후보,2021,2021,2021,X,X
16,휘경1동,동대문구,휘경/외대앞,후보,2022,2022,2021,X,X
