행정동,레퍼런스등급,업종점수_2020,업종점수_2024,업종점수_변화,2030비중_2020,2030비중_2024,2030비중_변화,20대이동YoY피크(%),주말집중도,구역유형
성수1가2동,확정,0.514,0.671,0.157,0.287,0.337,0.05,21.4,0.772,오피스형
역삼1동,확정,0.458,0.527,0.069,0.451,0.427,-0.024,-5.2,0.652,오피스형
청운효자동,확정,0.488,0.593,0.105,0.355,0.367,0.012,15.3,0.975,주거형
삼성1동,확정,0.453,0.705,0.252,0.358,0.321,-0.037,0.7,0.762,오피스형
성수2가1동,확정,0.337,0.603,0.266,0.318,0.411,0.093,36.4,0.921,혼합형
합정동,확정,0.45,0.524,0.074,0.587,0.414,-0.173,0.4,0.993,주거형
구로3동,확정,0.488,0.521,0.033,0.43,0.376,-0.054,-4.8,0.64,오피스형
군자동,확정,0.319,0.507,0.188,0.351,0.351,0.0,0.7,0.943,혼합형
방배2동,후보,0.474,0.679,0.205,0.331,0.329,-0.002,-2.8,0.937,혼합형
가양1동,후보,0.493,0.546,0.053,0.465,0.362,-0.103,1.0,0.782,오피스형
대학동,후보,0.487,0.549,0.062,0.523,0.458,-0.065,-1.9,0.837,혼합형
사직동,후보,0.754,0.783,0.029,0.347,0.317,-0.03,12.5,0.718,오피스형
상계2동,후보,0.497,0.538,0.041,0.414,0.345,-0.069,-8.8,1.085,주거형
성수2가3동,후보,0.388,0.572,0.184,0.372,0.384,0.012,20.0,0.696,오피스형
신촌동,후보,0.473,0.626,0.153,0.571,0.483,-0.088,4.0,0.816,혼합형
휘경1동,후보,0.404,0.488,0.084,0.415,0.318,-0.097,7.7,1.009,주거형
