행정동,YQ,연도,분기,합계_이동인구_전체,합계_이동인구_20,이동비율_20대
사직동,1,2020,1,649506.52,67494.99,0.10391734019852487
사직동,2,2020,2,518593.74,79643.02,0.15357497373570303
사직동,3,2020,3,552729.46,73840.54000000001,0.13359255357946728
사직동,4,2020,4,544294.22,80197.39,0.14734198353236233
사직동,5,2021,1,477912.17,68422.78,0.1431701979884714
사직동,6,2021,2,673376.63,100675.84,0.149508960535206
사직동,7,2021,3,546881.33,85225.48999999999,0.15583909218477068
사직동,8,2021,4,789797.38,124113.2,0.15714562132378812
사직동,9,2022,1,598879.67,85503.87,0.14277303819647108
사직동,10,2022,2,1166553.75,153217.87,0.13134231491690804
사직동,11,2022,3,1269919.65,152956.13999999998,0.1204455258251969
사직동,12,2022,4,1387787.0,190367.12,0.13717315409353165
사직동,13,2023,1,1058322.44,120493.21,0.11385302384781713
사직동,14,2023,2,1280992.75,154036.36,0.12024764386839815
사직동,15,2023,3,1197699.42,143395.89,0.11972610790777541
사직동,16,2023,4,1431427.95,190508.04,0.13308950688017515
사직동,17,2024,1,1198283.08,132864.66,0.11087919225230151
사직동,18,2024,2,1376199.3900000001,152428.07,0.11076016390328439
사직동,19,2024,3,1252399.85,127157.28,0.10153089686173308
사직동,20,2024,4,1588032.48,163444.78,0.10292281931160502
청운효자동,1,2020,1,269742.97000000003,31456.13,0.11661519853510917
청운효자동,2,2020,2,267370.27,39933.9,0.14935804193936744
청운효자동,3,2020,3,238073.41999999998,32640.52,0.13710274754737425
청운효자동,4,2020,4,308840.87,39435.44,0.1276885407038259
청운효자동,5,2021,1,275014.32,37261.12,0.13548792659233164
청운효자동,6,2021,2,407018.12,62748.53,0.15416642875752068
청운효자동,7,2021,3,310215.94,48397.9,0.1560135820228967
청운효자동,8,2021,4,485383.3,80822.43,0.16651258912286432
청운효자동,9,2022,1,330713.67,53226.42,0.16094411821561533
청운효자동,10,2022,2,971662.5700000001,102342.82,0.10532753155244007
청운효자동,11,2022,3,875267.81,84088.47,0.09607170404221765
청운효자동,12,2022,4,959776.64,108314.13,0.11285347599208083
청운효자동,13,2023,1,632785.53,78855.4,0.1246163135241098
청운효자동,14,2023,2,848681.64,97992.99,0.11546495809665448
청운효자동,15,2023,3,583149.81,69177.6,0.11862749299361
청운효자동,16,2023,4,771967.52,88640.02,0.11482350967304945
청운효자동,17,2024,1,588400.84,70021.43,0.11900294024053398
청운효자동,18,2024,2,722302.84,78486.56999999999,0.10866158300028281
청운효자동,19,2024,3,510903.11,60177.08,0.1177856991318765
청운효자동,20,2024,4,708904.47,81579.34,0.11507804429558753
성수1가2동,1,2020,1,288237.11,53550.3,0.18578558465285752
성수1가2동,2,2020,2,358164.24,79511.76,0.2219980420155848
성수1가2동,3,2020,3,296953.17,59427.89,0.20012546085970392
성수1가2동,4,2020,4,285281.73,53220.58,0.18655446319678448
성수1가2동,5,2021,1,284253.7,61309.69,0.21568651525028523
성수1가2동,6,2021,2,501505.64,133369.14,0.2659374678218973
성수1가2동,7,2021,3,374626.33,89575.51000000001,0.23910628492129746
성수1가2동,8,2021,4,444943.63,108421.23,0.24367408069197438
성수1가2동,9,2022,1,335546.16,83777.28,0.24967438161116196
성수1가2동,10,2022,2,684550.51,186643.56,0.2726512613364352
성수1가2동,11,2022,3,516766.89,129295.86,0.25020151736114515
성수1가2동,12,2022,4,554715.61,140803.46,0.25382999407570306
성수1가2동,13,2023,1,479095.61,130728.0,0.27286411578682596
성수1가2동,14,2023,2,732918.47,218116.72,0.2976002501342339
성수1가2동,15,2023,3,574182.51,157435.47,0.2741906401851216
성수1가2동,16,2023,4,657035.92,186826.22,0.284347041482907
성수1가2동,17,2024,1,566171.65,159844.83,0.28232573990591014
성수1가2동,18,2024,2,822685.0499999999,219541.11,0.2668592434006185
성수1가2동,19,2024,3,557967.26,134285.25,0.24066869084755976
성수1가2동,20,2024,4,629538.1900000001,156277.89,0.2482421122060919
성수2가1동,1,2020,1,283677.23,27522.160000000003,0.09701927786026396
성수2가1동,2,2020,2,321510.76,37619.13,0.1170073748076114
성수2가1동,3,2020,3,324650.78,36209.67,0.11153421531899599
성수2가1동,4,2020,4,297158.29,30018.57,0.10101878699059684
성수2가1동,5,2021,1,302934.43,34469.82,0.1137864058568714
성수2가1동,6,2021,2,363603.08999999997,48307.09,0.1328566542160024
성수2가1동,7,2021,3,336779.79,40709.51,0.12087872018686158
성수2가1동,8,2021,4,359409.57,51563.350000000006,0.14346682532688265
성수2가1동,9,2022,1,347335.7,52985.18,0.1525474634481857
성수2가1동,10,2022,2,449335.85,80364.59,0.1788519433737593
성수2가1동,11,2022,3,444920.55,76510.42,0.1719642304676644
성수2가1동,12,2022,4,467682.13999999996,87383.23,0.1868432050879685
성수2가1동,13,2023,1,423586.44999999995,79178.56,0.1869242040202183
성수2가1동,14,2023,2,421947.67,100230.17,0.237541707482352
성수2가1동,15,2023,3,372359.48,90294.55,0.24249295331489884
성수2가1동,16,2023,4,419188.24,115197.26,0.2748103334196589
성수2가1동,17,2024,1,399766.29,105562.87,0.26406145950925475
성수2가1동,18,2024,2,454623.37,118674.8,0.2610398141213022
성수2가1동,19,2024,3,389060.08,97385.86,0.2503105947030083
성수2가1동,20,2024,4,451746.84,119716.07,0.2650069893128638
성수2가3동,1,2020,1,551335.46,104461.69,0.18947029091870857
성수2가3동,2,2020,2,457818.08999999997,107950.76,0.23579400281015545
성수2가3동,3,2020,3,431323.46,93038.94,0.2157057258142184
성수2가3동,4,2020,4,413274.94,84506.47,0.20448002484738126
성수2가3동,5,2021,1,434447.8,103752.39,0.23881439841564395
성수2가3동,6,2021,2,608391.0,158909.07,0.2611956291266636
성수2가3동,7,2021,3,510786.59,127327.35,0.24927700235826472
성수2가3동,8,2021,4,633255.88,167767.87,0.2649290362688776
성수2가3동,9,2022,1,554937.39,151522.87,0.27304498260605575
성수2가3동,10,2022,2,832225.45,241136.97,0.28974957446927396
성수2가3동,11,2022,3,806514.97,225004.09,0.2789831539022766
성수2가3동,12,2022,4,920217.9099999999,265555.79,0.2885792453224476
성수2가3동,13,2023,1,845226.13,249215.82,0.2948510595620133
성수2가3동,14,2023,2,1005084.91,309051.12,0.30748757336332905
성수2가3동,15,2023,3,941288.78,267668.88,0.28436425216924394
성수2가3동,16,2023,4,1066669.99,331117.57,0.31042175471722044
성수2가3동,17,2024,1,985173.48,278968.42000000004,0.2831667981968009
성수2가3동,18,2024,2,1166276.92,343421.56999999995,0.2944597154507696
성수2가3동,19,2024,3,1069411.66,282844.6,0.26448617551074766
성수2가3동,20,2024,4,1287776.81,354895.35,0.2755876229825881
군자동,1,2020,1,216948.61000000002,34227.73,0.1577688375141007
군자동,2,2020,2,199152.52000000002,36902.16,0.185295973156654
군자동,3,2020,3,193117.01,32060.31,0.16601494606818942
군자동,4,2020,4,195228.1,31907.2,0.16343548905101263
군자동,5,2021,1,186081.18,30912.87,0.16612571996802686
군자동,6,2021,2,239098.78,40507.53,0.1694175520259869
군자동,7,2021,3,196353.98,34121.7,0.17377646228510366
군자동,8,2021,4,248441.13,41666.03999999999,0.16770991180083586
군자동,9,2022,1,211613.74,38406.57,0.18149374421528583
군자동,10,2022,2,305546.43,52583.35,0.17209610336471612
군자동,11,2022,3,312560.21,52851.15,0.16909110087941134
군자동,12,2022,4,356082.94,55021.33,0.15451829846158877
군자동,13,2023,1,315336.24,51125.23,0.16212925606013442
군자동,14,2023,2,350027.25,60825.86,0.1737746418314574
군자동,15,2023,3,370181.03,56832.33,0.15352577629383116
군자동,16,2023,4,437894.33,68464.01000000001,0.15634824502066516
군자동,17,2024,1,397868.67,60603.09,0.15231933190416827
군자동,18,2024,2,428778.33,70426.38,0.16424892554621406
군자동,19,2024,3,381887.72000000003,55485.73,0.1452933076769266
군자동,20,2024,4,460146.74,64225.58,0.13957630124685877
휘경1동,1,2020,1,253157.35,50562.25,0.19972657321622303
휘경1동,2,2020,2,264415.78,57233.130000000005,0.21645126474675602
휘경1동,3,2020,3,240537.41,54794.75,0.22780136362156722
휘경1동,4,2020,4,237722.5,50828.72,0.21381535193345183
휘경1동,5,2021,1,217655.13999999998,46300.31,0.2127232556970628
휘경1동,6,2021,2,271810.46,59763.52,0.21987203877290076
휘경1동,7,2021,3,245483.13,54054.29,0.22019553848771603
휘경1동,8,2021,4,309922.54,68547.9,0.2211775239064574
휘경1동,9,2022,1,260017.21,58678.48,0.2256715238195195
휘경1동,10,2022,2,369120.99,83353.8,0.2258170146325193
휘경1동,11,2022,3,362725.33,91935.43,0.25345743017175004
휘경1동,12,2022,4,410663.51,96903.32,0.23596769043346463
휘경1동,13,2023,1,353276.18,83177.93,0.23544732056375833
휘경1동,14,2023,2,397481.26,97503.29,0.24530286031598067
휘경1동,15,2023,3,322351.18,69733.20999999999,0.21632683336229758
휘경1동,16,2023,4,341737.25,74930.04,0.2192621377973867
휘경1동,17,2024,1,285042.98,59090.79,0.20730484223817758
휘경1동,18,2024,2,311060.96,67525.81,0.21708224008567323
휘경1동,19,2024,3,288502.14,56538.78999999999,0.1959735549968537
휘경1동,20,2024,4,324403.69,64289.67,0.1981779861998487
상계2동,1,2020,1,978185.45,176594.93,0.18053318008359254
상계2동,2,2020,2,944871.28,170572.97999999998,0.1805250975561454
상계2동,3,2020,3,833025.51,145279.17,0.17439942505482217
상계2동,4,2020,4,825714.23,130465.48,0.15800318713170294
상계2동,5,2021,1,794974.8,124288.85,0.15634313188292256
상계2동,6,2021,2,960168.47,152692.24,0.15902650917083333
상계2동,7,2021,3,822998.78,128517.84,0.15615799576276407
상계2동,8,2021,4,1020065.37,158001.71000000002,0.1548937103903449
상계2동,9,2022,1,888872.51,129297.68,0.14546257032968654
상계2동,10,2022,2,1186111.08,172982.51,0.14584005909463388
상계2동,11,2022,3,1171011.67,167457.76,0.14300263976019983
상계2동,12,2022,4,1246380.37,170439.33000000002,0.13674744412093076
상계2동,13,2023,1,1136808.48,151381.12,0.1331632571917479
상계2동,14,2023,2,1240292.1,159156.66999999998,0.12832192513360358
상계2동,15,2023,3,1211092.99,150809.59,0.12452354298574546
상계2동,16,2023,4,1249202.51,149890.64,0.11998906406295967
상계2동,17,2024,1,1196570.54,140147.12,0.11712399337526729
상계2동,18,2024,2,1238507.26,139719.69,0.11281297616293344
상계2동,19,2024,3,1223211.38,133768.97,0.10935883379371439
상계2동,20,2024,4,1220453.79,130553.87,0.10697157980885126
신촌동,1,2020,1,1429235.82,456420.69,0.31934596349537336
신촌동,2,2020,2,1230954.3900000001,382898.84,0.31105851127432915
신촌동,3,2020,3,1209566.55,379983.37,0.31414837819382485
신촌동,4,2020,4,1150352.1199999999,336070.78,0.2921460083022232
신촌동,5,2021,1,1089256.51,310000.22,0.28459799611388137
신촌동,6,2021,2,1286054.66,371658.92,0.28899154255232046
신촌동,7,2021,3,1054611.07,302151.28,0.28650493873537664
신촌동,8,2021,4,1396681.0699999998,424328.72,0.30381217954074513
신촌동,9,2022,1,1173999.71,338990.22,0.2887481292478343
신촌동,10,2022,2,1641488.34,495017.51,0.3015662663799366
신촌동,11,2022,3,1671783.93,522646.24,0.3126278645351017
신촌동,12,2022,4,1897349.02,583310.97,0.3074347227902223
신촌동,13,2023,1,1657674.51,494662.23,0.29840733329488184
신촌동,14,2023,2,1874075.44,566517.06,0.3022914915314189
신촌동,15,2023,3,1781549.52,512718.74,0.28779370668293297
신촌동,16,2023,4,1920062.7,564258.56,0.29387506980891825
신촌동,17,2024,1,1711048.77,469077.38,0.27414611916643383
신촌동,18,2024,2,1878356.78,527216.4299999999,0.2806796001769163
신촌동,19,2024,3,1681856.44,451532.79,0.26847284896682383
신촌동,20,2024,4,1880604.75,494639.87,0.2630217061825458
합정동,1,2020,1,521737.8,140948.78,0.27015251722225225
합정동,2,2020,2,507566.68,148005.03,0.2915972143797934
합정동,3,2020,3,485729.44,134663.93,0.2772406177397853
합정동,4,2020,4,433949.89,111290.92,0.25646030236348255
합정동,5,2021,1,419651.72000000003,111097.3,0.2647369108841017
합정동,6,2021,2,539121.86,150355.42,0.2788894889181455
합정동,7,2021,3,407328.01,107886.52,0.2648639851700844
합정동,8,2021,4,496585.51,144941.12,0.29187545162161493
합정동,9,2022,1,418372.77,117499.04,0.2808477234309489
합정동,10,2022,2,658606.25,185538.86,0.28171439308387974
합정동,11,2022,3,639209.86,170449.0,0.2666557740520461
합정동,12,2022,4,683034.31,176752.41999999998,0.258775316865122
합정동,13,2023,1,613472.46,155132.86,0.25287664910010793
합정동,14,2023,2,660518.21,163861.85,0.24808074557096618
합정동,15,2023,3,657371.97,160658.34,0.2443948743357585
합정동,16,2023,4,682878.22,168222.36000000002,0.24634313274773945
합정동,17,2024,1,631783.6799999999,153419.78999999998,0.2428359497985133
합정동,18,2024,2,679840.9299999999,158195.06,0.23269422745700236
합정동,19,2024,3,630377.92,139505.45,0.22130446764379058
합정동,20,2024,4,668556.9500000001,145356.1,0.21741767847899868
가양1동,1,2020,1,651391.05,89578.95999999999,0.13751948234474512
가양1동,2,2020,2,704250.2899999999,100376.44,0.14252949757393782
가양1동,3,2020,3,714004.19,106093.54,0.1485895201819474
가양1동,4,2020,4,672123.48,94825.05,0.14108278139606134
가양1동,5,2021,1,698976.75,100837.59,0.14426458390783384
가양1동,6,2021,2,1062894.3399999999,146861.49,0.13817129744053394
가양1동,7,2021,3,919436.86,132776.07,0.14441020996265042
가양1동,8,2021,4,1060370.34,157724.01,0.14874426796962276
가양1동,9,2022,1,896805.11,124616.5,0.13895605478876008
가양1동,10,2022,2,1324545.43,180451.25,0.13623636148138762
가양1동,11,2022,3,1272257.77,175624.55,0.13804164072819927
가양1동,12,2022,4,1313757.41,175347.47999999998,0.1334702119777197
가양1동,13,2023,1,1223205.81,155560.91999999998,0.12717477200341287
가양1동,14,2023,2,1410619.95,173990.22999999998,0.12334309464430869
가양1동,15,2023,3,1376716.28,172405.93,0.12522981859414054
가양1동,16,2023,4,1361324.21,158275.62,0.1162659261014685
가양1동,17,2024,1,1254633.9,139342.28,0.11106210345503977
가양1동,18,2024,2,1349489.89,145307.21000000002,0.10767565661421889
가양1동,19,2024,3,1187745.56,125333.21,0.10552193518618584
가양1동,20,2024,4,1205518.8,117494.62,0.09746394664272344
구로3동,1,2020,1,629614.69,91516.87,0.14535377184417347
구로3동,2,2020,2,589093.5,92252.23,0.15660031896464652
구로3동,3,2020,3,565916.37,82898.42,0.14648528368246355
구로3동,4,2020,4,534929.5700000001,73700.66,0.13777638054295632
구로3동,5,2021,1,508941.6,67960.65,0.13353329733706185
구로3동,6,2021,2,604015.87,81156.63,0.1343617511241882
구로3동,7,2021,3,531017.39,67381.19,0.12689074080982546
구로3동,8,2021,4,636570.79,84853.4,0.13329766513477628
구로3동,9,2022,1,585479.11,72957.3,0.12461127776190001
구로3동,10,2022,2,759565.0700000001,100436.07,0.1322283948628654
구로3동,11,2022,3,788265.41,97727.32,0.12397768411530324
구로3동,12,2022,4,861175.86,105052.3,0.12198704687332969
구로3동,13,2023,1,802098.63,98034.81,0.12222288672902981
구로3동,14,2023,2,822358.02,98396.31,0.11965142627295104
구로3동,15,2023,3,832979.92,96418.2,0.11575092950619985
구로3동,16,2023,4,835383.88,95741.97,0.11460835227033589
구로3동,17,2024,1,806776.8099999999,87108.42,0.10797090213834977
구로3동,18,2024,2,836098.29,91900.86,0.10991633531507401
구로3동,19,2024,3,837420.59,88512.51000000001,0.10569660103532923
구로3동,20,2024,4,843578.29,87134.0,0.10329094647516356
대학동,1,2020,1,462689.05,81867.09,0.17693759988484706
대학동,2,2020,2,453645.59,61147.86,0.13479214026967615
대학동,3,2020,3,392067.57,50988.89,0.13005128172166852
대학동,4,2020,4,369426.1,47458.71,0.12846604503580014
대학동,5,2021,1,342022.29000000004,46192.26,0.13505628536666425
대학동,6,2021,2,452435.18,60268.82000000001,0.13320984455718057
대학동,7,2021,3,379607.34,45889.75,0.12088741487453851
대학동,8,2021,4,395757.52999999997,53849.78,0.13606760685008318
대학동,9,2022,1,332152.12,47685.27,0.1435645510858097
대학동,10,2022,2,525528.1900000001,66262.56,0.12608754632173014
대학동,11,2022,3,523443.39,60146.06,0.11490461270319985
대학동,12,2022,4,498291.45,65056.89,0.1305599162899544
대학동,13,2023,1,425150.19,55432.25,0.13038274780025383
대학동,14,2023,2,539875.6900000001,66815.20000000001,0.1237603419409383
대학동,15,2023,3,520165.62,61036.67,0.11734083848140521
대학동,16,2023,4,494162.31,64469.94,0.13046308610626334
