행정동,연도,업종점수,2030비중,S1_업종,S2_2030,S3_블로그,S4_임대료,상태
성수1가2동,2020,0.514,0.287,1,0,1.0,,미해당
성수1가2동,2021,0.59,0.295,1,0,1.0,1.0,미해당
성수1가2동,2022,0.656,0.328,1,0,1.0,1.0,미해당
성수1가2동,2023,0.629,0.358,1,1,1.0,1.0,확정
성수1가2동,2024,0.671,0.337,1,0,1.0,1.0,미해당
역삼1동,2020,0.458,0.451,0,1,1.0,,미해당
역삼1동,2021,0.446,0.426,0,1,1.0,0.0,미해당
역삼1동,2022,0.494,0.436,0,1,1.0,0.0,미해당
역삼1동,2023,0.519,0.435,1,1,1.0,1.0,확정
역삼1동,2024,0.527,0.427,1,1,1.0,1.0,확정
청운효자동,2020,0.488,0.355,0,1,1.0,,미해당
청운효자동,2021,0.554,0.396,1,1,1.0,1.0,확정
청운효자동,2022,0.592,0.38,1,1,1.0,1.0,확정
청운효자동,2023,0.566,0.369,1,1,1.0,0.0,확정
청운효자동,2024,0.593,0.367,1,1,1.0,1.0,확정
삼성1동,2020,0.453,0.358,0,1,1.0,,미해당
삼성1동,2021,0.585,0.397,1,1,1.0,,확정
삼성1동,2022,0.684,0.384,1,1,1.0,,확정
삼성1동,2023,0.713,0.352,1,1,1.0,,확정
삼성1동,2024,0.705,0.321,1,0,1.0,,미해당
성수2가1동,2020,0.337,0.318,0,0,1.0,,미해당
성수2가1동,2021,0.477,0.327,0,0,1.0,,미해당
성수2가1동,2022,0.615,0.421,1,1,1.0,,확정
성수2가1동,2023,0.649,0.447,1,1,1.0,,확정
성수2가1동,2024,0.603,0.411,1,1,1.0,,확정
합정동,2020,0.45,0.587,0,1,1.0,,미해당
합정동,2021,0.558,0.495,1,1,1.0,,확정
합정동,2022,0.572,0.499,1,1,1.0,,확정
합정동,2023,0.592,0.483,1,1,1.0,,확정
합정동,2024,0.524,0.414,1,1,1.0,,확정
구로3동,2020,0.488,0.43,0,1,,,미해당
구로3동,2021,0.521,0.411,1,1,,0.0,후보
구로3동,2022,0.566,0.424,1,1,,0.0,후보
구로3동,2023,0.529,0.408,1,1,,1.0,확정
구로3동,2024,0.521,0.376,1,1,,1.0,확정
군자동,2020,0.319,0.351,0,1,0.0,,미해당
군자동,2021,0.381,0.354,0,1,0.0,1.0,미해당
군자동,2022,0.435,0.357,0,1,0.0,1.0,미해당
군자동,2023,0.459,0.395,0,1,0.0,1.0,미해당
군자동,2024,0.507,0.351,1,1,0.0,1.0,확정
방배2동,2020,0.474,0.331,0,0,0.0,,미해당
방배2동,2021,0.619,0.354,1,1,0.0,,후보
방배2동,2022,0.698,0.354,1,1,0.0,,후보
방배2동,2023,0.689,0.346,1,0,0.0,1.0,미해당
방배2동,2024,0.679,0.329,1,0,0.0,1.0,미해당
가양1동,2020,0.493,0.465,0,1,,,미해당
가양1동,2021,0.561,0.403,1,1,,,후보
가양1동,2022,0.588,0.374,1,1,,,후보
가양1동,2023,0.561,0.371,1,1,,,후보
가양1동,2024,0.546,0.362,1,1,,,후보
대학동,2020,0.487,0.523,0,1,,,미해당
대학동,2021,0.489,0.512,0,1,,,미해당
대학동,2022,0.52,0.491,1,1,,,후보
대학동,2023,0.548,0.482,1,1,,,후보
대학동,2024,0.549,0.458,1,1,,,후보
사직동,2020,0.754,0.347,1,0,,,미해당
사직동,2021,0.732,0.356,1,1,,,후보
사직동,2022,0.785,0.352,1,1,,,후보
사직동,2023,0.793,0.325,1,0,,,미해당
사직동,2024,0.783,0.317,1,0,,,미해당
상계2동,2020,0.497,0.414,0,1,,,미해당
상계2동,2021,0.542,0.398,1,1,,,후보
상계2동,2022,0.577,0.39,1,1,,,후보
상계2동,2023,0.572,0.366,1,1,,,후보
상계2동,2024,0.538,0.345,1,0,,,미해당
성수2가3동,2020,0.388,0.372,0,1,,,미해당
성수2가3동,2021,0.499,0.356,0,1,,,미해당
성수2가3동,2022,0.511,0.391,1,1,,,후보
성수2가3동,2023,0.546,0.381,1,1,,,후보
성수2가3동,2024,0.572,0.384,1,1,,,후보
신촌동,2020,0.473,0.571,0,1,,,미해당
신촌동,2021,0.588,0.51,1,1,,,후보
신촌동,2022,0.65,0.504,1,1,,,후보
신촌동,2023,0.648,0.497,1,1,,,후보
신촌동,2024,0.626,0.483,1,1,,,후보
휘경1동,2020,0.404,0.415,0,1,,,미해당
휘경1동,2021,0.483,0.401,0,1,,,미해당
휘경1동,2022,0.531,0.403,1,1,,,후보
휘경1동,2023,0.496,0.348,0,0,,,미해당
휘경1동,2024,0.488,0.318,0,0,,,미해당
