행정동,연도,트렌드업종_전체매출,트렌드업종_20대매출,트렌드업종_20대비중,동_전체매출,동_20대매출,트렌드업종_매출비중
가양1동,2020,169924774973,29992886417,0.1765068479376576,344404612314,75090889610,0.4933870479588016
가양1동,2021,212542251963,34118967080,0.16052792687046308,379102450465,59119676650,0.5606459459766078
가양1동,2022,231398595085,34067375178,0.14722377707386675,393809524726,53696488277,0.5875901433465829
가양1동,2023,242145359781,31734237596,0.1310544939812224,431858109362,53631150705,0.5607058302985912
가양1동,2024,246896587604,29514159994,0.11954057478241889,451995484035,52421948758,0.5462368459966332
구로3동,2020,218762759001,53947483046,0.24660268179262357,448576539269,87422791448,0.48768212300513003
구로3동,2021,265322537952,60430091014,0.22776086600276876,509166125859,89080930678,0.5210922810396739
구로3동,2022,318210066395,69183797652,0.21741549045189815,562422476895,95933616559,0.565784760509149
구로3동,2023,325078149562,64520533187,0.1984769916831781,614033329054,94864620057,0.5294145027320034
구로3동,2024,320619628613,54801056327,0.17092233736302823,615094895800,81355405757,0.5212522991204441
군자동,2020,49372722842,11490615458,0.23273205925408783,154795682431,26921164438,0.3189541340341184
군자동,2021,56872485033,12522131643,0.22017908371216927,149438410575,21939940307,0.3805747452356427
군자동,2022,70684157314,14608963264,0.20667945716750433,162311823985,21441624734,0.4354837224953633
군자동,2023,83010275346,15594342333,0.18786038557275359,180842651310,21723606765,0.45901934496472296
군자동,2024,83506877480,14236464115,0.17048253442849243,164608900041,19186140850,0.5073047536263259
대학동,2020,52692594636,17839564974,0.3385592434237783,108161970485,31801121771,0.4871637822399644
대학동,2021,63964801754,19413997361,0.30351063129474887,130886175714,35406534023,0.48870555965948453
대학동,2022,67618118473,19120097119,0.28276588510274325,129951119460,32469015067,0.5203350209985178
대학동,2023,73377512253,19466804538,0.2652966002837485,133980275729,31985342339,0.5476739904716994
대학동,2024,67129929752,15699588047,0.23386867981240905,122381545608,25685258247,0.5485298409861867
방배2동,2020,66219334766,14674692559,0.22160736906911138,139579907339,19008607939,0.47441881878580144
방배2동,2021,87472568406,18397768977,0.2103261549564611,141242140213,22470464829,0.6193092817348075
방배2동,2022,115628104096,20958015244,0.18125364424032803,165557038124,23928950642,0.6984185354258157
방배2동,2023,129029446858,19946404203,0.15458800055890726,187293491591,25107583629,0.6889158067476608
방배2동,2024,127022448213,17700295860,0.13934777757014197,187146877763,21351323795,0.6787313244619518
사직동,2020,181316508333,29211347614,0.16110693881415028,240598466830,35495310258,0.7536062499563352
사직동,2021,237043715300,41402949521,0.1746637723282428,323870360054,49456940463,0.7319092591877716
사직동,2022,304721297829,47807953661,0.15689075230910943,388415836236,54857044369,0.7845233623375039
사직동,2023,322483403721,43837121514,0.13593605440832596,406826216993,50499142008,0.7926809783907037
사직동,2024,324652544427,41417351141,0.12757439253741296,414597056463,47927278215,0.7830555942598041
삼성1동,2020,551568568369,109202546548,0.19798544153977857,1217979444163,164393291976,0.4528553999924358
삼성1동,2021,642307112859,122580305606,0.19084376173319595,1097974390342,176148667946,0.5849927999312738
삼성1동,2022,823735941338,136566588135,0.16578927940569638,1204314100468,182595111861,0.6839876250040532
삼성1동,2023,827541057005,113984967273,0.1377393499792377,1161204830032,147829484911,0.7126572639059682
삼성1동,2024,722564807922,80312121014,0.11114867501638634,1025006756578,108267387153,0.7049366292318825
상계2동,2020,148404144855,47154008526,0.31774050901389833,298873245416,69810509958,0.49654543232344905
상계2동,2021,188421192989,55274030728,0.2933535758433866,347904615486,75627452262,0.5415886556313371
상계2동,2022,211507495164,55356683386,0.2617244525688188,366316839727,73708296139,0.5773894951747982
상계2동,2023,208417794428,47815630367,0.2294220150358533,364193177082,63135634940,0.5722726496358103
상계2동,2024,190860837957,40303882773,0.21116895013360606,354486979157,55264680965,0.5384142413661659
성수1가2동,2020,90856352617,18642906557,0.20519100778333196,176890274063,22682309686,0.5136311371457384
성수1가2동,2021,134552798015,27101903844,0.20142207552591115,228230740979,32158803928,0.5895472162857347
성수1가2동,2022,154938863311,33986378602,0.21935347837024638,236268762839,37064058943,0.6557737952713605
성수1가2동,2023,159441847014,29175701839,0.18298647679638452,253345437732,33481706969,0.6293456414346985
성수1가2동,2024,169291573228,29759172737,0.17578649763577234,252279842873,32392179877,0.6710467681447817
성수2가1동,2020,72692861929,12845715206,0.17671219518838818,215956570856,32038851282,0.33660870628229994
성수2가1동,2021,105467988979,23117312916,0.21918795588870996,221235093592,31858367086,0.47672359419389054
성수2가1동,2022,204213433279,65553751910,0.32100607123351826,332284983669,72360663995,0.6145731625429807
성수2가1동,2023,216370203469,70985743025,0.32807540912245037,333161511367,79771594724,0.6494453773522882
성수2가1동,2024,194049728607,43778416249,0.2256041096437832,321803506257,60398864245,0.6030068810127482
성수2가3동,2020,139095939703,32012898561,0.23014977021870286,358221712167,61215645624,0.3882956699122543
성수2가3동,2021,201703772252,45762879389,0.22688162386881802,404611288010,63914005613,0.498512469199858
성수2가3동,2022,245270182167,62386567344,0.254358547756621,480268056253,82440158275,0.5106943486530662
성수2가3동,2023,257798167002,60864646891,0.23609418018293285,471906119718,81934963442,0.5462912139305465
성수2가3동,2024,275744942644,65635573310,0.23803001672722857,482163508799,85023258780,0.5718909407533578
신촌동,2020,185672954507,91650198272,0.49361092203950857,392770646451,160490486565,0.4727261473959551
신촌동,2021,249222417471,106077987393,0.42563581747353624,424008384312,140832717982,0.5877770975576123
신촌동,2022,325401010924,133000062608,0.4087266423369017,500983476024,166082002711,0.6495244384236166
신촌동,2023,348130067683,138837026962,0.3988079164952282,537128686048,172053073889,0.6481315869469122
신촌동,2024,322780728433,122536900552,0.37962892378017277,515701376300,151562804658,0.6259062769016698
역삼1동,2020,778332946812,203912856058,0.2619866689354646,1699678788347,393531242643,0.4579294347545264
역삼1동,2021,872361078870,201686694314,0.23119634655784033,1954601325569,403476415450,0.4463115150175439
역삼1동,2022,1042982648629,225324260738,0.21603835982716357,2113047499121,421695152304,0.49359167224724815
역삼1동,2023,1122545478985,222651596189,0.1983452789728577,2164973320356,403445731704,0.5185031466348107
역삼1동,2024,1105212062908,196744325917,0.17801500048717564,2098356410393,360487026065,0.5267036893417956
청운효자동,2020,33941258395,8488936206,0.2501067022090888,69549223298,14269033198,0.48801779208332347
청운효자동,2021,54245196390,13550870821,0.24980775668272956,97863597046,20794869733,0.5542939154842478
청운효자동,2022,60230223628,12524743194,0.20794781157308306,101807398817,20850737899,0.5916094932968923
청운효자동,2023,58291597596,10821737133,0.18564831947139143,102968503893,20035812101,0.566110950359868
