행정동,연도,총매출,20대매출_전체,트렌드시간_매출,트렌드시간_매출비중,20대_전체비중,금요일매출,토요일매출,일요일매출,야간비중
가양1동,2020,344404612314,75090889610,97370441824.95671,0.28272107382865796,0.21803102201644808,56010007783,43800123162,26255750677,0.48767299036596723
가양1동,2021,379102450465,59119676650,101632497682.29651,0.26808715574809916,0.15594643763838748,62125218893,50284230264,24045551955,0.4394787809169853
가양1동,2022,393809524726,53696488277,103476449243.94852,0.26275760931872866,0.1363514209422951,65240676959,47201152611,26500254844,0.4563876890434537
가양1동,2023,431858109362,53631150705,114276036240.20169,0.2646147745356129,0.12418697146669606,69224329592,55587659751,26766595984,0.46113527849738495
가양1동,2024,451995484035,52421948758,119945839065.13818,0.26536955191315637,0.11597892149281018,74101276482,57701732236,28666016423,0.45313781354758
구로3동,2020,448576539269,87422791448,98793870772.48349,0.22023860394811978,0.19488935286375902,74714790106,43710765650,27759976472,0.3656990618821172
구로3동,2021,509166125859,89080930678,97000168003.46985,0.1905078972797406,0.17495455049707803,88634071069,40709826203,24821633319,0.35504076594848094
구로3동,2022,562422476895,95933616559,119646663231.84769,0.21273449790340582,0.17057215971990763,103503804059,50170176377,29815439086,0.383184445532454
구로3동,2023,614033329054,94864620057,126311390281.32202,0.2057077104852297,0.15449425229596506,107700052756,51787714336,35271423512,0.36445898984144426
구로3동,2024,615094895800,81355405757,127736750408.34058,0.20766998926597266,0.1322648038741862,107639435195,52293379713,36195691179,0.3646217526619248
군자동,2020,154795682431,26921164438,47146440393.354515,0.3045720633349705,0.17391418168268408,23224094991,23056477252,14999744832,0.39141324184547277
군자동,2021,149438410575,21939940307,47753743902.30094,0.3195546828861268,0.14681593723180564,29641794131,21618084501,14198250323,0.4027222180123218
군자동,2022,162311823985,21441624734,50651254671.74086,0.312061397797007,0.1321014341874534,30787573694,23257518037,15426100115,0.38871645549883505
군자동,2023,180842651310,21723606765,51910491039.14696,0.28704783226254593,0.12012435455705331,31744870295,24084776535,15714692765,0.3815111426382018
군자동,2024,164608900041,19186140850,47124150911.94556,0.2862794836743827,0.11655591432310894,26303508121,22454951450,14253229438,0.3959916668160977
대학동,2020,108161970485,31801121771,34001898320.774017,0.31436093636523965,0.2940138907270574,16923917744,15657696487,11331435361,0.4143701581898931
대학동,2021,130886175714,35406534023,43422443284.43411,0.3317572925296305,0.2705139318942818,20120819658,19575103293,14911332462,0.4441174704272634
대학동,2022,129951119460,32469015067,43602593446.91498,0.3355307259229591,0.24985560110541583,20091429505,20061938594,14608773161,0.4445617814149148
대학동,2023,133980275729,31985342339,45276442869.93945,0.3379336445128645,0.2387317249868652,20699548102,20753246475,15328252026,0.4442099085269901
대학동,2024,122381545608,25685258247,41303500493.995316,0.33749778439875605,0.20987852473503138,19203123005,18704747308,14072827915,0.4439863905873739
방배2동,2020,139579907339,19008607939,47478825540.592834,0.34015515875992264,0.136184414371572,23102020401,21975582869,14263990474,0.4865051628604019
방배2동,2021,141242140213,22470464829,46779248730.465004,0.33119895138886757,0.15909178942710334,25231648827,21527123672,12536087753,0.5039717139633684
방배2동,2022,165557038124,23928950642,60103466467.063126,0.36303782157570635,0.14453599142114112,29995382189,27656358175,16037159721,0.5470824964877771
방배2동,2023,187293491591,25107583629,68660680337.375336,0.3665940538249578,0.13405475767320518,33239673551,32944231335,17608477089,0.544769848163282
방배2동,2024,187146877763,21351323795,66465690147.10472,0.35515254617966896,0.11408859207386295,34427722177,31868769647,16649297780,0.5213131042429209
사직동,2020,240598466830,35495310258,57828687906.07404,0.24035351790888235,0.14752924540903234,40494879845,26227983651,14708568248,0.41714251460261476
사직동,2021,323870360054,49456940463,82297400453.34186,0.25410599611406287,0.15270597919103768,57625146619,35233428188,23942616731,0.40123725302103347
사직동,2022,388415836236,54857044369,109673725283.3598,0.28236162136479537,0.14123276975676416,66588761511,48626464569,32779239886,0.4245163926601956
사직동,2023,406826216993,50499142008,110492395327.28987,0.27159605431522876,0.12412951746634585,70527762557,48782160147,32295470742,0.41706646250853463
사직동,2024,414597056463,47927278215,107983902521.8694,0.26045506314757505,0.1155996586755246,69788290617,48232925775,31674650248,0.4023071241700563
삼성1동,2020,1217979444163,164393291976,352305157779.0658,0.2892537796655273,0.13497213993539248,196341380502,155319752724,121028262178,0.38686263019471895
삼성1동,2021,1097974390342,176148667946,351207266272.02954,0.3198683588263243,0.16043057970699365,185506373474,157483421622,120973120644,0.3921737169651804
삼성1동,2022,1204314100468,182595111861,397597459756.76685,0.33014431999281524,0.15161751555515543,191881549206,178515290150,138268646331,0.4211635960318786
삼성1동,2023,1161204830032,147829484911,381816026134.9041,0.3288102290483774,0.1273069841665455,187905137322,167488980612,135093444373,0.4216680942263275
삼성1동,2024,1025006756578,108267387153,324332002793.3347,0.31641938037181516,0.10562602290979256,170166553664,143691822556,109158012385,0.42007178445582705
상계2동,2020,298873245416,69810509958,101715102401.46523,0.34032856390303035,0.23357898717508535,47189272163,50804587094,30410865560,0.4344133487936802
상계2동,2021,347904615486,75627452262,125070792563.46225,0.35949736507159163,0.21737984750893113,59010101496,61370667735,37106245370,0.4506665602035088
