지역_대분류,상권명,연도,임대료,공실률,투자수익률,소득수익률,자본수익률
기타지역,가락시장,2020,38.2,9.9,6.09,2.26,3.77
기타지역,가락시장,2021,38.9,9.9,7.72,2.09,5.55
기타지역,가락시장,2022,38.5,11.5,5.64,1.99,3.6
기타지역,가락시장,2023,38.5,9.1,2.57,1.98,0.57
기타지역,가락시장,2024,38.6,12.1,3.45,1.92,1.5
기타지역,가락시장,2025,38.7,11.8,4.5,1.84,2.63
강남지역,강남대로,2020,100.0,8.7,7.16,3.01,4.06
강남지역,강남대로,2021,103.0,11.8,8.44,3.04,5.28
강남지역,강남대로,2022,106.2,10.8,6.04,2.2,3.78
강남지역,강남대로,2023,106.9,8.3,4.18,2.26,1.89
강남지역,강남대로,2024,117.0,12.1,8.13,2.23,5.81
강남지역,강남대로,2025,127.1,6.3,9.85,2.22,7.51
기타지역,건대입구,2020,71.4,5.5,6.37,3.07,3.23
기타지역,건대입구,2021,68.2,4.1,8.05,2.47,5.48
기타지역,건대입구,2022,69.1,4.4,5.1,2.07,2.98
기타지역,건대입구,2023,68.9,9.3,2.26,2.02,0.23
기타지역,건대입구,2024,65.5,7.2,3.7,2.04,1.64
기타지역,건대입구,2025,65.2,10.9,4.13,1.98,2.11
기타지역,경희대,2020,43.2,1.1,6.56,3.29,3.2
기타지역,경희대,2021,45.0,2.3,8.13,2.74,5.28
기타지역,경희대,2022,49.1,2.5,5.47,2.77,2.65
기타지역,경희대,2023,49.7,6.6,3.27,2.81,0.45
기타지역,경희대,2024,48.4,3.0,5.35,2.75,2.55
기타지역,경희대,2025,48.2,4.8,5.13,2.45,2.63
영등포신촌지역,공덕역,2020,36.6,5.2,6.46,3.22,3.16
영등포신촌지역,공덕역,2021,35.8,6.8,8.14,2.97,5.06
영등포신촌지역,공덕역,2022,39.0,6.7,5.68,2.79,2.83
영등포신촌지역,공덕역,2023,39.4,6.7,3.39,2.97,0.42
영등포신촌지역,공덕역,2024,39.7,8.7,5.01,2.74,2.22
영등포신촌지역,공덕역,2025,40.2,6.4,5.72,2.55,3.11
도심지역,광화문,2020,78.0,15.3,4.13,3.52,0.6
도심지역,광화문,2021,78.2,23.0,6.44,2.84,3.53
도심지역,광화문,2022,86.4,17.2,5.62,3.03,2.53
도심지역,광화문,2023,86.4,13.5,3.87,3.08,0.77
도심지역,광화문,2024,91.4,14.8,5.96,3.19,2.7
도심지역,광화문,2025,85.7,8.0,7.15,3.5,3.55
강남지역,교대역,2020,28.2,6.2,6.26,3.11,3.08
강남지역,교대역,2021,29.2,11.3,8.12,2.58,5.44
강남지역,교대역,2022,33.3,5.7,6.32,2.4,3.86
강남지역,교대역,2023,35.0,4.1,3.72,2.45,1.25
강남지역,교대역,2024,34.6,5.1,7.25,2.36,4.81
강남지역,교대역,2025,35.5,2.9,8.07,2.14,5.84
기타지역,구로디지털단지역,2020,49.2,6.4,6.25,3.3,2.88
기타지역,구로디지털단지역,2021,45.1,6.5,7.64,2.94,4.6
기타지역,구로디지털단지역,2022,44.0,13.1,5.61,2.63,2.92
기타지역,구로디지털단지역,2023,46.2,8.0,3.46,2.91,0.54
기타지역,구로디지털단지역,2024,47.4,5.2,4.03,2.89,1.12
기타지역,구로디지털단지역,2025,47.4,5.3,3.48,2.63,0.84
기타지역,구의역,2022,38.7,2.5,4.59,2.16,2.39
기타지역,구의역,2023,38.8,2.5,2.2,2.27,-0.06
기타지역,구의역,2024,39.2,3.7,3.27,2.26,0.99
기타지역,구의역,2025,39.3,8.2,3.76,2.0,1.73
기타지역,군자,2020,33.5,3.9,6.06,3.25,2.74
기타지역,군자,2021,35.0,10.4,7.74,2.59,5.05
기타지역,군자,2022,35.8,8.4,5.51,2.22,3.24
기타지역,군자,2023,36.2,16.7,2.64,2.18,0.44
기타지역,군자,2024,39.3,7.8,3.61,1.96,1.62
기타지역,군자,2025,39.9,9.9,4.0,1.9,2.07
기타지역,까치산역,2024,55.9,6.7,,,
기타지역,까치산역,2025,56.0,6.6,4.27,3.43,0.81
기타지역,낙성대,2024,46.6,6.4,,,
기타지역,낙성대,2025,46.8,8.2,4.87,3.88,0.96
도심지역,남대문,2020,80.7,8.0,6.73,3.66,2.99
도심지역,남대문,2021,75.0,14.5,7.03,2.9,4.04
도심지역,남대문,2022,74.5,12.6,5.31,2.47,2.79
도심지역,남대문,2023,69.0,10.1,2.93,2.58,0.34
